"response","model_type","n_pairs","beta_dist","beta_time","beta_dist_time","se_dist","se_time","se_dist_time","t_dist","t_time","t_dist_time","AIC"
"Overall","full_dyadic",23220,-0.0269,-0.0162,3e-04,7e-04,0.004,6e-04,-40.359,-4.0472,0.422,-29166.8592
"DDT","full_dyadic",23220,-0.0389,0.0053,-7e-04,0.001,0.0061,9e-04,-38.4652,0.8707,-0.6965,-9800.3131
