"LONGITUDE","LATITUDE","SPECIES","pred_logDDT","se_logDDT"
-170.766,53.436,"Uria aalge",4.574555000077,0.101380143605843
-170.158406779661,53.436,"Uria aalge",4.54963209605103,0.0931195961046858
-169.550813559322,53.436,"Uria aalge",4.52449393161148,0.0870273359926311
-168.943220338983,53.436,"Uria aalge",4.49951370817611,0.0837160917392055
-168.335627118644,53.436,"Uria aalge",4.47519703029742,0.0830385880536832
-167.728033898305,53.436,"Uria aalge",4.45210795395196,0.0835407888060154
-167.120440677966,53.436,"Uria aalge",4.4312399975899,0.0845107202014754
-166.512847457627,53.436,"Uria aalge",4.41393852637062,0.0865774514627574
-165.905254237288,53.436,"Uria aalge",4.40142785497185,0.0899582045421615
-165.297661016949,53.436,"Uria aalge",4.39481652457799,0.094539831312277
-164.69006779661,53.436,"Uria aalge",4.39509172719167,0.100082283557318
-164.082474576271,53.436,"Uria aalge",4.40307532930242,0.106336740154946
-163.474881355932,53.436,"Uria aalge",4.41935242737397,0.113108730006417
-162.867288135593,53.436,"Uria aalge",4.44417900175792,0.120279957482622
-162.259694915254,53.436,"Uria aalge",4.47738493088186,0.127796882202672
-161.652101694915,53.436,"Uria aalge",4.51830230049002,0.135634708634432
-161.044508474576,53.436,"Uria aalge",4.56575591971741,0.143752645331393
-160.436915254237,53.436,"Uria aalge",4.6181422182854,0.152061569071522
-159.829322033898,53.436,"Uria aalge",4.67359296040584,0.160419554956709
-159.221728813559,53.436,"Uria aalge",4.73018590947376,0.168656038520587
-158.61413559322,53.436,"Uria aalge",4.78614643685772,0.176611529999435
-158.006542372881,53.436,"Uria aalge",4.83999203483691,0.184174047077769
-157.398949152542,53.436,"Uria aalge",4.89059833614108,0.191296942904264
-156.791355932203,53.436,"Uria aalge",4.93719404803659,0.197992452754444
-156.183762711864,53.436,"Uria aalge",4.97931011576102,0.204305603010498
-155.576169491525,53.436,"Uria aalge",5.01671217044092,0.210279426524746
-154.968576271186,53.436,"Uria aalge",5.04933939287328,0.215923387233216
-154.360983050847,53.436,"Uria aalge",5.07726363991222,0.221194095352436
-153.753389830508,53.436,"Uria aalge",5.10067375268634,0.225992987320553
-153.14579661017,53.436,"Uria aalge",5.11988192439815,0.230180986806853
-152.53820338983,53.436,"Uria aalge",5.13534130593536,0.233605729098229
-151.930610169492,53.436,"Uria aalge",5.14765780163243,0.236133263059908
-151.323016949153,53.436,"Uria aalge",5.15757808253041,0.237674602410143
-150.715423728814,53.436,"Uria aalge",5.16594393897926,0.238199557274777
-150.107830508475,53.436,"Uria aalge",5.17361848504664,0.237735555172229
-149.500237288136,53.436,"Uria aalge",5.18140373566705,0.236354760168939
-148.892644067797,53.436,"Uria aalge",5.18997261734249,0.23415566538548
-148.285050847458,53.436,"Uria aalge",5.19983035446643,0.231244952798389
-147.677457627119,53.436,"Uria aalge",5.21130733062996,0.227723447630519
-147.06986440678,53.436,"Uria aalge",5.22457581894819,0.223677969579594
-146.462271186441,53.436,"Uria aalge",5.23967951791111,0.219179149809321
-145.854677966102,53.436,"Uria aalge",5.25656620112049,0.214283741317445
-145.247084745763,53.436,"Uria aalge",5.27511716486703,0.209038854777993
-144.639491525424,53.436,"Uria aalge",5.29517048932317,0.203485408637256
-144.031898305085,53.436,"Uria aalge",5.31653754812692,0.197659065329398
-143.424305084746,53.436,"Uria aalge",5.3390135850303,0.191588615910926
-142.816711864407,53.436,"Uria aalge",5.36238372322528,0.18529349325028
-142.209118644068,53.436,"Uria aalge",5.38642578200065,0.178783427518035
-141.601525423729,53.436,"Uria aalge",5.41091104062848,0.172064298302427
-140.99393220339,53.436,"Uria aalge",5.43560384137823,0.165155438555187
-140.386338983051,53.436,"Uria aalge",5.46026081858387,0.158125482572938
-139.778745762712,53.436,"Uria aalge",5.48463069460459,0.151156159162063
-139.171152542373,53.436,"Uria aalge",5.50845611591361,0.144643449516018
-138.563559322034,53.436,"Uria aalge",5.53148002182716,0.139332674277751
-137.955966101695,53.436,"Uria aalge",5.5534604134171,0.136432954663028
-137.348372881356,53.436,"Uria aalge",5.57419801965826,0.137547205881466
-136.740779661017,53.436,"Uria aalge",5.59357794415087,0.144193680170984
-136.133186440678,53.436,"Uria aalge",5.61161407572439,0.156997737507577
-135.525593220339,53.436,"Uria aalge",5.62846647631491,0.175202641477673
-134.918,53.436,"Uria aalge",5.64440103244672,0.197021271606892
-170.766,53.7062711864407,"Uria aalge",4.55170392527419,0.0986768293086306
-170.158406779661,53.7062711864407,"Uria aalge",4.52587685285665,0.0897866206044698
-169.550813559322,53.7062711864407,"Uria aalge",4.49966364435461,0.0830278999667645
-168.943220338983,53.7062711864407,"Uria aalge",4.47344160787453,0.0792327937253202
-168.335627118644,53.7062711864407,"Uria aalge",4.44775839589901,0.0785191820699496
-167.728033898305,53.7062711864407,"Uria aalge",4.42315065406233,0.0791975245386462
-167.120440677966,53.7062711864407,"Uria aalge",4.4006819265193,0.0803938878173564
-166.512847457627,53.7062711864407,"Uria aalge",4.38184467466236,0.0828841383814513
-165.905254237288,53.7062711864407,"Uria aalge",4.3679195170346,0.0867357348437038
-165.297661016949,53.7062711864407,"Uria aalge",4.36007944975173,0.0917308610408269
-164.69006779661,53.7062711864407,"Uria aalge",4.35938616379685,0.0975730627631497
-164.082474576271,53.7062711864407,"Uria aalge",4.36674450633385,0.10399407595715
