"response","observed_slope","null_mean","null_sd","p_lower","p_upper"
"sim_DDT",-0.0182027404003424,-0.0024429477356831,0.000969639759582338,0,1
"sim_PCP_or_PCB",-0.0081655082000813,0.00224355861382144,0.000751501561215886,0,1
"sim_isotope",-0.0228381420179522,-0.0170250619123259,0.00105572316530946,0,1
"sim_overall",-0.0164021302061254,-0.00574148367806253,0.000540092091602543,0,1
