plantID,week,nutrient_supply,shortcut_of_species,seedmass[mg],width[px],depth[px],distance_from_top_of_root_system_to_centroid[px],area[px2],relative_depth,relative_width,length_of_main_root[px],length_of_lateral_roots[px],number_of_lateral_roots,mean_lenght_of_lateral_roots[px],Genus,species
TM0-121120b.bmp,2,0,TM,1.948,80,61,13.34375,2512,0.21875,1.3114754098,63.45,0,0,0,Trifolium,medium
TM0-121120b.bmp,3,0,TM,1.948,80,61,13.7396166134,2504,0.2252396166,1.3114754098,66.897,0,0,0,Trifolium,medium
TM0-121120b.bmp,4,0,TM,1.948,80,72,24.05307025,2939.5,0.3340704201,1.1111111111,22.074,0,0,0,Trifolium,medium
TM1-121118a.bmp,1,0.25,TM,1.948,35,22,21.7397376775,11,0.9881698944,1.5909090909,40.53,0,0,0,Trifolium,medium
TM1-121118a.bmp,2,0.25,TM,1.948,69,54,50.1179898585,263,0.9281109233,1.2777777778,42.138,0,0,0,Trifolium,medium
TM1-121118a.bmp,3,0.25,TM,1.948,69,73,53.69598122,968.5,0.7355613866,0.9452054795,16.643,0,0,0,Trifolium,medium
TM1-121118a.bmp,4,0.25,TM,1.948,69,73,53.69598122,968.5,0.7355613866,0.9452054795,48.416,0,0,0,Trifolium,medium
TM1-121118c.bmp,1,0.25,TM,1.948,43,70,26.7694227147,745,0.3824203245,0.6142857143,69.642,0,0,0,Trifolium,medium
TM1-121118c.bmp,2,0.25,TM,1.948,42,105,42.7220630372,1745,0.4068767908,0.4,32.644,0,0,0,Trifolium,medium
TM1-121118c.bmp,3,0.25,TM,1.948,40,122,120.9786521557,2389,0.9916282964,0.3278688525,23.682,0,0,0,Trifolium,medium
TM1-121118c.bmp,4,0.25,TM,1.948,70,122,59.4213103287,4289,0.4870599207,0.5737704918,0,31.217,1,31.217,Trifolium,medium
TM1-121118e.bmp,1,0.25,TM,1.948,43,46,17.3058915028,678.5,0.3762150327,0.9347826087,69.582,0,0,0,Trifolium,medium
TM1-121118e.bmp,2,0.25,TM,1.948,71,61,20.7003087153,2105.5,0.3393493232,1.1639344262,80.975,0,0,0,Trifolium,medium
TM1-121118e.bmp,3,0.25,TM,1.948,85,63,44.0566037736,1669.5,0.699311171,1.3492063492,32.294,0,0,0,Trifolium,medium
TM1-121118e.bmp,4,0.25,TM,1.948,86,63,44.2592592593,1701,0.7025279248,1.3650793651,0,0,0,0,Trifolium,medium
TM1-121118f.bmp,1,0.25,TM,1.948,81,86,85.1370252052,40.5,0.9899654094,0.9418604651,105.503,0,0,0,Trifolium,medium
TM1-121118f.bmp,2,0.25,TM,1.948,91,162,107.3745200213,3087,0.6628056791,0.5617283951,76.441,0,0,0,Trifolium,medium
TM1-121118f.bmp,3,0.25,TM,1.948,93,224,17.7502899111,1293.5,0.0792423657,0.4151785714,47.969,88.585,1,88.585,Trifolium,medium
TM1-121118f.bmp,4,0.25,TM,1.948,98,264,219.5352112676,14484,0.83157277,0.3712121212,41.026,110.042,0,0,Trifolium,medium
TM1-121118g.bmp,1,0.25,TM,1.948,79,297,1.9885583524,5899.5,0.0066954827,0.265993266,293.133,0,0,0,Trifolium,medium
TM1-121118g.bmp,2,0.25,TM,1.948,79,653,1.0913956883,23633.5,0.0016713563,0.1209800919,325.732,90.313,1,90.313,Trifolium,medium
TM1-121118g.bmp,3,0.25,TM,1.948,210,878,322.6394785283,85834,0.3674709323,0.2391799544,245.805,245.029,0,0,Trifolium,medium
TM1-121118g.bmp,4,0.25,TM,1.948,361,1083,527.4106115108,183480,0.4869904077,0.3333333333,211.457,1080.693,6,180.1155,Trifolium,medium
TM1-121118h.bmp,1,0.25,TM,1.948,50,209,11.7458766035,1637,0.0562003665,0.2392344498,196.387,0,0,0,Trifolium,medium
TM1-121118h.bmp,2,0.25,TM,1.948,53,481,169.0887372014,12452.5,0.3515358362,0.1101871102,253.61,23.742,1,23.742,Trifolium,medium
TM1-121118h.bmp,3,0.25,TM,1.948,145,558,559.1083865311,36499,1.0019863558,0.2598566308,89.852,224.313,0,0,Trifolium,medium
TM1-121118h.bmp,4,0.25,TM,1.948,389,750,536.330975466,147591,0.7151079673,0.5186666667,183.397,524.264,2,262.132,Trifolium,medium
TM1-121118i.bmp,1,0.25,TM,1.948,27,44,0.0725354715,13.5,0.0016485334,0.6136363636,50.956,0,0,0,Trifolium,medium
TM1-121118i.bmp,2,0.25,TM,1.948,47,132,0.0287683849,23.5000000002,0.0002179423,0.3560606061,82.428,0,0,0,Trifolium,medium
TM1-121118i.bmp,3,0.25,TM,1.948,75,291,2.6075268817,4185,0.0089605735,0.2577319588,148.152,0,0,0,Trifolium,medium
