Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
2a	137	young	Comp	1	5	28	13.1	1.9	24.89	alive	0.718	40.6	240.1818182	70.31828275			
2a	138	old	Comp	1	9	42	21.5	2.5	53.75	alive	0.784	39.45	202.9126214	48.97119342			
2a	139	young	Comp	1	3	67	13.8	1.1	15.18	alive	0.725	35.7	190.0887574	44.78856462			
2a	140	old	Comp	1	9	77	14.8	1.7	25.16	alive	0.796	45.75	190.3065134	54.95638382			
2a	141	young	Comp	1	1	54	31.5	1.7	53.55	alive	0.724	38.3	179.8245614	42.01096892			
2a	142	old	Comp	1	6	99	17.4	1.7	29.58	alive	0.755	41.75	167.1428571	58.91238671			
2a	143	young	Comp	1	8	55	16.8	0.9	15.12	alive	0.671	36.4	214.6917808	50.2617801			
2b	144	old	Comp	1	6	40	19.1	1.7	32.47	alive	0.675	25.35	234.8328267	58.39416058			
3a	145	young	NoComp	1	7	93	17.3	1.5	25.95	alive	0.785	38.55	193.372434	61.11411574			
3b	146	old	NoComp	1	7	26	22	1.4	30.8	alive	0.623	35	172.3741007	57.00164745			
3a	147	young	NoComp	1	1	26	14.6	1.8	26.28	alive	.	45.7	98.8045977	77.71609833			
3a	148	old	NoComp	1	8	85	19.5	1.5	29.25	alive	0.787	42.2	154.1558442	61.77062374			
3a	149	young	NoComp	1	4	67	16.3	1.7	27.71	alive	0.759	28	230.4166667	63.91035549			
3b	150	old	NoComp	1	6	32	20.9	1.8	37.62	alive	0.705	32	167.6859504	56.44599303			
3b	151	young	NoComp	1	9	28	6.8	0.7	4.76	alive	0.643	40.05	113.3663366	78.39572193			
3a	152	old	NoComp	1	10	52	15.9	1	15.9	alive	0.777	39.7	183.1818182	66.54205607			
3a	153	young	NoComp	1	11	98	23.5	1.8	42.3	alive	0.792	46.75	192.4120603	73.28843996			
3a	154	old	NoComp	1	10	53	14.8	1.4	20.72	alive	0.785	37.35	207.9591837	61.66281755			
3a	155	young	NoComp	1	6	50	10.3	1.2	12.36	alive	0.765	32.8	233.5234899	74.34895833			
3b	157	young	NoComp	1	8	46	11.6	0.7	8.12	alive	0.731	31.95	125.2857143	53.83104126			
3b	158	old	NoComp	1	14	49	14.1	1.3	18.33	alive	0.762	37.75	220.6547619	86.69467787			
3b	159	young	NoComp	1	3	60	13.6	1.4	19.04	alive	0.74	50.3	109.5081967	68.40873635			
3a	161	young	NoComp	1	3	58	8.2	0.9	7.38	alive	0.808	30	95.97777778	.			
3b	162	old	NoComp	1	13	55	19.6	0.9	17.64	alive	0.767	28.45	98.93333333	50.28818444			
3a	163	young	NoComp	1	8	61	14.2	0.9	12.78	alive	0.784	33.45	220.5479452	69.31608133			
3a	165	young	NoComp	1	7	102	10.9	1.1	11.99	alive	0.676	30.75	234.0909091	57.34693878			
3b	167	young	NoComp	1	6	62	11.8	1.5	17.7	alive	0.719	39.25	156.2542955	49.60352423			
3a	168	old	NoComp	1	6	50	15.4	1.8	27.72	alive	0.761	36.15	183.1081081	76.55279503			
3b	169	young	NoComp	1	2	53	16.5	1.3	21.45	alive	0.655	39.3	95.38631347	67.8442682			
3a	171	young	NoComp	1	2	95	8.4	0.8	6.72	alive	0.726	41.8	.	.			
3b	172	old	NoComp	1	9	52	9.6	0.8	7.68	alive	0.776	42.55	179.4814815	62.92834891			
3b	176	old	NoComp	1	6	61	18.3	1.8	32.94	alive	0.781	41.75	143.5222672	42.44011976			
3a	177	young	NoComp	1	8	30	14.8	1	14.8	alive	0.769	38	190.7053942	60.86092715			
3b	178	old	NoComp	1	7	30	27.9	1.3	36.27	alive	0.774	26.4	147.1291866	40.21352313			
3a	179	young	NoComp	1	10	42	17.3	1.9	32.87	alive	0.784	38.1	171.754386	63.99253731			
3a	181	young	Comp	1	8	40	28.4	1.5	42.6	alive	0.798	33.1	194.8148148	57.32311852			
3b	182	old	Comp	1	7	23	21.5	1.3	27.95	alive	0.712	30.85	193.42723	67.54285714			
3b	183	young	Comp	1	2	49	16.4	1.8	29.52	alive	0.78	38.4	131.4814815	32.87560582			
3b	184	old	Comp	1	1	50	10.6	1.8	19.08	alive	0.726	35.2	192.971246	43.44899016			
3b	185	young	Comp	1	9	51	18.5	0.7	12.95	alive	0.769	35.05	164.2564103	58.02739726			
3a	186	old	Comp	1	5	76	12	0.9	10.8	alive	0.772	28.5	231.7592593	65.14886165			
3b	187	young	Comp	1	1	44	12.6	2.2	27.72	alive	0.762	52.7	130.8353222	66.85920578			
3a	188	old	Comp	1	8	28	18.7	1.5	28.05	alive	0.775	31.35	216.875	63.08539945			
3b	191	young	Comp	1	2	32	19.7	1.5	29.55	alive	0.74	28.65	261.5384615	70.58823529			
3b	192	old	Comp	1	3	40	5.8	0.9	5.22	alive	0.723	48.7	103.2448378	71.52133581			
3b	193	young	Comp	1	1	30	25.6	2.2	56.32	alive	.	33	204.1693811	60.77464789			
3a	194	old	Comp	1	8	28	18.6	1.8	33.48	alive	0.783	24.1	274.6153846	78.80299252			
3a	195	young	Comp	1	1	37	15.3	1.4	21.42	alive	0.683	.	.	.			
3a	197	young	Comp	1	1	40	9.3	0.8	7.44	alive	.	.	.	.			
3a	198	old	Comp	1	6	62	15.2	1.5	22.8	alive	0.736	38.35	195.3386454	72.31270358			
3a	199	young	Comp	1	3	36	22.3	2.3	51.29	alive	0.779	35.6	218.2786885	47.19764012			
3b	200	old	Comp	1	3	21	14.4	1.1	15.84	alive	0.774	.	.	.			
3a	201	young	Comp	1	5	38	10	1	10	alive	0.798	29.95	106.2325581	59.42028986			
3b	202	old	Comp	1	6	30	22.1	1	22.1	alive	0.772	57.05	93.00275482	61.96746708			
3a	203	young	Comp	1	7	80	26.7	2	53.4	alive	0.784	35.2	207.9	67.35357918			
3a	204	old	Comp	1	6	23	19.3	1.6	30.88	alive	0.677	37.65	193.1081081	63.53697749			
3a	205	young	Comp	1	3	63	13.3	0.5	6.65	alive	.	57.2	84.47098976	107.7896787			
3b	206	old	Comp	1	4	54	27.6	1.1	30.36	alive	0.744	41.6	162.815534	64.09849087			
3a	207	young	Comp	1	7	51	20.4	1.4	28.56	alive	0.79	29.05	256.9306931	68.5202639			
3a	209	young	Comp	1	5	47	15.5	1.1	17.05	alive	0.787	36.35	174.2424242	76.93215339			
3a	211	young	Comp	1	10	42	22.3	1.8	40.14	alive	0.789	33.75	203.9423077	66.89059501			
3a	212	old	Comp	1	7	87	21.5	1.3	27.95	alive	0.72	42.35	227.810219	80.43478261			
3b	213	young	Comp	1	4	33	22.9	1.6	36.64	alive	0.77	30.6	193.9698492	67.94081381			
3a	214	old	Comp	1	9	34	16.6	1.7	28.22	alive	0.769	27.85	161.7204301	72.16066482			
3a	215	young	Comp	1	4	41	8	0.6	4.8	alive	0.761	44.65	114.6710526	76.35425623			
3a	216	old	Comp	1	8	48	28.6	1.5	42.9	alive	0.782	32.8	206.0150376	59.39849624			
2a	217	young	NoComp	1	8	17	10.3	0.7	7.21	alive	0.788	40.7	168.3181818	42.18880535			
3a	218	old	NoComp	1	7	64	17.5	1.1	19.25	alive	0.601	45.7	138.4012539	75.08561644			
3a	220	old	NoComp	1	6	82	20.9	1.4	29.26	alive	0.739	35.6	204.5652174	59.5			
1a	1	young	NoComp	2	18	157	26.5	1.6	42.4	alive	.	23.75	260.6508876	60.57201226			
1a	4	old	NoComp	2	4	26	11.3	1.4	15.82	alive	.	32.5	281.9587629	70.21276596			
1b	5	young	NoComp	2	15	107	25.7	1.8	46.26	alive	.	27.55	226.9064748	70.05076142			
1a	7	young	NoComp	2	7	78	17.6	1.3	22.88	alive	.	35.65	220.0757576	66.56891496			
1a	9	young	NoComp	2	8	58	15.3	1	15.3	alive	.	35.75	199.1578947	65.1396648			
1b	11	young	NoComp	2	15	78	16.4	1	16.4	alive	.	31.45	180.2614379	76.48578811			
1a	13	young	NoComp	2	19	104	22.2	1	22.2	alive	.	36	197.0520231	64.8951049			
1b	14	old	NoComp	2	0	0	.	.	.	dead	.	.	.	.			
1a	16	old	NoComp	2	14	100	19.8	1.1	21.78	alive	.	26.2	301.9178082	60.94420601			
1b	17	young	NoComp	2	5	76	27.5	1.5	41.25	alive	.	25.15	252.8494624	64.75195822			
1b	18	old	NoComp	2	8	68	19.2	1.4	26.88	alive	.	26.55	221.1453744	72.46503497			
1b	19	young	NoComp	2	9	80	23.5	1.9	44.65	alive	.	24.55	205.8031088	71.42857143			
1a	20	old	NoComp	2	9	44	11.6	0.7	8.12	alive	.	31.75	326.2280702	64.29587482			
1a	21	young	NoComp	2	17	159	21.8	2	43.6	alive	.	28.7	243.1868132	88.05555556			
1a	22	old	NoComp	2	12	62	19.4	1.3	25.22	alive	.	25.8	249.7196262	69.09090909			
1a	23	young	NoComp	2	29	160	.	.	.	alive	.	24.35	265.5319149	68.91447368			
1a	27	young	NoComp	2	14	101	19.4	1.1	21.34	alive	.	20.1	226.9	53.20987654			
1a	28	old	NoComp	2	12	62	16.7	1.8	30.06	alive	.	27.4	262.6056338	61.77156177			
1a	29	young	NoComp	2	14	103	17.2	1.5	25.8	alive	.	26.75	292.3232323	69.69072165			
1b	30	old	NoComp	2	18	76	12.3	0.8	9.84	alive	.	41.75	213.2846715	64.57142857			
1a	32	old	NoComp	2	8	54	14.3	1.2	17.16	alive	.	28.35	232.8387097	64.53089245			
1b	33	young	NoComp	2	21	149	22.6	1.4	31.64	alive	.	31.1	237.0760234	62.68115942			
1b	34	old	NoComp	2	13	83	16.8	0.8	13.44	alive	.	29.1	229.3243243	75.90361446			
1b	35	young	NoComp	2	19	103	18.4	1.2	22.08	alive	.	36.5	213.8839286	64.86090776			
1a	36	old	NoComp	2	20	122	18	1	18	alive	.	29.1	303.3333333	80.47752809			
1b	38	old	Comp	2	14	72	24.1	0.8	19.28	alive	.	23.75	254.48	79.60457856			
1a	45	young	Comp	2	6	59	24.4	0.8	19.52	alive	.	26.75	261.3432836	68.32			
1b	46	old	Comp	2	5	52	17.3	1.2	20.76	alive	.	30.15	196.9111969	73.37192475			
1b	48	old	Comp	2	15	83	25.4	1.3	33.02	alive	.	23.1	221.5286624	75.45931759			
1b	50	old	Comp	2	21	71	19.9	1.3	25.87	alive	.	32.35	232.0103093	72.47007617			
1a	53	young	Comp	2	13	81	21.8	1.2	26.16	alive	.	28	267.8481013	71.46118721			
1a	55	young	Comp	2	5	39	16	1.1	17.6	alive	.	37.15	246.2765957	70.86693548			
1a	57	young	Comp	2	6	56	15	1.6	24	alive	.	33.95	234.4444444	68.42775302			
1b	58	old	Comp	2	3	32	21.9	1.4	30.66	alive	.	25.05	225.6571429	80.3652968			
1a	59	young	Comp	2	3	60	17	1.4	23.8	alive	.	30.85	266.640625	78.50609756			
1a	61	young	Comp	2	10	58	20.9	0.7	14.63	alive	.	20	469.4827586	88.2183908			
1a	63	young	Comp	2	7	83	17.7	1.3	23.01	alive	.	14.1	183.3333333	58.35777126			
1a	65	young	Comp	2	20	122	24.6	1.6	39.36	alive	.	24.5	272.2413793	60.44843049			
1a	66	old	Comp	2	13	73	23.3	1.4	32.62	alive	.	10.25	251.5	65.39235412			
1b	67	young	Comp	2	14	94	20.3	1.5	30.45	alive	.	29.9	245.8139535	71.80783818			
1b	69	young	Comp	2	7	36	19.4	1.3	25.22	alive	.	20.65	261.7763158	62.12121212			
1a	71	young	Comp	2	5	51	23	0.9	20.7	alive	.	14.35	229.8888889	62.78317152			
1a	72	old	Comp	2	12	73	20.7	1.4	28.98	alive	.	27.25	240.3846154	66.8852459			
2b	73	young	NoComp	2	5	61	17.8	1.1	19.58	alive	.	17.03	197.8534031	34.41624365			
2a	74	old	NoComp	2	27	220	26.4	1	26.4	alive	.	27.5	267.1226415	59.91161616			
2b	75	young	NoComp	2	20	193	27.2	2.1	57.12	alive	.	35	200.9854015	57.53968254			
2a	76	old	NoComp	2	14	68	17.8	1	17.8	alive	.	30.2	166.4255319	71.66123779			
2b	77	young	NoComp	2	10	79	15.2	1.6	24.32	alive	.	33.9	214.9714286	51.43403442			
2a	79	young	NoComp	2	7	70	15.2	1.1	16.72	alive	.	30.95	327.8947368	53.4733441			
2a	80	old	NoComp	2	12	48	18.2	1.1	20.02	alive	.	32.7	209.4054054	71.19205298			
2b	81	young	NoComp	2	24	252	26	2.4	62.4	alive	.	40.85	134.6348315	47.74665043			
2b	82	old	NoComp	2	10	75	9.8	0.6	5.88	alive	.	42.3	182.5730994	58.41013825			
2a	83	young	NoComp	2	9	80	19.6	1.5	29.4	alive	.	38.8	197.9865772	59.15915916			
2a	84	old	NoComp	2	7	38	11.1	1	11.1	alive	.	39.2	210.9142857	55.70776256			
2a	85	young	NoComp	2	10	72	16.4	1	16.4	alive	.	29.55	230.877193	41.40030441			
2b	86	old	NoComp	2	11	87	21.2	1.8	38.16	alive	.	32.55	246.5022422	57.87944808			
2a	87	young	NoComp	2	7	68	12.5	1.3	16.25	alive	.	38.5	232.9353234	59.51178451			
2b	88	old	NoComp	2	17	123	22.4	2.7	60.48	alive	.	28.85	252.3626374	41.87380497			
2a	89	young	NoComp	2	26	168	22.3	1.4	31.22	alive	.	30.9	228.0620155	78.09983897			
2a	90	old	NoComp	2	7	54	17.3	0.8	13.84	alive	.	31.5	232.6666667	66.26139818			
2b	91	young	NoComp	2	7	78	16.4	0.7	11.48	alive	.	36.2	192.5837321	45.34443603			
2a	92	old	NoComp	2	18	75	14.9	1.4	20.86	alive	.	40.3	191.7021277	71.13772455			
2a	93	young	NoComp	2	10	88	15.5	1.2	18.6	alive	.	27.25	280.1226994	62.41319444			
2b	94	old	NoComp	2	6	45	16.9	1.2	20.28	alive	.	33	186	55.16403402			
2a	95	young	NoComp	2	2	69	18.1	2.5	45.25	alive	.	31.1	204.8275862	65.93038822			
2a	96	old	NoComp	2	4	25	9.4	0.7	6.58	alive	.	36.2	163.115942	55.353902			
2a	97	young	NoComp	2	5	34	16.4	1.1	18.04	alive	.	30.9	209.1851852	83.62720403			
2a	98	old	NoComp	2	2	37	11.4	1.9	21.66	alive	.	32.9	181.3247863	71.80851064			
2b	99	young	NoComp	2	11	97	13.2	2.5	33	alive	.	36.2	222.3529412	41.65366615			
2a	100	old	NoComp	2	19	90	16.4	0.6	9.84	alive	.	44.3	162.9493088	54.83870968			
2a	101	young	NoComp	2	8	64	16.2	0.9	14.58	alive	.	30	239.2134831	47.37903226			
2b	102	old	NoComp	2	10	76	15.8	0.7	11.06	alive	.	24.25	243.9259259	73.44461305			
2a	103	young	NoComp	2	9	83	19.2	1.9	36.48	alive	.	40.3	209.119171	69.48640483			
2b	104	old	NoComp	2	8	51	15	11	165	alive	.	39.9	194.9295775	49.43661972			
2a	105	young	NoComp	2	7	73	15.5	1.2	18.6	alive	.	28.1	200.516129	44.33760684			
2a	106	old	NoComp	2	10	52	11.4	0.8	9.12	alive	.	28.65	223.9344262	141.9064748			
2a	107	young	NoComp	2	2	44	16.5	1.4	23.1	alive	.	35.15	211.1267606	53.02445302			
2a	108	old	NoComp	2	9	46	12.3	0.9	11.07	alive	.	30.05	232.6436782	58.03108808			
2a	109	young	Comp	2	7	62	21.2	1.3	27.56	alive	.	27	220.8196721	59.60428689			
2b	110	old	Comp	2	5	25	19.4	0.6	11.64	alive	.	24.95	230.0934579	51.46262189			
2a	111	young	Comp	2	4	35	30	2.4	72	alive	.	38.5	175.915493	67.00680272			
2a	112	old	Comp	2	12	44	20.9	0.8	16.72	alive	.	20.15	244.5348837	75.83081571			
2a	113	young	Comp	2	11	70	22	0.9	19.8	alive	.	31	225.3278689	50			
2a	114	old	Comp	2	15	102	27.5	1.3	35.75	alive	.	27.75	271.3636364	67.67772512			
2b	115	young	Comp	2	8	70	25.1	0.5	12.55	alive	.	26.35	202.9050279	54.72175379			
2a	116	old	Comp	2	8	24	15.8	0.9	14.22	alive	.	28.35	254.6153846	67.01649175			
2b	117	young	Comp	2	11	74	28.1	1.3	36.53	alive	.	22.2	235.3403141	63.22827125			
2a	118	old	Comp	2	7	61	24.9	1	24.9	alive	.	23.55	173.173913	57.15307582			
2a	119	young	Comp	2	3	28	26.2	1.7	44.54	alive	.	26.9	246.4159292	-10.78767123			
2b	120	old	Comp	2	6	44	20	0.8	16	alive	.	35.05	203.4259259	47.90372671			
2a	121	young	Comp	2	14	73	21.5	1	21.5	alive	.	33.6	230.5699482	53.7601626			
2b	122	old	Comp	2	4	31	13.9	0.6	8.34	alive	.	28.6	184.4444444	40.95607235			
2a	123	young	Comp	2	5	40	15.4	1.4	21.56	alive	.	23.25	302.5396825	55.57620818			
2a	124	old	Comp	2	6	34	18.6	1.4	26.04	alive	.	20.1	242.5454545	82.7247191			
2b	125	young	Comp	2	8	60	26.2	1.4	36.68	alive	.	22.25	221.0084034	38.28571429			
2b	126	old	Comp	2	1	36	17.8	1.6	28.48	alive	.	29.15	248.0932203	52.67175573			
2a	127	young	Comp	2	4	32	13.5	0.9	12.15	alive	.	27.6	191.440678	52.63975155			
2a	128	old	Comp	2	6	47	10.2	0.5	5.1	alive	.	29.05	263.3333333	61.66666667			
2b	129	young	Comp	2	11	91	23.1	1	23.1	alive	.	25.4	292.8787879	79.80225989			
2a	130	old	Comp	2	20	94	26.2	1	26.2	alive	.	30.85	221.6153846	65.6779661			
2b	131	young	Comp	2	1	16	10.6	1.5	15.9	alive	.	37.45	.	.			
2b	132	old	Comp	2	9	63	25.6	2	51.2	alive	.	26.3	226.1184211	46.93333333			
2a	133	young	Comp	2	6	38	23.6	1.1	25.96	alive	.	17.6	222.1428571	63.88384755			
2a	134	old	Comp	2	5	33	18.6	1.2	22.32	alive	.	23.45	240.9375	62.02531646			
2b	135	young	Comp	2	6	50	23.7	1.5	35.55	alive	.	23.3	255.3508772	51.18881119			
2a	136	old	Comp	2	20	85	21.7	1.2	26.04	alive	.	33.2	193.8157895	64.71036585			
2a	137	young	Comp	2	6	38	14.5	2.1	30.45	alive	.	28.8	270.915493	72.3378213			
2a	138	old	Comp	2	12	38	16.2	0.7	11.34	alive	.	26.3	254.4444444	63.56916579			
2a	139	young	Comp	2	9	90	24.1	2.1	50.61	alive	.	31.15	184.0613027	43.01521438			
2a	140	old	Comp	2	10	45	17.7	1.2	21.24	alive	.	26.95	239.047619	82.35294118			
2a	141	young	Comp	2	3	24	20.8	1.9	39.52	alive	.	29.1	194.5248869	72.21727516			
2a	142	old	Comp	2	14	116	19.9	1.4	27.86	alive	.	23.05	217.8512397	73.7804878			
2a	143	young	Comp	2	12	74	25.5	2.3	58.65	alive	.	35.25	247.2368421	46.96394687			
2b	144	old	Comp	2	4	34	20.8	1.6	33.28	alive	.	23.35	210.2290076	42.65010352			
3a	145	young	NoComp	2	17	129	15.3	1.2	18.36	alive	.	29.65	220.8510638	46.6011466			
3b	146	old	NoComp	2	9	80	17.4	1.6	27.84	alive	.	33.4	196.0569106	73.33333333			
3a	147	young	NoComp	2	14	54	10.8	1.2	12.96	alive	.	42.95	142.8125	71.1018711			
3a	148	old	NoComp	2	9	90	20.4	1.3	26.52	alive	.	32.8	221.0884354	56.14349776			
3a	149	young	NoComp	2	4	42	19	1.5	28.5	alive	.	26.5	246.5258216	59.92592593			
3b	150	old	NoComp	2	6	39	17.8	2.1	37.38	alive	.	26.05	211.8518519	77.36389685			
3b	151	young	NoComp	2	10	58	11.8	1.1	12.98	alive	.	41.65	129.3273543	-16.42775882			
3a	152	old	NoComp	2	14	140	21.4	1.4	29.96	alive	.	26.85	288.852459	62.29508197			
3a	153	young	NoComp	2	25	124	26.4	1.6	42.24	alive	.	35.3	247.5886525	62.96296296			
3a	154	old	NoComp	2	12	72	13.2	1.1	14.52	alive	.	34.6	241.3422819	49.20466596			
3a	155	young	NoComp	2	8	65	19.1	1.3	24.83	alive	.	36.05	211.4832536	66.39857015			
3b	157	young	NoComp	2	14	67	18.9	1	18.9	alive	.	28	239.1935484	68.08219178			
3b	158	old	NoComp	2	19	84	19.1	1.1	21.01	alive	.	24.35	220.0689655	48.04772234			
3b	159	young	NoComp	2	11	81	15.6	2.2	34.32	alive	.	38.35	238.4274194	61.30403969			
3a	161	young	NoComp	2	10	66	14.8	1.4	20.72	alive	.	38.15	200.6086957	60.93514329			
3b	162	old	NoComp	2	23	104	20.8	1.3	27.04	alive	.	25.3	258.6861314	68.43575419			
3a	163	young	NoComp	2	8	69	20.3	1.3	26.39	alive	.	23.55	323.9622642	71.23655914			
3a	165	young	NoComp	2	9	61	15.1	2.3	34.73	alive	.	26.15	352.5	60.18518519			
3b	167	young	NoComp	2	8	60	14.3	1.4	20.02	alive	.	38.5	243.6082474	72.29064039			
3a	168	old	NoComp	2	10	64	11.8	1.4	16.52	alive	.	27.05	254.7183099	55.56594949			
3b	169	young	NoComp	2	10	66	11.6	0.6	6.96	alive	.	37.75	154.0880503	59.48275862			
3a	171	young	NoComp	2	2	24	9.7	1.2	11.64	alive	.	.	.	.			
3b	172	old	NoComp	2	13	91	18.1	1.6	28.96	alive	.	33.5	221.7708333	54.73515249			
3b	176	old	NoComp	2	9	38	16.6	2	33.2	alive	.	33.5	215.7333333	69.286754			
3a	177	young	NoComp	2	14	108	16	1.3	20.8	alive	.	26.6	225.7731959	60.57142857			
3b	178	old	NoComp	2	12	57	18.3	1.7	31.11	alive	.	22.2	290.3225806	53.57142857			
3a	179	young	NoComp	2	14	112	19.2	2.3	44.16	alive	.	25.05	253.3333333	55.9602649			
3a	181	young	Comp	2	9	65	23.8	1.6	38.08	alive	.	22.9	227.5675676	56.86746988			
3b	182	old	Comp	2	8	55	23.1	1.5	34.65	alive	.	.	.	.			
3b	183	young	Comp	2	2	28	16.3	1.7	27.71	alive	.	24.65	285.8041958	78.61035422			
3b	184	old	Comp	2	6	30	9.6	1.3	12.48	alive	.	27.45	290.7563025	63.75886525			
3b	185	young	Comp	2	11	70	23	2	46	alive	.	31	230.4301075	57.94183445			
3a	186	old	Comp	2	5	55	18.4	1.3	23.92	alive	.	24.3	215.390625	45.6681351			
3b	187	young	Comp	2	1	6	13	0.9	11.7	alive	.	.	.	.			
3a	188	old	Comp	2	7	46	18.4	0.6	11.04	alive	.	23.9	258.2142857	55.6379822			
3b	191	young	Comp	2	2	23	19.1	1.2	22.92	alive	.	.	.	.			
3b	192	old	Comp	2	4	20	5.2	0.8	4.16	alive	.	.	.	.			
3b	193	young	Comp	2	1	21	21.4	1.6	34.24	alive	.	.	.	.			
3a	194	old	Comp	2	9	45	16.8	1.2	20.16	alive	.	26.55	302.1428571	50.44404973			
3a	195	young	Comp	2	8	33	13.1	0.8	10.48	alive	.	30.45	.	.			
3a	197	young	Comp	2	0	0	.	.	.	dead	.	.	.	.			
3a	198	old	Comp	2	6	33	10.5	0.4	4.2	alive	.	20.75	219.5535714	69.17808219			
3a	199	young	Comp	2	4	42	22.3	1.3	28.99	alive	.	20.85	287.5149701	54.27366807			
3b	200	old	Comp	2	0	0	.	.	.	dead	.	.	.	.			
3a	201	young	Comp	2	11	41	18.7	0.8	14.96	alive	.	25.65	220.625	65.00829187			
3b	202	old	Comp	2	10	50	16.6	0.5	8.3	alive	.	27	186.7948718	75.71801567			
3a	203	young	Comp	2	8	64	33.3	3	99.9	alive	.	27.45	228.551532	58.80439203			
3a	204	old	Comp	2	14	7.2	19.6	1.3	25.48	alive	.	.	.	.			
3a	205	young	Comp	2	4	28	18.2	1.5	27.3	alive	.	37.15	164.5726496	68.04478898			
3b	206	old	Comp	2	5	36	23.4	1.2	28.08	alive	.	26.85	291.6374269	69.08752328			
3a	207	young	Comp	2	14	121	22.1	1.2	26.52	alive	.	39.05	241.0931174	59.97331554			
3a	209	young	Comp	2	8	56	17.3	1.3	22.49	alive	.	29.75	205.5769231	50.28571429			
3a	211	young	Comp	2	19	100	30.3	1.5	45.45	alive	.	25.8	221.2389381	60.69958848			
3a	212	old	Comp	2	10	68	16.1	1.2	19.32	alive	.	24.8	261.1309524	58.14696486			
3b	213	young	Comp	2	4	33	17.6	1.1	19.36	alive	.	28.9	210.2564103	75.25423729			
3a	214	old	Comp	2	12	70	22.4	1.8	40.32	alive	.	25.9	242.03125	40.12195122			
3a	215	young	Comp	2	10	34	12	1.1	13.2	alive	.	38.9	160.6214689	62.93103448			
3a	216	old	Comp	2	18	88	28.2	1.6	45.12	alive	.	29.2	198.4126984	69.05829596			
2a	217	young	NoComp	2	9	34	15.4	1.7	26.18	alive	.	30.1	241.8316832	54.53137103			
3a	218	old	NoComp	2	8	59	12.8	0.9	11.52	alive	.	46.35	218.4	64.99356499			
3a	220	old	NoComp	2	9	67	20.2	2.2	44.44	alive	.	30.3	264.4628099	53.97435897			
1a	1	young	NoComp	3	18	158	27.6	1.3	35.88	alive	0.688	26.95	316.1	56.52173913			
1a	4	old	NoComp	3	3	24	11.5	1.4	16.1	alive	0.736	34.85	268.9855072	72.37209302			
1b	5	young	NoComp	3	15	110	25.6	1.6	40.96	alive	0.758	22.85	279.1489362	73.43039126			
1a	7	young	NoComp	3	10	71	19.3	1.6	30.88	alive	0.735	28.6	289.1160221	64.31924883			
1a	9	young	NoComp	3	11	64	15	1.2	18	alive	0.709	27.3	337.5816993	61.42086331			
1b	11	young	NoComp	3	4	25	14.8	0.6	8.88	alive	.	.	.	.			
1a	13	young	NoComp	3	20	110	29.7	1.1	32.67	alive	0.758	31.75	306.5168539	70.42857143			
1b	14	old	NoComp	3	.	.	.	.	.	dead	.	.	.	.			
1a	16	old	NoComp	3	12	67	14.4	1	14.4	alive	0.715	25.55	336.8181818	61.41975309			
1b	17	young	NoComp	3	7	68	25.7	1.2	30.84	alive	0.726	25.05	381	73.09782609			
1b	18	old	NoComp	3	8	86	17.2	1.4	24.08	alive	0.635	27	256.0526316	71.35549872			
1b	19	young	NoComp	3	10	95	23.8	2.1	49.98	alive	0.76	25.4	287.1910112	70.72			
1a	20	old	NoComp	3	10	40	12.1	1	12.1	alive	0.749	27.6	317.5423729	58.53080569			
1a	21	young	NoComp	3	22	156	26.7	1.5	40.05	alive	0.706	21.85	321.4379085	63.85869565			
1a	22	old	NoComp	3	14	54	17.5	1.1	19.25	alive	0.702	27.95	317.5257732	57.45079663			
1a	23	young	NoComp	3	21	153	21.8	1.3	28.34	alive	0.777	19.65	356.5853659	57.9766537			
1a	27	young	NoComp	3	11	80	16.9	1.3	21.97	alive	0.704	26	298.0681818	62.04081633			
1a	28	old	NoComp	3	12	45	19.8	1.5	29.7	alive	0.728	24.3	386.8656716	60.68301226			
1a	29	young	NoComp	3	15	80	18.4	1.2	22.08	alive	0.758	24.8	322.8873239	68.72693727			
1b	30	old	NoComp	3	18	80	16.4	1.1	18.04	alive	0.693	26.05	299.2380952	73.50649351			
1a	32	old	NoComp	3	7	51	9.4	1.1	10.34	alive	0.598	24.85	274.4117647	61.62790698			
1b	33	young	NoComp	3	16	164	26.1	1.8	46.98	alive	0.75	20.5	274.4664032	62.82450675			
1b	34	old	NoComp	3	10	90	13	1.6	20.8	alive	0.697	24.95	308.722467	72.35621521			
1b	35	young	NoComp	3	17	114	21.8	1.8	39.24	alive	0.707	35	254.9514563	65.02057613			
1a	36	old	NoComp	3	10	90	18.8	0.9	16.92	alive	0.742	30.85	258.7619048	42.45398773			
1b	38	old	Comp	3	6	58	26.5	0.8	21.2	alive	0.697	24.7	262.0422535	80.72139303			
1a	45	young	Comp	3	4	44	34.5	0.7	24.15	alive	0.774	15.8	336.2745098	68.24408468			
1b	46	old	Comp	3	7	41	17.7	0.9	15.93	alive	0.634	25.9	335.915493	78.17652764			
1b	48	old	Comp	3	11	62	27.6	1.2	33.12	alive	0.716	24.5	281.849711	65.88139724			
1b	50	old	Comp	3	13	76	27.3	1.2	32.76	alive	0.709	17.35	382.3756906	71.82044888			
