"response","model","model_type","intercept","slope","AIC"
"sim_DDT","exponential","nls",0.891894986238833,0.000962272050416597,-2076.38411016284
"sim_DDT","power_law","nls",3.61577867323596,0.33857422186505,-838.750844559149
"sim_DDT","log_linear","lm",1.86457835489655,-0.222869701033169,-1518.18375063503
"sim_PCP","exponential","nls",0.616045803738212,0.000437020258090966,31.4600376923522
"sim_PCP","power_law","nls",1.66306156240242,0.215892841284522,63.2156262991561
"sim_PCP","log_linear","lm",1.12861172355785,-0.109226821549239,37.6532783972966
"sim_isotope","exponential","nls",0.947972197201149,0.000119490586902849,-6058.7079420018
"sim_isotope","power_law","nls",1.26683457558387,0.0624370404425679,-5251.88428974024
"sim_isotope","log_linear","lm",1.21307947032954,-0.0564808149627928,-5326.04028520022
"sim_overall","exponential","nls",0.801260711256844,0.000401399882027506,-3647.3162294884
"sim_overall","power_law","nls",1.89109543090401,0.189908517468366,-2932.16033356296
"sim_overall","log_linear","lm",1.40208987283806,-0.129525782334567,-3213.99493071926
