ID	block	mesocosm	light	precipitation	nutrients	speciesgroup	species	leafdryweight.g	leaflength.cm	leafwidth.cm	leafarea.cm2	SLA.cm2g
286	1	10	L60	P100	Nhi	EC	3	0.001725	1.96808875	0.06005385	0.236382613	137.0333989
287	1	10	L60	P100	Nhi	DB	6	0.0454	NA	NA	9.298913333	204.8218796
288	1	10	L60	P100	Nhi	EC	2	0.0067625	2.4509725	0.1855275	0.909445601	134.4836379
289	1	10	L60	P100	Nhi	EC	4	0.0222375	11.0725425	0.111560875	2.47052506	111.0972483
290	1	10	L60	P100	Nhi	DB	5	1.009433333	NA	NA	87.77936667	86.95905293
291	1	10	L60	P100	Nhi	DB	7	0.2195	NA	NA	32.99961	150.3399089
292	1	10	L60	P100	Nhi	EC	1	0.004375	3.5512075	0.120514963	0.855947277	195.645092
293	1	10	L60	P100	Nhi	EC	4	0.0051	4.27539	0.073341225	0.62712468	122.9656235
294	1	10	L60	P100	Nhi	DB	7	0.174625	NA	NA	24.215045	138.6688332
295	1	10	L60	P100	Nhi	DB	6	0.018	NA	NA	4.085713333	226.9840741
296	1	10	L60	P100	Nhi	EC	2	0.0083125	2.64131375	0.192826125	1.018628591	122.5417853
297	1	10	L60	P100	Nhi	EC	3	0.0011375	1.716455	0.053195325	0.182614763	160.5404511
298	1	10	L60	P100	Nhi	DB	5	0.791825	NA	NA	107.413525	135.6531115
299	1	10	L60	P100	Nhi	DB	8	0.049333333	NA	NA	7.312423333	148.2247973
300	1	10	L60	P100	Nhi	EC	1	0.002125	1.93953	0.106146125	0.411747188	193.7633824
301	2	23	L60	P100	Nhi	DB	5	1.462025	NA	NA	152.84835	104.5456473
302	2	23	L60	P100	Nhi	DB	7	0.225725	NA	NA	32.125875	142.3230701
303	2	23	L60	P100	Nhi	EC	2	0.0055375	2.20779875	0.163892375	0.723682761	130.6876318
304	2	23	L60	P100	Nhi	EC	4	0.0188875	9.19518125	0.110839038	2.038370079	107.9216455
305	2	23	L60	P100	Nhi	DB	6	0.1886	NA	NA	24.33334	129.0208908
306	2	23	L60	P100	Nhi	EC	1	0.0017125	2.2813275	0.088151863	0.402206536	234.8651306
307	2	23	L60	P100	Nhi	EC	3	0.0018375	2.24745	0.062329213	0.280163577	152.469974
308	2	23	L60	P100	Nhi	DB	8	0.138966667	NA	NA	23.02482333	165.6859439
309	2	23	L60	P100	Nhi	DB	8	0.068133333	NA	NA	13.98882	205.315362
310	2	23	L60	P100	Nhi	DB	5	0.55285	NA	NA	85.739525	155.0864158
311	2	23	L60	P100	Nhi	EC	4	0.012675	7.41172	0.109389488	1.621528505	127.931243
312	2	23	L60	P100	Nhi	EC	2	0.00365	1.7172625	0.139974375	0.48074549	131.7110932
313	2	23	L60	P100	Nhi	DB	6	0.094175	NA	NA	16.5213875	175.4328378
314	2	23	L60	P100	Nhi	EC	1	0.0024125	2.36056	0.094316925	0.445281521	184.5726512
315	2	23	L60	P100	Nhi	EC	3	0.0015	1.78310375	0.058370475	0.208161226	138.7741505
316	2	23	L60	P100	Nhi	DB	7	0.0911	NA	NA	15.39762	169.0188804
317	2	23	L60	P100	Nhi	DB	6	0.094566667	NA	NA	15.81173667	167.2020092
318	3	40	L60	P100	Nhi	EC	1	0.0018875	1.863855	0.096229175	0.358714458	190.0473949
319	3	40	L60	P100	Nhi	EC	4	0.0222	10.13386	0.123912263	2.511419041	113.1269838
320	3	40	L60	P100	Nhi	DB	5	0.810833333	NA	NA	125.4768333	154.7504625
321	3	40	L60	P100	Nhi	DB	6	0.0797	NA	NA	13.40935	168.2478043
322	3	40	L60	P100	Nhi	EC	3	0.002475	2.38786375	0.080767238	0.385722317	155.8474009
323	3	40	L60	P100	Nhi	DB	7	0.238866667	NA	NA	35.02173333	146.6162434
324	3	40	L60	P100	Nhi	EC	2	0.004525	2.473135	0.165448625	0.81835357	180.8516178
325	3	40	L60	P100	Nhi	DB	8	0.144166667	NA	NA	25.02038667	173.551815
326	3	40	L60	P100	Nhi	DB	8	0.240133333	NA	NA	40.40746667	168.2709606
327	3	40	L60	P100	Nhi	EC	1	0.0033	3.74876	0.121015338	0.907314913	274.9439131
328	3	40	L60	P100	Nhi	DB	8	0.041733333	NA	NA	7.062326667	169.2250799
329	3	40	L60	P100	Nhi	DB	7	0.182	NA	NA	30.92181	169.9000549
