species,growthForm,dimensions,lambda,SurvivalV,SurvivalS,SurvivalEraw,RecruitV,RecruitS,RecruitEraw,GrowthTotV,GrowthTotS,GrowthTotEraw,TotElas,SurvivalE,RecruitE,GrowthTotE,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,clonality,Country,criteriaSize,criteriaStage,criteriaAge,criteria,temporalReplication,start,end,spatialReplication,ecoregion2
Isatis tinctoria,Herbaceous perennial,4,1.459859009,0.277,14.19009955,1,1240,0.002066686,0.287855031,1,0.722885777,0.495175064,1.783030094,0.121686059,0.322882975,0.555430966,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,Genet,USA,NA,Based on age,Yes,A,2,1982,1983,11,Desert
Ambrosia dumosa,Shrub,6,0.615027706,0.526766667,1.09087017,1,0.319888959,0.079067846,0.052947761,0.591827725,1.40992871,0.294399171,1.347346932,0.484398674,0.078595586,0.43700574,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,Genet,USA,NA,NA,NA,NA,11,1984,1994,1,Desert
Balsamorhiza sagittata,Herbaceous perennial,5,30.83171023,0.9999999998,30.83171023,1,0,0,0,21.33454196,3.066761226,0.978527678,1.978527678,0.010852677,0,0.989147323,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,Ramet,USA,Leaf number,Based on size,NA,S,6,2002,2007,2,Desert
Lupinus arboreus,Shrub,9,1.398135909,0.727955556,2.170923761,1,948.7015557,0.000450506,0.20371058,0.751149583,115.5651602,0.348111607,1.551822187,0.288807453,0.262543714,0.448648833,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Nanophanerophyte,Genet,USA,Canopy area,Based on size,NA,S,6,1999,2004,2,Desert
Ambrosia deltoidea,Shrub,6,0.615027706,0.526766667,1.09087017,1,0.319888959,0.079067846,0.052947761,0.591827725,1.40992871,0.294399171,1.347346932,0.484398674,0.078595586,0.43700574,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,Genet,USA,Canopy volume,Based on size,NA,S,73,1906,1978,1,Desert
Opuntia macrocentra,Succulent,10,1.019040436,0.873853509,1.048539353,1,1292.077043,0.346663689,0.030424161,0.248212909,45.9206888,0.055943735,1.086367896,0.840996965,0.056010789,0.102992246,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Nanophanerophyte,Ramet,MEX,Cladode number,Based on size,NA,S,4,1997,2000,2,Desert
Cassia nemophila,Shrub,12,1.206883651,0.746528816,2.580496758,1,218217.3304,0.034973751,0.091805195,0.257478006,2.487032756,0.232668931,1.324474126,0.510033273,0.138628899,0.351337828,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Nanophanerophyte,Genet,AUS,NA,Based on age,Yes,ST.A,51,1925,1975,1,Desert
Ipomopsis aggregata,Herbaceous perennial,7,0.456654531,0.216857143,17.69422842,1,728.0736695,0.005797397,0.288348723,1,0.247502335,0.541990319,1.830339042,0.092693733,0.315076842,0.592229425,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Polemoniaceae,Hemicryptophyte,Genet,USA,NA,NA,Yes,A,10,1995,2004,3,Desert
Atriplex canescens,Shrub,5,1.134105486,0.8012,1.411080481,1,0.441479346,0.125123551,0.124645392,0.509304658,2.254855792,0.188552661,1.313198053,0.522999517,0.189834873,0.287165611,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Nanophanerophyte,Genet,MEX,Canopy volume,Based on size,NA,S,4,1995,1998,1,Desert
Acacia bilimekii,Shrub,6,1.234823499,0.969166667,1.279153115,1,8.133867886,0.008290215,0.070052697,0.255202874,3.480912961,0.212673417,1.282726114,0.559179296,0.109224715,0.331595989,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Nanophanerophyte,Genet,MEX,Canopy volume,Based on size,NA,S,2,2001,2002,1,Desert
