location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
Wo,Wo_13,40.50,,913.08,15.69,261.57,0.84,5.33,282.40,2.42
Wo,Wo_14,39.30,3.24,1171.13,19.10,230.45,0.85,14.91,215.44,3.35
Wo,Wo_15,23.50,0.52,481.52,17.54,272.86,0.83,3.53,250.07,2.65
Wo,Wo_16,30.20,1.87,1104.76,16.49,261.46,0.84,8.32,239.54,3.06
Wo,Wo_17,41.20,1.51,1730.77,15.56,233.07,0.85,10.43,204.27,2.85
Wo,Wo_18,37.00,1.58,1362.98,17.91,345.05,0.83,3.90,266.89,2.69
Wo,Wo_19,36.30,2.63,1153.08,15.72,279.32,0.84,8.61,229.26,3.32
Wo,Wo_20,38.30,,1652.55,13.22,273.31,0.84,6.25,261.44,2.32
Ba,Ba_01,30.10,0.53,439.60,16.50,265.04,0.83,6.40,191.59,3.68
Ba,Ba_02,30.50,1.19,460.53,16.54,259.55,0.84,8.57,236.69,2.81
Ba,Ba_03,23.60,0.55,205.26,15.97,274.87,0.84,9.77,227.47,1.65
Ba,Ba_04,26.60,0.65,362.24,15.03,276.06,0.84,8.88,226.56,3.45
Ba,Ba_05,23.70,0.70,352.64,15.71,275.46,0.85,11.73,257.78,3.41
Ba,Ba_06,13.10,0.17,196.50,20.05,219.73,0.85,17.27,249.93,2.33
Ba,Ba_07,28.10,0.35,257.53,19.44,266.60,0.86,17.08,233.26,2.5
Ba,Ba_08,30.20,0.53,432.66,14.35,303.63,0.84,10.77,251.20,2.73
Ba,Ba_09,23.70,0.72,436.02,16.15,292.52,0.85,13.88,286.68,3.07
Ba,Ba_10,33.70,0.77,483.71,17.82,266.05,0.85,12.69,257.78,2.9
Ba,Ba_11,20.60,0.76,359.69,19.34,259.23,0.83,9.80,275.15,2.42
Ba,Ba_12,31.50,0.51,450.95,17.02,268.49,0.83,9.26,200.45,3.1
Ba,Ba_13,24.00,1.48,340.32,15.16,292.70,0.82,8.35,291.32,2.95
Ba,Ba_14,13.10,0.22,215.57,17.82,284.71,0.85,10.52,303.16,2.72
Ba,Ba_15,27.90,0.69,283.67,14.74,275.59,0.82,6.55,265.70,3.76
Ba,Ba_16,33.30,0.72,519.70,16.74,295.57,0.84,11.55,255.45,2.92
Ba,Ba_17,27.00,0.35,437.73,16.80,282.23,0.85,10.52,273.45,2.97
Ba,Ba_18,32.10,0.76,383.49,17.04,287.17,0.84,5.52,245.91,2.75
Ba,Ba_19,19.60,1.14,240.01,17.02,289.83,0.81,5.08,289.22,3.49
Ba,Ba_20,22.50,0.73,312.50,18.55,254.34,0.85,8.93,268.25,2.79
St,St_01,26.00,0.28,324.46,18.54,272.16,0.79,2.07,248.85,3.23
St,St_02,14.50,0.25,262.33,17.73,289.35,0.82,4.82,295.25,2.36
St,St_03,25.10,0.39,279.22,15.34,303.08,0.83,7.69,226.06,2.84
St,St_04,14.20,0.36,193.92,14.53,315.60,0.83,7.38,279.83,2.92
St,St_05,22.60,0.31,222.20,16.64,247.68,0.83,6.58,243.16,3.47
St,St_06,27.50,0.31,390.11,17.45,262.79,0.85,9.63,240.82,1.52
St,St_07,29.60,0.40,372.60,15.56,291.36,0.81,8.05,252.67,3.78
St,St_08,31.80,0.37,337.18,14.76,304.46,0.83,6.93,268.92,2.35
St,St_09,14.60,0.34,274.43,17.59,290.50,0.81,2.45,272.27,2.58
St,St_10,15.00,0.36,166.77,20.21,302.20,,,238.95,2.83
St,St_11,24.00,0.18,222.14,23.26,300.79,0.83,6.72,257.57,2.42
St,St_12,29.80,0.45,268.88,14.73,297.72,0.84,8.41,286.97,3.34
St,St_13,21.80,0.29,239.37,18.70,277.06,0.84,11.89,301.04,3.11
St,St_14,50.20,1.47,849.41,13.60,289.46,0.84,8.63,214.69,2.93
St,St_15,15.20,0.33,228.36,17.04,298.11,0.83,10.25,243.86,3.04
St,St_16,23.40,0.20,223.31,20.39,275.13,0.84,9.63,287.14,2.75
St,St_17,19.40,0.37,212.73,17.88,301.65,0.83,6.65,237.56,3.62
St,St_18,25.30,0.36,387.53,17.42,277.95,0.84,7.54,271.69,2.94
St,St_19,15.50,0.18,169.15,17.90,311.37,0.86,12.17,262.89,2.89
St,St_20,29.60,0.56,292.41,17.30,334.99,0.83,10.74,261.17,2.66
Sa,Sa_01,12.80,0.26,360.28,17.32,271.19,0.85,8.76,214.80,2.75
Sa,Sa_02,35.60,0.90,1606.53,14.86,279.69,0.85,13.97,257.17,2.38
Sa,Sa_03,35.20,,925.00,12.49,294.02,0.81,4.78,227.74,3.45
Sa,Sa_04,26.50,0.94,716.31,13.86,307.74,0.85,10.41,234.15,2.68
Sa,Sa_05,25.00,0.82,601.96,16.91,263.90,0.85,13.36,199.02,3.28
Sa,Sa_06,28.70,0.84,930.55,14.75,281.07,0.83,8.31,222.97,2.8
Sa,Sa_07,42.50,1.03,822.36,16.68,286.96,0.84,10.32,275.38,2.14
