Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403810.081,6463280.065
C_undulatum_LL_&_UTM,Single Plant,403811.608,6463278.527
C_undulatum_LL_&_UTM,Single Plant,403812.085,6463277.977
C_undulatum_LL_&_UTM,Single Plant,403811.338,6463277.083
C_undulatum_LL_&_UTM,Single Plant,403812.283,6463277.092
C_undulatum_LL_&_UTM,Single Plant,403812.291,6463276.205
C_undulatum_LL_&_UTM,Single Plant,403812.092,6463277.312
C_undulatum_LL_&_UTM,Single Plant,403811.324,6463278.524
C_undulatum_LL_&_UTM,Single Plant,403809.154,6463278.171
C_undulatum_LL_&_UTM,Single Plant,403808.03,6463277.052
C_undulatum_LL_&_UTM,Single Plant,403810.419,6463274.303
C_undulatum_LL_&_UTM,Single Plant,403809.288,6463273.96
C_undulatum_LL_&_UTM,Single Plant,403809.182,6463275.178
C_undulatum_LL_&_UTM,Single Plant,403809.182,6463275.178
C_undulatum_LL_&_UTM,Single Plant,403809.749,6463275.184
C_undulatum_LL_&_UTM,Single Plant,403809.755,6463274.519
C_undulatum_LL_&_UTM,Single Plant,403811.655,6463273.539
C_undulatum_LL_&_UTM,Single Plant,403812.046,6463272.101
C_undulatum_LL_&_UTM,Single Plant,403814.501,6463272.346
C_undulatum_LL_&_UTM,Single Plant,403814.508,6463271.57
C_undulatum_LL_&_UTM,Single Plant,403815.66,6463269.696
C_undulatum_LL_&_UTM,Single Plant,403813.964,6463269.126
C_undulatum_LL_&_UTM,Single Plant,403812.205,6463265.229
C_undulatum_LL_&_UTM,Single Plant,403809.25,6463267.973
C_undulatum_LL_&_UTM,Single Plant,403806.735,6463264.069
C_undulatum_LL_&_UTM,Single Plant,403804.37,6463264.269
C_undulatum_LL_&_UTM,Single Plant,403804.375,6463263.715
C_undulatum_LL_&_UTM,Single Plant,403805.567,6463267.606
C_undulatum_LL_&_UTM,Single Plant,403807.623,6463270.064
C_undulatum_LL_&_UTM,Single Plant,403808.757,6463270.075
C_undulatum_LL_&_UTM,Single Plant,403808.374,6463270.626
C_undulatum_LL_&_UTM,Single Plant,403798.226,6463264.433
C_undulatum_LL_&_UTM,Single Plant,403800.116,6463264.451
C_undulatum_LL_&_UTM,Single Plant,403798.842,6463269.206
C_undulatum_LL_&_UTM,Single Plant,403802.383,6463274.56
C_undulatum_LL_&_UTM,Single Plant,403794.517,6463276.925
C_undulatum_LL_&_UTM,Single Plant,403794.123,6463278.584
C_undulatum_LL_&_UTM,Single Plant,403796.671,6463278.941
C_undulatum_LL_&_UTM,Single Plant,403803.008,6463278.446
C_undulatum_LL_&_UTM,Single Plant,403804.98,6463279.795
C_undulatum_LL_&_UTM,Single Plant,403804.679,6463281.677
C_undulatum_LL_&_UTM,Single Plant,403805.345,6463281.24
C_undulatum_LL_&_UTM,Single Plant,403804.48,6463282.783
C_undulatum_LL_&_UTM,Single Plant,403804.198,6463282.559
C_undulatum_LL_&_UTM,Single Plant,403802.479,6463284.428
C_undulatum_LL_&_UTM,Single Plant,403802.489,6463283.43
C_undulatum_LL_&_UTM,Single Plant,403803.529,6463283.329
C_undulatum_LL_&_UTM,Single Plant,403803.531,6463283.107
C_undulatum_LL_&_UTM,Single Plant,403802.016,6463283.425
C_undulatum_LL_&_UTM,Single Plant,403800.867,6463285.078
C_undulatum_LL_&_UTM,Single Plant,403803.865,6463287.877
C_undulatum_LL_&_UTM,Single Plant,403801.124,6463287.851
C_undulatum_LL_&_UTM,Single Plant,403796.549,6463291.91
C_undulatum_LL_&_UTM,Single Plant,403792.955,6463292.209
C_undulatum_LL_&_UTM,Single Plant,403792.326,6463288.766
C_undulatum_LL_&_UTM,Single Plant,403792.039,6463289.096
C_undulatum_LL_&_UTM,Single Plant,403786.655,6463288.824
C_undulatum_LL_&_UTM,Single Plant,403785.715,6463288.261
C_undulatum_LL_&_UTM,Single Plant,403784.997,6463284.263
C_undulatum_LL_&_UTM,Single Plant,403785.48,6463283.159
C_undulatum_LL_&_UTM,Single Plant,403787.367,6463283.509
C_undulatum_LL_&_UTM,Single Plant,403787.356,6463284.618
C_undulatum_LL_&_UTM,Single Plant,403790.191,6463284.645
C_undulatum_LL_&_UTM,Single Plant,403789.535,6463284.084
C_undulatum_LL_&_UTM,Single Plant,403788.312,6463283.518
C_undulatum_LL_&_UTM,Single Plant,403788.876,6463283.745
C_undulatum_LL_&_UTM,Single Plant,403788.608,6463282.191
C_undulatum_LL_&_UTM,Single Plant,403792.835,6463284.891
C_undulatum_LL_&_UTM,Single Plant,403795.475,6463285.581
C_undulatum_LL_&_UTM,Single Plant,403794.092,6463281.91
C_undulatum_LL_&_UTM,Single Plant,403788.938,6463277.205
C_undulatum_LL_&_UTM,Single Plant,403785.547,6463275.954
C_undulatum_LL_&_UTM,Single Plant,403781.766,6463276.029
C_undulatum_LL_&_UTM,Single Plant,403781.762,6463276.472
C_undulatum_LL_&_UTM,Single Plant,403771.296,6463283.912
C_undulatum_LL_&_UTM,Single Plant,403781.275,6463288.108
C_undulatum_LL_&_UTM,Single Plant,403780.81,6463287.328
C_undulatum_LL_&_UTM,Single Plant,403780.722,6463286.551
C_undulatum_LL_&_UTM,Single Plant,403779.63,6463282.106
C_undulatum_LL_&_UTM,Single Plant,403786.114,6463275.959
C_undulatum_LL_&_UTM,Single Plant,403787.993,6463267.108
C_undulatum_LL_&_UTM,Single Plant,403787.389,6463261.005
C_undulatum_LL_&_UTM,Single Plant,403789.484,6463259.362
C_undulatum_LL_&_UTM,Single Plant,403786.759,6463257.673
C_undulatum_LL_&_UTM,Single Plant,403785.724,6463257.22
C_undulatum_LL_&_UTM,Single Plant,403783.738,6463267.401
C_undulatum_LL_&_UTM,Single Plant,403771.667,6463254.538
C_undulatum_LL_&_UTM,Single Plant,403777.014,6463258.801
C_undulatum_LL_&_UTM,Single Plant,403778.091,6463264.909
C_undulatum_LL_&_UTM,Single Plant,403776.498,6463263.452
C_undulatum_LL_&_UTM,Single Plant,403773.402,6463260.984
C_undulatum_LL_&_UTM,Single Plant,403773.195,6463262.867
C_undulatum_LL_&_UTM,Single Plant,403773.64,6463265.864
C_undulatum_LL_&_UTM,Single Plant,403772.513,6463265.078
C_undulatum_LL_&_UTM,Single Plant,403773.605,6463269.522
C_undulatum_LL_&_UTM,Single Plant,403774.994,6463272.64
C_undulatum_LL_&_UTM,Single Plant,403775.929,6463273.646
C_undulatum_LL_&_UTM,Single Plant,403774.599,6463284.498
C_undulatum_LL_&_UTM,Single Plant,403774.123,6463284.826
C_undulatum_LL_&_UTM,Single Plant,403759.292,6463284.132
C_undulatum_LL_&_UTM,Single Plant,403753.873,6463277.429
C_undulatum_LL_&_UTM,Single Plant,403755.845,6463278.778
C_undulatum_LL_&_UTM,Single Plant,403756.716,6463276.569
C_undulatum_LL_&_UTM,Single Plant,403757.203,6463275.133
C_undulatum_LL_&_UTM,Single Plant,403751.585,6463279.514
C_undulatum_LL_&_UTM,Single Plant,403734.097,6463279.904
C_undulatum_LL_&_UTM,Single Plant,403732.411,6463278.336
C_undulatum_LL_&_UTM,Single Plant,403715.438,6463274.296
C_undulatum_LL_&_UTM,Single Plant,403710.246,6463273.582
C_undulatum_LL_&_UTM,Single Plant,403706.941,6463273.329
C_undulatum_LL_&_UTM,Single Plant,403705.523,6463273.316
C_undulatum_LL_&_UTM,Single Plant,403705.791,6463274.981
C_undulatum_LL_&_UTM,Single Plant,403702.381,6463275.836
C_undulatum_LL_&_UTM,Single Plant,403701.436,6463275.827
C_undulatum_LL_&_UTM,Single Plant,403701.071,6463274.383
C_undulatum_LL_&_UTM,Single Plant,403698.63,6463272.697
C_undulatum_LL_&_UTM,Single Plant,403697.204,6463273.57
C_undulatum_LL_&_UTM,Single Plant,403691.963,6463278.177
C_undulatum_LL_&_UTM,Single Plant,403691.6,6463276.511
C_undulatum_LL_&_UTM,Single Plant,403691.338,6463274.291
C_undulatum_LL_&_UTM,Single Plant,403691.002,6463279.831
C_undulatum_LL_&_UTM,Single Plant,403693.339,6463282.624
C_undulatum_LL_&_UTM,Single Plant,403693.619,6463282.96
C_undulatum_LL_&_UTM,Single Plant,403693.591,6463285.952
C_undulatum_LL_&_UTM,Single Plant,403691.683,6463287.819
C_undulatum_LL_&_UTM,Single Plant,403689.645,6463283.476
C_undulatum_LL_&_UTM,Single Plant,403689.828,6463284.032
C_undulatum_LL_&_UTM,Single Plant,403688.143,6463282.354
C_undulatum_LL_&_UTM,Single Plant,403685.91,6463278.674
C_undulatum_LL_&_UTM,Single Plant,403682.736,6463284.52
C_undulatum_LL_&_UTM,Single Plant,403685.362,6463286.651
C_undulatum_LL_&_UTM,Single Plant,403686.491,6463287.216
C_undulatum_LL_&_UTM,Single Plant,403687.897,6463288.449
C_undulatum_LL_&_UTM,Single Plant,403685.735,6463287.209
C_undulatum_LL_&_UTM,Single Plant,403685.077,6463286.759
C_undulatum_LL_&_UTM,Single Plant,403684.319,6463286.974
C_undulatum_LL_&_UTM,Single Plant,403684.794,6463286.756
C_undulatum_LL_&_UTM,Single Plant,403684.773,6463288.973
C_undulatum_LL_&_UTM,Single Plant,403686.688,6463296.419
C_undulatum_LL_&_UTM,Single Plant,403685.256,6463297.847
