"dryad_dataset_doi","dryad_version_id","dryad_file_id","file_path","action","status","message","rows_in","rows_out","timestamp_utc"
"doi:10.5061/dryad.h9w0vt4fn",64263,298252,"DryadPlantTraits/output/downloads/v64263/Kleinschmidt_FuncEcol_2020_Table_S1.csv","read","read","Loaded 48 rows x 11 columns",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.h9w0vt4fn",64263,298252,"DryadPlantTraits/output/downloads/v64263/Kleinschmidt_FuncEcol_2020_Table_S1.csv","standardize","compiled","Compiled BIEN-style observation rows.",48,144,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318411,"herbivory_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318397,"leaf_area_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318398,"leaf_CN_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318399,"light_data_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318400,"readme_Zirbel_Brudvig_2020_dryad.txt","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318401,"seed_mass_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318403,"seedling_count_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318402,"soil_moisture_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318404,"soil_nutrient_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318405,"soil_texture_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318406,"soil_water_hold_capacity_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
"doi:10.5061/dryad.bnzs7h46q",65513,318407,"sown_density_Zirbel_Brudvig_2020_dryad.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:18Z"
