"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","fetch_page"
"scientific_data","10.1038/s41597-024-03509-4","""leaf dry matter content"" plant","A thermosurvey dataset: Older adults’ experiences and adaptation to urban heat and climate change","Barbara Jancewicz; Małgorzata Wrotek","<jats:title>Abstract</jats:title><jats:p>We introduce the thermosurvey dataset, a comprehensive collection focusing on the thermal comfort, heat-related experiences, health, socioeconomic status, and perceptions of older adults (aged 65 and over) in Warsaw and Madrid. The two cities differ greatly in their heat experiences, but due to climate change, both face increasing temperatures. The study aimed to understand how heat affects cities’ older adult population and how we can better adapt to rising temperatures. We call the study a thermosurvey because it connects traditional survey data with temperature and humidity measurements done before, after and during the interview, offering a holistic view of the participants’ thermal environments. The dataset can be used to better understand thermal comfort, the interplay of health and heat experiences, and the relationship between experiences and climate change views. We hope our data will enable scholars to analyse the impact of climate change on older adults and to develop strategies to help them adapt to a warming climate.</jats:p>",,,,2,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/s41597-024-03509-4","https://doi.org/10.1038/s41597-024-03509-4",,1
"scientific_data","10.1038/s41597-025-04478-y","plant* trait*","Dynamic urban morphology mapping in Chinese cities based on local climate zone approach","Hanguang Yu; Yang Yang; Jiyao Zhao; Meng Cai; Ran Wang; Guangzhao Chen; Chunxiao Zhang; Le Yu",,,,,2,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/s41597-025-04478-y","https://doi.org/10.1038/s41597-025-04478-y","10.5281/zenodo.14614256",1
"scientific_data","10.1038/s41597-020-00775-w","""leaf dry matter content"" plant","Genome-scale determination of 5´ and 3´ boundaries of RNA transcripts in Streptomyces genomes","Yongjae Lee; Namil Lee; Soonkyu Hwang; Woori Kim; Yujin Jeong; Suhyung Cho; Bernhard O. Palsson; Byung-Kwan Cho","<jats:title>Abstract</jats:title><jats:p><jats:italic>Streptomyces</jats:italic> species are gram-positive bacteria with GC-rich linear genomes and they serve as dominant reservoirs for producing clinically and industrially important secondary metabolites. Genome mining of <jats:italic>Streptomyces</jats:italic> revealed that each <jats:italic>Streptomyces</jats:italic> species typically encodes 20–50 secondary metabolite biosynthetic gene clusters (smBGCs), emphasizing their potential for novel compound discovery. Unfortunately, most of smBGCs are uncharacterized in terms of their products and regulation since they are silent under laboratory culture conditions. To translate the genomic potential of <jats:italic>Streptomyces</jats:italic> to practical applications, it is essential to understand the complex regulation of smBGC expression and to identify the underlying regulatory elements. To progress towards these goals, we applied two Next-Generation Sequencing methods, dRNA-Seq and Term-Seq, to industrially relevant <jats:italic>Streptomyces</jats:italic> species to reveal the 5´ and 3´ boundaries of RNA transcripts on a genome scale. This data provides a fundamental resource to aid our understanding of <jats:italic>Streptomyces</jats:italic>’ regulation of smBGC expression and to enhance their potential for secondary metabolite synthesis.</jats:p>",,,,2,FALSE,"plant_hits=1; trait_hits=1; measurement_hits=0; exclude_hits=1","10.1038/s41597-020-00775-w","https://doi.org/10.1038/s41597-020-00775-w",,1
"scientific_data","10.1038/sdata.2017.81","plant* trait*","Targeted metagenomic sequencing data of human gut microbiota associated with Blastocystis colonization","Léa Siegwald; Christophe Audebert; Gaël Even; Eric Viscogliosi; Ségolène Caboche; Magali Chabé","<jats:title>Abstract</jats:title><jats:p>In the past decade, metagenomics studies have become widespread due to the arrival of second-generation sequencing platforms characterized by low costs, high throughput and short read lengths. Today, although benchtop sequencers are considered to be accurate platforms to deliver data for targeted metagenomics studies, the limiting factor has become the analysis of these data. In a previous paper, we performed an Ion Torrent PGM 16S rDNA gene sequencing of faecal DNAs from 48 <jats:italic>Blastocystis</jats:italic>-colonized patients and 48 <jats:italic>Blastocystis</jats:italic>-negative subjects, in order to decipher the impact of this widespread protist on gut microbiota composition and diversity. We report here on the Ion Torrent targeted metagenomic sequencing and analysis of these 96 human faecal samples, and the complete datasets from raw to analysed data. We also provide the key steps of the bioinformatic analyses, from library preparation to data filtering and OTUs tables generation. This data represents a valuable resource for the scientific community, enabling re-processing of these targeted metagenomic datasets through various pipelines and a comparative evaluation of microbiota analysis methods.</jats:p>",,,,2,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/sdata.2017.81","https://doi.org/10.1038/sdata.2017.81",,1
"scientific_data","10.1038/s41597-022-01681-z","""leaf dry matter content"" plant","A comprehensive genomic and transcriptomic dataset of triple-negative breast cancers","Qingwang Chen; Yaqing Liu; Yuechen Gao; Ruolan Zhang; Wanwan Hou; Zehui Cao; Yi-Zhou Jiang; Yuanting Zheng; Leming Shi; Ding Ma; Jingcheng Yang; Zhi-Ming Shao; Ying Yu","<jats:title>Abstract</jats:title><jats:p>Molecular subtyping of triple-negative breast cancer (TNBC) is essential for understanding the mechanisms and discovering actionable targets of this highly heterogeneous type of breast cancer. We previously performed a large single-center and multiomics study consisting of genomics, transcriptomics, and clinical information from 465 patients with primary TNBC. To facilitate reusing this unique dataset, we provided a detailed description of the dataset with special attention to data quality in this study. The multiomics data were generally of high quality, but a few sequencing data had quality issues and should be noted in subsequent data reuse. Furthermore, we reconduct data analyses with updated pipelines and the updated version of the human reference genome from hg19 to hg38. The updated profiles were in good concordance with those previously published in terms of gene quantification, variant calling, and copy number alteration. Additionally, we developed a user-friendly web-based database for convenient access and interactive exploration of the dataset. Our work will facilitate reusing the dataset, maximize the values of data and further accelerate cancer research.</jats:p>",,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-022-01681-z","https://doi.org/10.1038/s41597-022-01681-z","10.6084/m9.figshare.19783498",1
"scientific_data","10.1038/s41597-025-04948-3","plant* trait*","A Frontal Ablation Dataset for 49 Tidewater Glaciers in Greenland","Dominik Fahrner; Donald A. Slater; Aman KC; Claudia Cenedese; David A. Sutherland; Ellyn Enderlin; M. Femke de Jong; Kristian K. Kjeldsen; Michael Wood; Peter Nienow; Sophie Nowicki; Till J. W. Wagner",,,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-04948-3","https://doi.org/10.1038/s41597-025-04948-3","10.5281/zenodo.10076252, 10.5281/zenodo.8414729",1
"scientific_data","10.1038/s41597-025-04580-1","plant* trait*","A semantic approach to mapping the Provenance Ontology to Basic Formal Ontology","Tim Prudhomme; Giacomo De Colle; Austin Liebers; Alec Sculley; Peihong “Karl” Xie; Sydney Cohen; John Beverley","<jats:title>Abstract</jats:title>
          <jats:p>The Provenance Ontology (PROV-O) is a World Wide Web Consortium (W3C) recommended ontology used to structure data about provenance across a wide variety of domains. Basic Formal Ontology (BFO) is a top-level ontology ISO/IEC standard used to structure a wide variety of ontologies, such as the OBO Foundry ontologies and the Common Core Ontologies (CCO). To enhance interoperability between these two ontologies, their extensions, and data organized by them, a mapping methodology and set of alignments are presented according to specific criteria which prioritize semantic and logical principles. The ontology alignments are evaluated by checking their logical consistency with canonical examples of PROV-O instances and querying terms that do not satisfy the alignment criteria as formalized in SPARQL. A variety of semantic web technologies are used in support of FAIR (Findable, Accessible, Interoperable, Reusable) principles.</jats:p>",,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-04580-1","https://doi.org/10.1038/s41597-025-04580-1","10.5281/zenodo.14692262",1
"scientific_data","10.1038/s41597-025-05248-6","""leaf dry matter content"" plant","Chromosome-level genome assembly of rock carp (Procypris rabaudi)","Zhongyi Wang; Miling Ran; Xiaoshuai Liu; Chuang Zhou; Zhaobin Song",,,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-05248-6","https://doi.org/10.1038/s41597-025-05248-6",,1
"scientific_data","10.1038/s41597-025-05351-8","""leaf dry matter content"" plant","Chromosome-level genome assembly of the Rhizoctonia solani","Haoxue Xia; Tianbo Liu; Yaru He; Qitang Guo; Hanxiang Wu; Guangfei Tang",,,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-05351-8","https://doi.org/10.1038/s41597-025-05351-8",,1
"scientific_data","10.1038/s41597-023-02864-y","""leaf dry matter content"" plant","Enrichment of lung cancer computed tomography collections with AI-derived annotations","Deepa Krishnaswamy; Dennis Bontempi; Vamsi Krishna Thiriveedhi; Davide Punzo; David Clunie; Christopher P. Bridge; Hugo J. W. L. Aerts; Ron Kikinis; Andrey Fedorov","<jats:title>Abstract</jats:title><jats:p>Public imaging datasets are critical for the development and evaluation of automated tools in cancer imaging. Unfortunately, many do not include annotations or image-derived features, complicating downstream analysis. Artificial intelligence-based annotation tools have been shown to achieve acceptable performance and can be used to automatically annotate large datasets. As part of the effort to enrich public data available within NCI Imaging Data Commons (IDC), here we introduce AI-generated annotations for two collections containing computed tomography images of the chest, NSCLC-Radiomics, and a subset of the National Lung Screening Trial. Using publicly available AI algorithms, we derived volumetric annotations of thoracic organs-at-risk, their corresponding radiomics features, and slice-level annotations of anatomical landmarks and regions. The resulting annotations are publicly available within IDC, where the DICOM format is used to harmonize the data and achieve FAIR (Findable, Accessible, Interoperable, Reusable) data principles. The annotations are accompanied by cloud-enabled notebooks demonstrating their use. This study reinforces the need for large, publicly accessible curated datasets and demonstrates how AI can aid in cancer imaging.</jats:p>",,,,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-023-02864-y","https://doi.org/10.1038/s41597-023-02864-y","10.5281/zenodo.4003545, 10.5281/zenodo.5195341, 10.5281/zenodo.5113483, 10.5281/zenodo.7975081, 10.5281/zenodo.10055293",1
