"provider_dataset_id","provider_file_id","file_path","action","status","message","rows_in","rows_out","timestamp_utc"
"zenodo:19816125","zenodo:19816125::Extraction_template.xlsx","Extraction_template.xlsx","extract","skipped","unsupported_file_type",0,0,"2026-04-28T14:16:37Z"
"zenodo:19816125","zenodo:19816125::Individual_datasets.zip","Individual_datasets.zip","extract","skipped","archive_extracted",0,0,"2026-04-28T14:16:37Z"
