phylo.name,Species notes,leaf.fresh.weight.g,leaf.dry.weight.g,root.dry.weight.g,stem.dry.weight.g,leaf.area.cm.sq,experiment,all.dry.weight.g,block,harvest.minus.germ.date,average.seed.weight
Brachiaria_subquadripara,,1.5294,0.2937,0.33678,0.2431,77.5205,A,0.87358,8,43,0.00097619
Brachiaria_subquadripara,,0.2668,0.0301,0.03655,0.01373,14.6594,A,0.08038,1,40,0.00097619
Brachiaria_subquadripara,,0.0181,0.0022,0.00462,0.00103,1.2036,A,0.00785,3,23,0.00097619
Brachypodium_distachyon,,0.1193,0.0259,0.02699,0.01102,8.2337,B,0.06391,5,40,0.003753465
Brachypodium_distachyon,,0.0146,0.0051,0.0044,0.00146,1.2973,B,0.01096,7,24,0.003753465
Brachypodium_distachyon,,0.0034,0.00079,0.0015,0.00057,0.3849,B,0.00286,4,26,0.003753465
Brachypodium_distachyon,,0.0626,0.0188,0.01868,0.00669,3.8273,B,0.04417,4,33,0.003753465
Brachypodium_distachyon,,0.1162,0.0358,0.0352,0.01439,8.5695,B,0.08539,2,31,0.003753465
Brachypodium_phoenicoides,,0.0399,0.0101,0.0115,0.008,2.1117,B,0.0296,6,43,0.002920909
Brachypodium_phoenicoides,,0.033,0.0099,0.0134,0.0044,1.9246,A,0.0277,1,35,0.002920909
Brachypodium_phoenicoides,,0.1743,0.0469,0.04744,0.01718,11.9062,A,0.11152,8,44,0.002920909
Brachypodium_phoenicoides,,0.0143,0.0056,0.00449,0.00201,0.9426,A,0.0121,5,40,0.002920909
Brachypodium_phoenicoides,,0.0179,0.0055,0.00873,0.00415,1.385,A,0.01838,5,32,0.002920909
Brachypodium_phoenicoides,,0.0028,7.00E-04,0.00118,0.00021,0.263,B,0.00209,6,11,0.002920909
Brachypodium_phoenicoides,,0.0029,0.00051,0.00084,2.00E-04,0.2167,B,0.00155,3,11,0.002920909
Brachypodium_phoenicoides,,0.0161,0.00634,0.0057,0.004,1.0061,B,0.01604,8,32,0.002920909
Brachypodium_phoenicoides,,0.0121,0.00465,0.0014,0.00169,0.8054,B,0.00774,6,31,0.002920909
Brachypodium_phoenicoides,,0.0043,0.00118,0.00166,0,0.3325,A,0.00284,7,16,0.002920909
Brachypodium_phoenicoides,,0.0491,0.013,0.0111,0.0059,4.2261,A,0.03,1,45,0.002920909
Brachypodium_phoenicoides,,0.031,0.00887,0.00742,0.00323,1.753,B,0.01952,7,32,0.002920909
Brachypodium_phoenicoides,,0.0126,0.0038,0.00473,0.00048,1.0367,A,0.00901,2,19,0.002920909
Brachypodium_phoenicoides,,0.0046,0.00121,0.00102,0.00076,0.2388,A,0.00299,4,15,0.002920909
Brachypodium_phoenicoides,,0.011,0.00366,0.0047,0.0011,0.7073,B,0.00946,8,25,0.002920909
Brachypodium_phoenicoides,,0.0045,0.00142,6.00E-05,6.00E-04,0.2941,B,0.00208,4,23,0.002920909
Brachypodium_phoenicoides,,0.0109,0.004,0.00335,0.00134,0.5639,A,0.00869,5,23,0.002920909
Brachypodium_phoenicoides,,0.0174,0.0042,0.0045,0.00066,1.3299,B,0.00936,2,18,0.002920909
Brachypodium_phoenicoides,,0.0383,0.0113,0.05549,0.00479,2.6053,A,0.07158,7,29,0.002920909
Brachypodium_pinnatum,,0.0103,0.0029,0.0031,0.00121,0.9449,A,0.00721,4,23,0.00217156
Brachypodium_pinnatum,,0.0082,0.00256,0.0019,0.00062,0.8444,A,0.00508,5,10,0.00217156
