species_name;year;contrast_in_pot_halves;belowground_biomass[g];aboveground_biomass[g];lowconc_half_roots[g];highconc_half_roots[g]
Helianthemum grandiflorum;2014;high;0.0359;0.1184;0.0024;0.0335
Helianthemum grandiflorum;2014;high;0.0135;0.0227;0.0098;0.0037
Helianthemum grandiflorum;2014;high;0.0355;0.2016;0.0023;0.0332
Helianthemum grandiflorum;2014;high;0.0824;0.2349;0.0039;0.0785
Helianthemum grandiflorum;2014;high;0.0598;0.2115;0.0086;0.0512
Helianthemum grandiflorum;2014;high;0.0223;0.0519;0.014;0.0083
Helianthemum grandiflorum;2014;high;0.0758;0.2258;0.0303;0.0455
Hypericum perforatum;2014;high;0.054;0.1124;0.0267;0.0273
Hypericum perforatum;2014;high;0.1958;0.4366;0.1069;0.0889
Hypericum perforatum;2014;high;0.118;0.2375;0.0614;0.0566
Hypericum perforatum;2014;high;0.1563;0.2392;0.1195;0.0368
Hypericum perforatum;2014;high;0.3791;0.8888;0.1277;0.2514
Hypericum perforatum;2014;high;0.0224;0.0337;0.019;0.0034
Inula hirta;2014;high;0.0925;0.2362;0.0471;0.0454
Inula hirta;2014;high;0.2078;0.3373;0.1244;0.0834
Inula hirta;2014;high;0.1091;0.1957;0.0618;0.0473
Inula hirta;2014;high;0.3144;0.496;0.1159;0.1985
Inula hirta;2014;high;0.0748;0.0946;0.0403;0.0345
Inula hirta;2014;high;0.0837;0.1662;0.0178;0.0659
Linaria vulgaris;2014;high;0.9663;2.5509;0.4554;0.5109
Linaria vulgaris;2014;high;0.4119;1.7516;0.1297;0.2822
Linaria vulgaris;2014;high;0.0466;0.082;0.0244;0.0222
Linaria vulgaris;2014;high;0.4808;0.9049;0.2416;0.2392
Linaria vulgaris;2014;high;0.2705;0.7799;0.0751;0.1954
Lychnis flos-cuculi;2014;high;0.7478;3.5453;0.2319;0.5159
Lychnis flos-cuculi;2014;high;0.3702;2.4558;0.1338;0.2364
Lychnis flos-cuculi;2014;high;0.7836;1.5964;0.4305;0.3531
Lychnis flos-cuculi;2014;high;0.7011;1.4676;0.2069;0.4942
Lychnis flos-cuculi;2014;high;0.4244;0.9865;0.1431;0.2813
Lychnis flos-cuculi;2014;high;0.329;1.2194;0.0642;0.2648
Lychnis flos-cuculi;2014;high;0.4167;3.0195;0.1532;0.2635
Malva sylvestris;2014;high;0.6804;1.8752;0.0714;0.609
Malva sylvestris;2014;high;0.1092;0.4984;0.0643;0.0449
Malva sylvestris;2014;high;1.5138;4.6252;0.6667;0.8471
Malva sylvestris;2014;high;0.4045;2.8506;0.1376;0.2669
Malva sylvestris;2014;high;0.186;0.903;0.0876;0.0984
Malva sylvestris;2014;high;0.0679;0.311;0.0164;0.0515
Plantago lanceolata;2014;high;0.7973;5.8047;0.3257;0.4716
Plantago lanceolata;2014;high;0.9927;3.9309;0.259;0.7337
Plantago lanceolata;2014;high;0.791;5.308;0.1933;0.5977
Plantago lanceolata;2014;high;0.2103;0.5561;0.1527;0.0576
Plantago lanceolata;2014;high;0.828;3.2849;0.1978;0.6302
Potentilla recta;2014;high;0.2507;0.0601;0.0687;0.182
Potentilla recta;2014;high;0.6784;2.4257;0.3061;0.3723
Potentilla recta;2014;high;0.2841;1.2028;0.0208;0.2633
Potentilla recta;2014;high;0.3144;1.1346;0.1122;0.2022
Potentilla recta;2014;high;0.341;0.6549;0.1656;0.1754
Potentilla recta;2014;high;0.4292;1.6993;0.1622;0.267
Potentilla recta;2014;high;0.2416;0.9871;0.1231;0.1185
Prunella vulgaris;2014;high;0.1382;0.6048;0.068;0.0702
Prunella vulgaris;2014;high;0.16;0.5982;0.0641;0.0959
Prunella vulgaris;2014;high;0.0817;0.2608;0.0194;0.0623
Prunella vulgaris;2014;high;0.0597;0.3006;0.0231;0.0366
Pseudolysimachion spicatum;2014;high;0.0553;0.2872;0.0182;0.0371
Pseudolysimachion spicatum;2014;high;0.084;0.2694;0.0287;0.0553
Pseudolysimachion spicatum;2014;high;0.1681;0.8065;0.0946;0.0735
Pseudolysimachion spicatum;2014;high;0.1134;0.6316;0.0194;0.094
Pseudolysimachion spicatum;2014;high;0.031;0.1107;0.0196;0.0114
Silene dioica;2014;high;0.5386;3.2846;0.1011;0.4375
Silene dioica;2014;high;0.1224;0.1498;0.0761;0.0463
Silene dioica;2014;high;0.0882;0.1873;0.0483;0.0399
Silene dioica;2014;high;0.4958;2.1943;0.1973;0.2985
Silene dioica;2014;high;0.3973;2.2468;0.118;0.2793
Silene dioica;2014;high;0.1364;0.195;0.0974;0.039
Silene dioica;2014;high;0.3333;1.3815;0.0571;0.2762
Thalictrum flavum;2014;high;0.07;0.0844;0.0064;0.0636
Thalictrum flavum;2014;high;0.2029;0.216;0.1261;0.0768
Thalictrum flavum;2014;high;0.0064;0.0083;0.0024;0.004
Thalictrum flavum;2014;high;0.019;0.0336;0.0105;0.0085
Thalictrum flavum;2014;high;0.0102;0.0074;0.003;0.0072
Thalictrum flavum;2014;high;0.005;0.0043;0.0034;0.0016
Thalictrum flavum;2014;high;0.0189;0.0328;0.0077;0.0112
Thalictrum lucidum;2014;high;0.0241;0.0656;0.0119;0.0122
Thalictrum lucidum;2014;high;0.0053;0.0086;0.0053;0
Thalictrum lucidum;2014;high;0.0035;0.0094;0.003;5.00E-004
Thalictrum lucidum;2014;high;0.0596;0.0286;0.0496;0.01
Thalictrum lucidum;2014;high;0.1233;0.217;0.0582;0.0651
Thalictrum lucidum;2014;high;0.4998;0.447;0.0683;0.4315
Thalictrum lucidum;2014;high;0.0929;0.1351;0.0353;0.0576
Verbascum phoeniceum;2014;high;0.2357;2.3638;0.0717;0.164
Verbascum phoeniceum;2014;high;0.59;5.4981;0.232;0.358
Verbascum phoeniceum;2014;high;0.7435;5.7077;0.2922;0.4513
Verbascum phoeniceum;2014;high;0.2923;2.1977;0.0714;0.2209
Verbascum phoeniceum;2014;high;0.26;2.2623;0.1263;0.1337
Verbascum phoeniceum;2014;high;0.2779;1.5677;0.1404;0.1375
