"attempt","species","n_raw","n_clean","eligible","message"
14,"Lepidaploa remotiflora",1006,371,TRUE,"ok"
15,"Hieracium fuscocinereum",1027,280,TRUE,"ok"
1,"Mikania decora",181,81,TRUE,"ok"
8,"Hieracium valentinum",83,60,TRUE,"ok"
12,"Jacobaea alpina",396,59,TRUE,"ok"
