spname,EIV.L,EIV.N,plhtclassvalue (cm),leaf area (mm2),nla,seedmass (gr),nsm
Iberis amara,7,3,24.05,234.4228815,1,1.905460718,1
Kickxia spuria,7,3,24.05,501.1872336,6,0.34673685,3
Lamium hybridum,7,7,24.05,478.6300923,5,0.912010839,2
Legousia hybrida,7,3,24.05,102.3292992,6,0.239883292,5
Legousia speculum-veneris,7,3,24.05,165.9586907,7,0.218776162,2
Polygonum arenastrum,7,6,24.05,48.97788194,5,1.047128548,5
Silene armeria,7,2,24.05,1096.478196,2,0.131825674,2
Stachys arvensis,7,6,24.05,281.8382931,9,0.758577575,4
Valerianella carinata,7,4,24.05,144.5439771,3,0.52480746,3
Briza maxima,7,2,48.05,549.5408739,3,1.9498446,2
Crepis capillaris,7,4,48.05,2089.296131,5,0.213796209,7
Galinsoga parviflora,7,8,48.05,1096.478196,4,0.204173794,5
Lathyrus aphaca,7,3,48.05,398.1071706,9,10.47128548,4
Lathyrus hirsutus,7,,48.05,537.0317964,1,31.6227766,2
Lathyrus nissolia,7,4,48.05,812.8305162,4,10.96478196,3
Papaver hybridum,7,5,48.05,562.3413252,6,0.181970086,6
Rhinanthus minor,7,3,48.05,354.8133892,3,2.818382931,7
Valerianella dentata,7,4,48.05,676.0829754,8,0.851138038,4
Vicia grandiflora,7,,48.05,467.7351413,2,20.41737945,2
Vicia hirsuta,7,4,48.05,426.5795188,13,7.413102413,4
Vicia lutea,7,5,48.05,478.6300923,5,28.84031503,5
Vicia narbonensis,7,5,48.05,1122.018454,3,112.2018454,5
Vicia pannonica,7,5,48.05,380.1893963,4,40.73802778,4
Capsella bursa-pastoris,7,6,48.05,1174.897555,8,0.097723722,6
Polygonum aviculare,7,6,48.05,316.227766,10,1.659586907,5
Ranunculus parviflorus,7,5,48.05,602.5595861,4,1.174897555,6
Senecio vulgaris,7,8,48.05,776.2471166,11,0.263026799,5
Digitaria sanguinalis,7,5,48.05,812.8305162,9,0.478630092,6
Ranunculus muricatus,7,5,48.05,977.237221,4,8.912509381,4
Solanum nigrum,7,8,48.05,1584.893192,6,0.812830516,6
Adonis annua,7,4,48.05,1096.478196,3,8.7096359,4
Althaea hirsuta,7,3,48.05,776.2471166,2,2.398832919,7
Anchusa arvensis,7,4,48.05,851.1380382,3,4.897788194,4
Anthoxanthum aristatum,7,3,48.05,281.8382931,2,0.549540874,2
Anthemis arvensis,7,6,48.05,199.5262315,6,0.676082975,5
Anthemis cotula,7,5,48.05,218.7761624,7,0.562341325,3
Cerastium glomeratum,7,5,48.05,144.5439771,11,0.043651583,11
Matricaria recutita,7,5,48.05,380.1893963,8,0.186208714,4
Chrysanthemum segetum,7,5,48.05,1174.897555,6,1.584893192,5
Conringia orientalis,7,4,48.05,1737.800829,6,2.511886432,3
Galeopsis segetum,7,3,48.05,954.992586,6,1.819700859,2
Galinsoga quadriradiata,7,7,48.05,1348.962883,6,0.190546072,7
Galium spurium,7,5,48.05,93.32543008,5,2.13796209,4
Galium tricornutum,7,3,48.05,77.62471166,5,13.48962883,4
Geranium purpureum,7,3,48.05,1288.249552,4,1.995262315,3
Gnaphalium luteoalbum,7,3,48.05,169.8243652,3,0.011748976,2
Juncus bufonius,7,4,48.05,117.4897555,10,0.025118864,6
Lepidium campestre,7,6,48.05,602.5595861,8,2.511886432,4
Melampyrum arvense,7,3,48.05,436.5158322,3,13.18256739,5
Mercurialis annua annua,7,8,48.05,933.2543008,4,1.9498446,3
Misopates orontium,7,5,48.05,151.3561248,10,0.154881662,6
Myosotis laxa,7,7,48.05,380.1893963,4,0.223872114,3
Polygonum rurivagum,7,7,48.05,169.8243652,6,1.819700859,5
Rhinanthus angustifolius,7,2,48.05,380.1893963,5,2.290867653,17
Rorippa palustris,7,8,48.05,1737.800829,10,0.058884366,5
Scandix pecten-veneris,7,4,48.05,794.3282347,7,18.62087137,5
Silene gallica,7,6,48.05,478.6300923,7,0.301995172,13
Stachys annua,7,4,48.05,851.1380382,4,0.616595002,4
Vaccaria hispanica,7,3,48.05,2511.886432,5,7.244359601,7
Chenopodium ficifolium,7,7,96.05,870.96359,7,0.354813389,8
Lolium multiflorum,7,8,96.05,489.7788194,4,3.16227766,4
Lolium remotum,7,4,96.05,758.577575,2,4.265795188,2
Lolium temulentum,7,,96.05,1348.962883,7,10.23292992,5
Papaver somniferum,7,8,96.05,14454.39771,4,0.363078055,3
Setaria viridis,7,7,96.05,831.7637711,6,1.148153621,14
Torilis arvensis,7,4,96.05,1445.439771,5,1.9498446,6
Erigeron annuus,7,8,96.05,2691.534804,2,0.037153523,2
Fallopia convolvulus,7,6,96.05,1584.893192,8,3.715352291,21
Fumaria muralis,7,6,96.05,758.577575,1,3.090295433,5
Setaria pumila,7,6,96.05,1348.962883,4,1.479108388,7
Aethusa cynapium,7,5,96.05,2187.761624,5,1.230268771,3
Agrostemma githago,7,,96.05,1202.264435,8,13.80384265,12
Ammi majus,7,7,96.05,4365.158322,3,0.616595002,3
Anisantha diandra,7,4,96.05,851.1380382,1,8.912509381,3
Bromus hordeaceus hordeaceus,7,3,96.05,562.3413252,10,3.090295433,5
Anisantha sterilis,7,5,96.05,630.9573445,15,7.762471166,4
Camelina microcarpa,7,4,96.05,1819.700859,4,0.301995172,3
Camelina sativa,7,6,96.05,398.1071706,3,0.398107171,2
Centaurea cyanus,7,5,96.05,389.045145,11,4.570881896,6
Chenopodium hybridum,7,8,96.05,4897.788194,10,1.412537545,6
Chenopodium urbicum,7,7,96.05,1258.925412,3,0.316227766,4
Erysimum cheiranthoides,7,7,96.05,588.8436554,4,0.257039578,3
Galeopsis bifida,7,6,96.05,1862.087137,7,3.548133892,4
Galeopsis speciosa,7,8,96.05,1949.8446,4,3.715352291,3
Galeopsis tetrahit,7,6,96.05,1819.700859,8,4.168693835,6
Galium aparine,7,8,96.05,151.3561248,10,8.7096359,11
Tripleurospermum inodorum,7,6,96.05,275.4228703,9,0.363078055,4
Persicaria hydropiper,7,8,96.05,1348.962883,9,2.187761624,20
Persicaria minor,7,8,96.05,501.1872336,8,0.87096359,4
Persicaria mitis,7,7,96.05,1258.925412,4,1.659586907,5
Rapistrum rugosum,7,5,96.05,1905.460718,7,5.12861384,5
Setaria verticillata,7,7,96.05,1288.249552,5,0.758577575,14
Silene noctiflora,7,5,96.05,1380.384265,5,0.977237221,5
Sinapis alba,7,6,96.05,7079.457844,7,4.786300923,3
Sinapis arvensis,7,6,96.05,5128.61384,7,2.290867653,15
Sisymbrium orientale,7,5,96.05,3467.368505,2,0.208929613,2
Tordylium maximum,7,5,96.05,8128.305162,6,3.01995172,3
Urtica urens,7,8,96.05,512.861384,5,0.512861384,5
Lactuca virosa,7,7,192.5,9120.108394,5,0.831763771,4
Sisymbrium loeselii,7,5,192.5,3235.936569,6,0.117489755,2
Sonchus asper,7,7,192.5,4073.802778,9,0.27542287,7
Bidens frondosa,7,8,192.5,3311.311215,6,2.570395783,4
Sonchus oleraceus,7,8,192.5,7079.457844,10,0.309029543,6
Trifolium suffocatum,8,2,1,47.86300923,1,0.204173794,3
Herniaria glabra,8,2,3.05,14.79108388,3,0.075857758,6
Ranunculus hederaceus,8,5,3.05,100,1,0.478630092,1
Coronopus squamatus,8,6,3.05,245.4708916,8,1.023292992,2
Corrigiola litoralis,8,5,3.05,33.88441561,4,0.316227766,5
Lythrum portula,8,2,3.05,30.90295433,1,0.033884416,3
Trifolium striatum,8,1,6.05,275.4228703,6,1.862087137,10
Erodium lebelii,8,2,6.05,173.7800829,3,0.977237221,1
Erophila verna,8,2,6.05,109.6478196,2,0.024547089,6
Sagina apetala,8,4,6.05,4.466835922,4,0.009332543,7
Sagina maritima,8,3,6.05,3.981071706,1,0.017782794,3
Hornungia petraea,8,1,12.05,14.12537545,1,0.070794578,3
Myosurus minimus,8,5,12.05,117.4897555,2,0.104712855,9
Vicia lathyroides,8,2,12.05,138.0384265,4,2.344228815,5
Cerastium diffusum,8,2,12.05,16.98243652,4,0.104712855,5
Cerastium semidecandrum,8,3,12.05,23.44228815,6,0.036307805,8
Erodium cicutarium,8,4,12.05,562.3413252,8,1.380384265,7
Erodium moschatum,8,4,12.05,3235.936569,5,1.348962883,2
Euphrasia tetraquetra,8,3,12.05,33.11311215,1,0.199526231,1
Holosteum umbellatum,8,2,12.05,50.11872336,3,0.079432823,1
Saxifraga tridactylites,8,1,12.05,35.48133892,2,0.013182567,5
Teesdalia nudicaulis,8,1,12.05,104.7128548,2,0.281838293,6
Tragus racemosus,8,7,12.05,38.01893963,3,1.862087137,1
Matricaria discoidea,8,8,24.05,354.8133892,2,0.134896288,3
Thlaspi perfoliatum,8,2,24.05,218.7761624,1,0.323593657,5
Trifolium arvense,8,1,24.05,186.2087137,12,0.338844156,12
Trifolium campestre,8,3,24.05,162.1810097,14,0.354813389,7
Trifolium resupinatum,8,5,24.05,245.4708916,4,0.812830516,8
Amaranthus blitoides,8,8,24.05,154.8816619,6,1.202264435,4
Arenaria serpyllifolia serpyllifolia,8,5,24.05,13.18256739,10,0.069183097,11
Blackstonia perfoliata perfoliata,8,4,24.05,380.1893963,2,0.008912509,2
Veronica peregrina,8,6,24.05,61.65950019,6,0.030902954,2
Anagallis arvensis caerulea,8,5,24.05,102.3292992,5,0.478630092,3
Arenaria serpyllifolia leptoclados,8,5,24.05,6.60693448,4,0.063095734,2
Eragrostis minor,8,4,24.05,257.0395783,7,0.085113804,4
Euphrasia nemorosa,8,1,24.05,58.88436554,1,0.165958691,5
Euphrasia officinalis agg.,8,3,24.05,39.81071706,1,0.131825674,2
Galium parisiense,8,2,24.05,4.168693835,7,0.125892541,3
Geranium molle,8,7,24.05,794.3282347,8,1.148153621,3
Lythrum hyssopifolia,8,4,24.05,40.73802778,4,0.112201845,9
Malva neglecta,8,9,24.05,575.4399373,8,2.13796209,4
Medicago arabica,8,5,24.05,891.2509381,8,1.862087137,4
Myosotis discolor,8,2,24.05,77.62471166,4,0.181970086,3
Parapholis strigosa,8,4,24.05,29.51209227,3,1.621810097,1
Solanum physalifolium,8,7,24.05,831.7637711,2,1.318256739,1
Ranunculus sardous,8,7,48.05,1047.128548,8,1.548816619,3
Torilis nodosa,8,6,48.05,229.0867653,9,1.513561248,3
Lepidium virginicum,8,5,48.05,660.693448,2,0.28840315,1
Sisymbrium irio,8,5,48.05,1995.262315,4,0.091201084,4
Suaeda maritima,8,7,48.05,28.18382931,5,0.741310241,14
Hordeum murinum murinum,8,5,48.05,676.0829754,3,5.888436554,2
Vulpia myuros,8,1,48.05,32.35936569,2,0.467735141,7
Amaranthus albus,8,7,48.05,22.90867653,1,0.323593657,4
Anisantha rigida,8,7,48.05,831.7637711,2,11.48153621,2
Anisantha tectorum,8,4,48.05,389.045145,11,3.235936569,11
Chaenorhinum minus,8,5,48.05,85.11380382,4,0.069183097,5
Chenopodium glaucum,8,9,48.05,208.9296131,10,0.16218101,4
Coriandrum sativum,8,5,48.05,1174.897555,3,10.71519305,2
Fagopyrum esculentum,8,7,48.05,3162.27766,1,28.18382931,1
Filago vulgaris,8,2,48.05,26.91534804,2,0.074131024,2
Fumaria vaillantii,8,5,48.05,194.98446,3,2.511886432,1
Galeopsis angustifolia,8,4,48.05,204.1737945,6,1.995262315,2
