",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"24,""Dovyalis caffra"",""Afrotropical"",""savanna"",""y"",6,16.39,NA,""Plasetal2012"","""",""JStorPlants"",18.6171498381877,1023.47572815534,64.3286579288026,8.44671294498382,16.3819999676375,23.7831715210356,39.9498381877023,8.51618122977346,16.6521035598706,63.4433656957929,22.6003236245955,37.4692556634304"
"25,""Bixa orellana"",""Neotropical"",""forest"",""n"",15,NA,0.36,"""",""Zanneetal2009"",""Oliveira-Filhoetal2007"",24.4462873134328,1814.6828358209,72.76695,34.8159216730038,19.6928577819549,17.9755639097744,34.3796992481203,11.0037593984962,20.9812030075188,57.1390977443609,23.3928571428571,42.2575187969925"
"26,""Cochlospermum vitifolium"",""Neotropical"",""forest"",""n"",NA,NA,0.190555556,"""",""Borchert1994/Zanneetal2009"","""",24.6828883333333,1263.05666666667,95.2386886666667,37.4133082781457,24.0592129139073,22.1435810810811,36.2922297297297,18.2043918918919,15.4459459459459,63.1706081081081,22.8648648648649,40.8648648648649"
"27,""Alnus acuminata"",""Neotropical"",""forest"","""",NA,NA,0.365,"""",""Zanneetal2009"","""",15.0199505333333,1176.04761904762,77.5731895238095,10.0377327619048,20.3447111809524,26.9311663479924,32.7715105162524,17.6185468451243,37.1692160611855,58.4330783938815,27.7533460803059,39.5200764818356"
"28,""Chromolucuma rubriflora"",""Neotropical"",""forest"","""",NA,NA,0.73,"""",""Zanneetal2009"","""",24.6486,2659.33333333333,28.6509333333333,3.31466666666667,20.6533333333333,18.25,35.75,11,43.25,53.25,28.25,36"
"29,""Mimusops obovata"",""Afrotropical"",""forest"",""n"",35,NA,0.744765,"""",""Zanneetal2009"",""JStorPlants"",19.4046875,1027.875,46.2273375,66.675725,31.0078,16,32.875,5.875,20.0625,55.3125,20.8125,46.4375"
"30,""Pradosia ptychandra"",""Neotropical"",""forest"","""",NA,NA,0.645,"""",""Zanneetal2009"","""",26.65835,2125.5,52.0373,0,0,8.5,32.5,6.75,17.25,47.5,17.75,49.75"
"31,""Pradosia cochlearia"",""Neotropical"",""forest"",""n"",NA,NA,0.73,"""",""Zanneetal2009"","""",26.4729,2312,46.4369,1.48755,7.6,7.5,40.5,3,19,43.25,18.5,40.75"
"32,""Pradosia schomburgkiana"",""Neotropical"",""forest"",""n"",NA,NA,0.753666667,"""",""Zanneetal2009"","""",25.9375,3012.28571428571,47.0337714285714,2.13014285714286,5.01428571428571,12.2857142857143,25.3571428571429,6.42857142857143,45,48.4285714285714,23.4285714285714,51.2857142857143"
"33,""Pradosia surinamensis"",""Neotropical"",""forest"",""n"",NA,NA,0.8105,"""",""Zanneetal2009"","""",26.5437375,2062.375,54.684525,5.7058875,17.136925,7.9375,34.1875,8.875,17.125,51,18.9375,46.8125"
