Species ,Treatment,Age (days),Height (cm)
Spartium junceum,PK,140,56
Spartium junceum,PK,140,62
Anagyris foetida,K,147,10
Anagyris foetida,K,147,29
Anagyris foetida,K,147,17
Anagyris foetida,K,147,25
Anagyris foetida,K,147,24
Anagyris foetida,NPK,147,40
Anagyris foetida,NPK,147,46
Anagyris foetida,NPK,147,47
Anagyris foetida,NPK,147,46
Anagyris foetida,NPK,147,47
Anagyris foetida,PK,147,36
Anagyris foetida,PK,147,43
Anagyris foetida,PK,147,25
Anagyris foetida,PK,147,20
Anagyris foetida,PK,147,22
Calicotome villosa S.,K,147,47
Calicotome villosa S.,K,147,40
Calicotome villosa S.,K,147,46
Calicotome villosa S.,K,147,30
Calicotome villosa S.,K,147,47
Calicotome villosa S.,NPK,147,108
Calicotome villosa S.,NPK,147,101
Calicotome villosa S.,NPK,147,95
Calicotome villosa S.,NPK,147,84
Calicotome villosa S.,NPK,147,91
Calicotome villosa S.,PK,147,45
Calicotome villosa S.,PK,147,28
Calicotome villosa S.,PK,147,47
Calicotome villosa S.,PK,147,31
Calicotome villosa S.,PK,147,27
Calicotome villosa T.,K,147,29
Calicotome villosa T.,K,147,37
Calicotome villosa T.,K,147,50
Calicotome villosa T.,K,147,33
Calicotome villosa T.,NPK,147,84
Calicotome villosa T.,NPK,147,110
Calicotome villosa T.,NPK,147,97
Calicotome villosa T.,NPK,147,106
Calicotome villosa T.,NPK,147,82
Calicotome villosa T.,PK,147,33
Calicotome villosa T.,PK,147,29
Calicotome villosa T.,PK,147,26
Calicotome villosa T.,PK,147,22
Calicotome villosa T.,PK,147,59
Ononis spinosa,K,147,95
Ononis spinosa,K,147,82
Ononis spinosa,K,147,70
Ononis spinosa,K,147,87
Ononis spinosa,K,147,92
Ononis spinosa,NPK,147,80
Ononis spinosa,NPK,147,79
Ononis spinosa,NPK,147,87
Ononis spinosa,NPK,147,92
Ononis spinosa,NPK,147,86
Ononis spinosa,PK,147,77
Ononis spinosa,PK,147,76
Ononis spinosa,PK,147,69
Ononis spinosa,PK,147,91
Ononis spinosa,PK,147,80
Spartium junceum,K,147,51
Spartium junceum,K,147,56
Spartium junceum,K,147,80
Spartium junceum,K,147,67
Spartium junceum,K,147,42
Spartium junceum,NPK,147,85
Spartium junceum,NPK,147,95
Spartium junceum,NPK,147,98
Spartium junceum,NPK,147,86
Spartium junceum,NPK,147,86
Spartium junceum,PK,147,78
Spartium junceum,PK,147,65
Spartium junceum,PK,147,76
Spartium junceum,PK,147,53
Spartium junceum,PK,147,56
