Species ,Treatment,Plant dry biomass (gr),Nodules dry biomass (gr),Root mass fraction (%),Plant fixation (µmole C2H4 h-1),%N leaf,,,,,,
Calicotome villosa T.,PK,5.2795,0.1755,39.18,0.1685,3.11,,,,,,
Calicotome villosa T.,PK,2.1047,0.0407,30.47,1.3721,3.08,,,,,,
Calicotome villosa T.,PK,1.2146,0.0306,34.89,0.9481,2.23,,,,,,
Calicotome villosa T.,PK,4.6065,0.1325,25.06,4.4643,2.71,,,,,,
Calicotome villosa T.,PK,5.6359,0.1919,38.49,0.1172,2.57,,,,,,
Ononis spinosa,K,44.7132,0.2832,25.05,17.0403,2.6,,,,,,
Ononis spinosa,K,29.8351,0.2551,35.86,2.2333,2.1,,,,,,
Ononis spinosa,K,34.9481,0.1581,40.98,3.4277,2.88,,,,,,
Ononis spinosa,K,48.5282,0.3582,34,4.4496,2.47,,,,,,
Ononis spinosa,K,30.4517,0.2317,24.99,6.3091,3.02,,,,,,
Ononis spinosa,K,53.8515,0.3015,32.63,18.9774,2.66,,,,,,
Ononis spinosa,K,51.296,0.436,37.06,18.3754,2.63,,,,,,
Ononis spinosa,K,44.6166,0.3466,35.03,5.0209,2.33,,,,,,
Ononis spinosa,K,47.829,0.299,36.88,5.6785,2.98,,,,,,
Ononis spinosa,K,44.8867,0.1867,41.21,7.7109,2.68,,,,,,
Ononis spinosa,NPK,139.8833,0.0633,18.29,0.5633,3.22,,,,,,
Ononis spinosa,NPK,157.2328,0.2928,23.26,1.692,4.66,,,,,,
Ononis spinosa,NPK,134.8102,0.0602,30.11,1.7867,3.36,,,,,,
Ononis spinosa,NPK,147.5291,0.1591,26.08,2.8482,3.34,,,,,,
Ononis spinosa,NPK,156.6092,0.0992,22.21,0.9585,4.14,,,,,,
Ononis spinosa,NPK,142.923,0.043,24.85,0.6265,3.64,,,,,,
Ononis spinosa,NPK,141.0977,0.0877,25.75,1.3238,4.39,,,,,,
Ononis spinosa,NPK,132.5632,0.2332,25.46,2.2381,4.17,,,,,,
Ononis spinosa,NPK,129.8095,0.0695,20.47,0.6843,NA,,,,,,
Ononis spinosa,NPK,141.6909,0.0309,21.11,0.4724,3.59,,,,,,
Ononis spinosa,PK,99.4455,0.5855,32.69,23.3941,2.68,,,,,,
Ononis spinosa,PK,34.0514,0.2314,22.64,2.4432,3.4,,,,,,
Ononis spinosa,PK,57.8927,0.4227,28.14,8.79,3.38,,,,,,
Ononis spinosa,PK,46.4008,0.5708,23.06,7.0075,2.82,,,,,,
Ononis spinosa,PK,30.5725,0.4425,22.31,12.2255,3.68,,,,,,
Ononis spinosa,PK,66.2881,0.4281,34.47,26.8708,3.07,,,,,,
Ononis spinosa,PK,18.5368,0.1768,15.81,2.9836,3.53,,,,,,
Ononis spinosa,PK,54.5302,0.5602,27.36,17.4109,3.65,,,,,,
Ononis spinosa,PK,60.3882,0.5682,29.14,17.5321,3.37,,,,,,
Ononis spinosa,PK,35.5927,0.1627,25.65,3.7569,3.12,,,,,,
Spartium junceum,K,2.9323,0.0783,28.1,0.1279,2.71,,,,,,
Spartium junceum,K,2.2246,0.0806,35.24,0.5228,1.79,,,,,,
Spartium junceum,K,2.7859,0.1219,31.73,2.1406,2.09,,,,,,
Spartium junceum,K,1.1154,0.0414,33.53,0.4736,2.24,,,,,,
Spartium junceum,K,0.7319,0.0379,34.7,0.2765,2.04,,,,,,
Spartium junceum,K,3.6827,0.0487,29.16,1.0057,2.36,,,,,,
Spartium junceum,K,1.8075,0.0335,26.22,2.1635,3.47,,,,,,
Spartium junceum,K,1.5416,0.0476,30.1,1.5258,3.21,,,,,,
Spartium junceum,K,1.5895,0.0355,31.71,0.2491,2.59,,,,,,
Spartium junceum,NPK,63.6656,0.0056,13.29,0.0011,3.15,,,,,,
Spartium junceum,NPK,26.9138,0.0238,16.16,0.3042,3.64,,,,,,
Spartium junceum,NPK,67.8092,0.0292,23.63,0.1266,3.37,,,,,,
Spartium junceum,NPK,55.6928,0.1328,18.08,2.0733,3.7,,,,,,
Spartium junceum,NPK,46.7163,0.0663,16.48,0.4436,3.37,,,,,,
Spartium junceum,NPK,53.0519,0.0619,17.04,0.1846,3.48,,,,,,
Spartium junceum,NPK,65.6264,0.0364,16.56,0.2275,3.74,,,,,,
Spartium junceum,NPK,61.3845,0.0145,18.78,0.0064,2.77,,,,,,
Spartium junceum,NPK,49.8787,0.0187,11.57,0.1156,3.82,,,,,,
Spartium junceum,NPK,50.6062,0.0862,16.86,0.7448,3.48,,,,,,
Spartium junceum,PK,0.6722,0.0182,45.22,0.0029,NA,,,,,,
Spartium junceum,PK,1.4644,0.0704,43.98,0.3141,2.08,,,,,,
Spartium junceum,PK,0.9009,0.0169,39.29,0.0391,2.08,,,,,,
Spartium junceum,PK,1.1394,0.1054,31.07,1.0421,2.53,,,,,,
Spartium junceum,PK,3.9147,0.0707,27.44,1.4902,2.7,,,,,,
Spartium junceum,PK,1.093,0.069,38.79,1.3015,2.4,,,,,,
Spartium junceum,PK,1.9444,0.0604,32.61,1.1389,2.74,,,,,,
Spartium junceum,PK,1.589,0.029,24.54,0.7433,2.28,,,,,,
Spartium junceum,PK,5.3067,0.2227,26.65,3.5228,2.46,,,,,,
Spartium junceum,PK,2.7095,0.1155,27.46,1.396,2.39,,,,,,
