Reference,Plantform,Plantform2,Flush,Old.Plantspp,Plantspp,Family,Experiment,Biogeography,Trait,Traitclass,Traitmore,LRR,LRR_var
Turner.1995,tree,evergreen,asynchronous,Avicennia.officinalis,Avicennia.officinalis,Acanthaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.437830393,0.101907362
Turner.1995,tree,evergreen,asynchronous,Macaranga.heynei,Macaranga.heynei,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.299683628,0.07475752
Turner.1995,tree,evergreen,asynchronous,Avicennia.marina,Avicennia.marina,Acanthaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.256973416,0.064251109
Turner.1995,shrub,evergreen,asynchronous,Melastoma.malabathricum,Melastoma.malabathricum,Melastomataceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.795521591,0.077303387
Turner.1995,tree,evergreen,asynchronous,Avicennia.rumphiana,Avicennia.rumphiana,Acanthaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.418874283,0.014566005
Turner.1995,tree,evergreen,asynchronous,Ceriops.tagal,Ceriops.tagal,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.212614499,0.123099149
Turner.1995,tree,evergreen,asynchronous,Mallotus.paniculatus,Mallotus.paniculatus,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,0.215737554,0.082690744
Turner.1995,tree,evergreen,asynchronous,Ficus.grossularioides,Ficus.grossularioides,Moraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.416893804,0.18203654
Turner.1995,shrub,evergreen,asynchronous,Melastoma.malabathricum,Melastoma.malabathricum,Melastomataceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,0.205809538,0.344849443
Turner.1995,tree,evergreen,asynchronous,Lumnitzera.racemosa,Lumnitzera.racemosa,Combretaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.214606092,0.015112825
Turner.1995,tree,evergreen,asynchronous,Lumnitzera.littorea,Lumnitzera.littorea,Combretaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.2606534,0.048189008
Turner.1995,tree,evergreen,asynchronous,Vitex.pinnata,Vitex.pinnata,Verbenaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.130506376,0.033788345
Turner.1995,shrub,evergreen,asynchronous,Rhodamnia.cinerea,Rhodamnia.cinerea,Myrtaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.194387576,0.04300943
Turner.1995,tree,evergreen,asynchronous,Excoecaria.agallocha,Excoecaria.agallocha,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.250410678,0.049671683
Turner.1995,tree,evergreen,asynchronous,Sonneratia.alba,Sonneratia.alba,Lythraceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.461345567,0.032438787
Turner.1995,tree,evergreen,asynchronous,Bruguiera.parvifolia,Bruguiera.parviflora,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,phenolics,0.220465377,0.153992304
Turner.1995,tree,evergreen,asynchronous,Fagraea.fragrans,Fagraea.fragrans,Gentianaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.626824538,0.008137096
Turner.1995,tree,evergreen,asynchronous,Rhizophora.apiculata,Rhizophora.apiculata,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.553571325,0.250118503
Turner.1995,tree,evergreen,asynchronous,Trema.tomentosa,Trema.tomentosa,Cannabaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.37598929,0.247662721
Turner.1995,tree,evergreen,asynchronous,Macaranga.conifera,Macaranga.conifera,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.358254723,0.019204797
Turner.1995,tree,evergreen,asynchronous,Rhizophora.stylosa,Rhizophora.stylosa,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.94645022,0.487291949
Turner.1995,tree,evergreen,asynchronous,Rhizophora.mucronata,Rhizophora.mucronata,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.587539171,0.603548299
Turner.1995,tree,evergreen,asynchronous,Ficus.fistulosa,Ficus.fistulosa,Moraceae,field,tropics,secondary.chemistry,phenolics,phenolics,-1.0079086,0.235682781
Turner.1995,tree,evergreen,asynchronous,Trema.cannabina,Trema.cannabina,Cannabaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.464089951,0.743189581
Turner.1995,tree,evergreen,asynchronous,Lumnitzera.littorea,Lumnitzera.littorea,Combretaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.101991328,0.177925095
Turner.1995,tree,evergreen,asynchronous,Lumnitzera.racemosa,Lumnitzera.racemosa,Combretaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,0.033301725,0.081773197
Turner.1995,tree,evergreen,asynchronous,Macaranga.heynei,Macaranga.heynei,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,0.214844748,0.066682324
Turner.1995,tree,evergreen,asynchronous,Ploiarium.alternifolium,Ploiarium.alternifolium,Bonnetiaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.205263126,0.016368387
Turner.1995,tree,evergreen,asynchronous,Myrica.esculentum,Myrica.esculenta,Moringaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.496948264,0.050315953
Turner.1995,tree,evergreen,asynchronous,Rhizophora.stylosa,Rhizophora.stylosa,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.451695101,0.196400273
Turner.1995,tree,evergreen,asynchronous,Alstonia.angustiloba,Alstonia.angustiloba,Apocynaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.080743888,0.29792581
Turner.1995,tree,evergreen,asynchronous,Dillenia.suffruticosa,Dillenia.suffruticosa,Dilleniaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.444282233,0.01880449
Turner.1995,tree,evergreen,asynchronous,Muntingia.calabura,Muntingia.calabura,Muntingiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.582114708,0.028947692
Turner.1995,shrub,evergreen,asynchronous,Rhodamnia.cinerea,Rhodamnia.cinerea,Myrtaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,0.283362411,0.296101087
Turner.1995,tree,evergreen,asynchronous,Commersonia.bartramia,Commersonia.bartramia,Malvaceae,field,tropics,secondary.chemistry,phenolics,phenolics,0.134590154,0.02159774
Turner.1995,tree,evergreen,asynchronous,Vitex.pinnata,Vitex.pinnata,Verbenaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.024924573,0.024115389
Turner.1995,tree,evergreen,asynchronous,Sapium.discolor,Sapium.discolor,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.483650038,0.096991064
Turner.1995,tree,evergreen,asynchronous,Bruguiera.parvifolia,Bruguiera.parviflora,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,0.008230499,0.158071891
Turner.1995,tree,evergreen,asynchronous,Arthrophyllum.diversifolium,Polyscias.diversifolium,Araliaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.91016201,0.136786215
Turner.1995,tree,evergreen,asynchronous,Ceriops.tagal,Ceriops.tagal,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.032550538,0.294463095
Turner.1995,tree,evergreen,asynchronous,Macaranga.hypoleuca,Macaranga.hypoleuca,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.394501803,0.184890525
Turner.1995,tree,evergreen,asynchronous,Macaranga.conifera,Macaranga.conifera,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.316037298,0.0138459
Turner.1995,tree,evergreen,asynchronous,Dillenia.suffruticosa,Dillenia.suffruticosa,Dilleniaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-1.20029633,1.164345214
Turner.1995,tree,evergreen,asynchronous,Ficus.fistulosa,Ficus.fistulosa,Moraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.198581956,0.275627541
Turner.1995,tree,evergreen,asynchronous,Macaranga.gigantea,Macaranga.gigantea,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.507671047,0.443887138
Turner.1995,tree,evergreen,asynchronous,Cecropia.peltata,Cecropia.peltata,Urticaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.068574695,1.634675685
Turner.1995,tree,evergreen,asynchronous,Rhizophora.mucronata,Rhizophora.mucronata,Rhizophoraceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.537906582,0.071357645
Turner.1995,tree,evergreen,asynchronous,Macaranga.triloba,Macaranga.triloba,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-0.374693449,0.04763192
Turner.1995,tree,evergreen,asynchronous,Alstonia.angustiloba,Alstonia.angustiloba,Apocynaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.419730685,0.119563935
Turner.1995,tree,evergreen,asynchronous,Commersonia.bartramia,Commersonia.bartramia,Malvaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-0.426169781,0.035949333
Turner.1995,tree,evergreen,asynchronous,Macaranga.gigantea,Macaranga.gigantea,Euphorbiaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.357383018,0.056258263
Turner.1995,tree,evergreen,asynchronous,Xylocarpus.granatum,Xylocarpus.granatum,Meliaceae,field,tropics,secondary.chemistry,phenolics,condensed.tannins,-1.555370691,0.265510682
Valkama.etal.2004,tree,deciduous,both,Betula.pubescens.Czerepanovii,Betula.pubescens.Czerepanovii,Betulaceae,garden,boreal,secondary.chemistry,secretory.structure,glandular.trichome,-2.22065171,0.476755547
Valkama.etal.2004,tree,deciduous,both,Betula.pubescens.Czerepanovii,Betula.pubescens.Czerepanovii,Betulaceae,garden,boreal,secondary.chemistry,phenolics,flavonoids,-2.211017899,0.080338713
Valkama.etal.2004,tree,deciduous,both,Betula.pubescens.pubescens,Betula.pubescens,Betulaceae,garden,boreal,secondary.chemistry,secretory.structure,glandular.trichome,-2.417676337,0.065817726
Valkama.etal.2004,tree,deciduous,both,Betula.pendula,Betula.pendula,Betulaceae,garden,boreal,secondary.chemistry,secretory.structure,glandular.trichome,-2.537037762,0.146565289
Varanda.etal.2008,tree,deciduous,asynchronous,Xylopia.aromatica,Xylopia.aromatica,Annonaceae,field,tropics,secondary.chemistry,phenolics,tannins,0.275281559,0.000753231
Varanda.etal.2008,tree,deciduous,asynchronous,Xylopia.aromatica,Xylopia.aromatica,Annonaceae,field,tropics,nutrients,nitrogen,,0,0.000319342
Varanda.etal.2008,tree,deciduous,asynchronous,Xylopia.aromatica,Xylopia.aromatica,Annonaceae,field,tropics,physical,toughness,LMA,-0.010067199,0.001768478
Varanda.etal.2008,tree,deciduous,asynchronous,Xylopia.aromatica,Xylopia.aromatica,Annonaceae,field,tropics,nutrients,water,,0.004578572,3.69E-05
Velez.etal.1998,tree,evergreen,asynchronous,Polylepis.quadrijuga,Polylepis.quadrijuga,Rosaceae,field,tropics,secondary.chemistry,phenolics,flavonoids,-0.323312286,0.024289719
Wait.etal.1998,tree,deciduous,asynchronous,Populus.deltoides,Populus.deltoides,Salicaceae,greenhouse,temperate,nutrients,nitrogen,,-0.015949301,0.007332128
Wait.etal.1998,tree,deciduous,asynchronous,Populus.deltoides,Populus.deltoides,Salicaceae,greenhouse,temperate,secondary.chemistry,phenolics,phenolic.glycosides,-0.422681292,0.023721725
Webber.Woodrow.2008,tree,evergreen,synchronous,Ryparosa.kurrangii,Ryparosa.kurrangii,Achariaceae,field,tropics,secondary.chemistry,cyanogenesis,cyanogenesis,-0.446290262,0.040593332
Webber.Woodrow.2008,tree,evergreen,synchronous,Ryparosa.kurrangii,Ryparosa.kurrangii,Achariaceae,field,tropics,physical,toughness,LMA,0.176169918,0.007691136
Webber.Woodrow.2008,tree,evergreen,synchronous,Ryparosa.kurrangii,Ryparosa.kurrangii,Achariaceae,field,tropics,nutrients,nitrogen,,-0.312661588,0.046596055
Webber.Woodrow.2008,tree,evergreen,synchronous,Ryparosa.kurrangii,Ryparosa.kurrangii,Achariaceae,field,tropics,physical,toughness,penetrometer,1.083122768,0.003527162
Webber.Woodrow.2008,tree,evergreen,synchronous,Ryparosa.kurrangii,Ryparosa.kurrangii,Achariaceae,field,tropics,secondary.chemistry,phenolics,phenolics,-1.391207498,0.012006267
Williams.etal.1997,tree,evergreen,asynchronous,Pinus.taeda,Pinus.taeda,Pinaceae,field,temperate,nutrients,nitrogen,,0.090971778,0.004157689
Williams.etal.1997,tree,evergreen,asynchronous,Pinus.taeda,Pinus.taeda,Pinaceae,field,temperate,secondary.chemistry,terpenes,sesquiterpenes,0.374693449,0.030317378
Williams.etal.1997,tree,evergreen,asynchronous,Pinus.taeda,Pinus.taeda,Pinaceae,field,temperate,nutrients,water,,0.011363759,0.00049111
Williams.etal.1997,tree,evergreen,asynchronous,Pinus.taeda,Pinus.taeda,Pinaceae,field,temperate,secondary.chemistry,terpenes,monoterpenes,-0.056695344,0.085950152
Williams.etal.1998,tree,deciduous,synchronous,Quercus.alba,Quercus.alba,Fagaceae,field,temperate,secondary.chemistry,phenolics,phenolics,0.639562934,0.049635013
Williams.etal.1998,tree,deciduous,synchronous,Quercus.alba,Quercus.alba,Fagaceae,field,temperate,nutrients,nitrogen,,-0.733969175,0.011222261
Williams.etal.1998,tree,deciduous,synchronous,Quercus.alba,Quercus.alba,Fagaceae,field,temperate,nutrients,water,,-0.10047053,0.001559635
Yamawo.etal.2012,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,indirect,reward,EFN,2.414289083,0.284201072
Yamawo.etal.2012,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,indirect,reward,food.body,1.065185158,0.05308046
Yamawo.etal.2012,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,physical,trichomes,nonglandular,-2.260215678,0.031771278
Yamawo.etal.2012,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,secondary.chemistry,secretory.structure,pellucid.dots,-2.259342593,0.100031645
Yamawo.etal.2014,tree,deciduous,synchronous,Mallotus.philippensis,Mallotus.philippensis,Euphorbiaceae,field,temperate,indirect,reward,EFN,-10.71441777,0.037037037
Yamawo.etal.2014,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,indirect,reward,EFN,0.639658496,0.00486532
Yamawo.etal.2014,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,indirect,reward,food.body,0.643286405,0.019312752
Yamawo.etal.2014,tree,evergreen,synchronous,Mallotus.philippensis,Mallotus.philippensis,Euphorbiaceae,field,temperate,physical,toughness,LMA,-0.040933908,0.001099737
Yamawo.etal.2014,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,physical,toughness,LMA,-0.60483106,0.066606484
Yamawo.etal.2014,tree,deciduous,synchronous,Mallotus.japonicus,Mallotus.japonicus,Euphorbiaceae,field,temperate,physical,trichomes,nonglandular,-1.915704483,0.039754169
Zhang.etal.2009,tree,evergreen,asynchronous,Casuarina.equisetifolia,Casuarina.equisetifolia,Casuarinaceae,field,subtropical,nutrients,nitrogen,,-0.11924228,0.011628193
Zhang.etal.2009,tree,evergreen,asynchronous,Casuarina.equisetifolia,Casuarina.equisetifolia,Casuarinaceae,field,subtropical,secondary.chemistry,phenolics,condensed.tannins,-0.447520998,0.042001327
