run.nr,line,habitat,watering,fertilization,WFtreatment,Bar.con,Bry.arg,Did.top,Did.vin,Fis.cur,Fis.sub,Bry.ery,Bry.gem,Pha.cus,Bry.sp,Ric.sp,Ros.sp,Syn.pri,Tor.mur,Wei.con,sr.tall (sp/m2),sr.short (sp/m2),sr.bryo(sp/0.09m2),cover.tall%,cover.short%,cover.bryo%,biomass+litter(g/0.0625m2)
23,2,Lushserp,watered,unfertilized,W,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,6,1,2,58.6,0.2,0.6,28.15
27,2,Lushserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,63.5,0,0,25.75
33,2,Lushserp,watered,unfertilized,W,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,5,0,2,63.6,0,0.2,31.305
36,2,Lushserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,67.4,0.4,0,30.165
61,4,Lushserp,watered,unfertilized,W,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,12,1,1,67.6,1.5,0.2,29.315
104,6b,Lushserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,74.9,0.1,0,25.73
105,6b,Lushserp,watered,unfertilized,W,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,9,1,1,77.9,1,0.2,29.355
114,6b,Lushserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,39.1,0.4,0,26.13
121,7b,Lushserp,watered,unfertilized,W,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,11,3,2,78.2,0.5,1.01,40.33
125,7b,Lushserp,watered,unfertilized,W,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,9,0,1,78.3,0,0.1,55.915
128,7b,Lushserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,67,0.1,0,27.98
2,1,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,73.3,0,0,23.52
4,1,Nonserp,unwatered,fertilized,F,0.01,0,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,6,1,3,14.3,0.2,0.07,25.49
7,1,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,58.6,0,0,36.185
71,5,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,52.3,0,0,31.92
74,5,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,100.4,0,0,43.43
81,6a,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,8,0,2,80.7,0,0.7,24.825
85,6a,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0.1,0,0,0,0,0,0.01,0,0,0,7,0,2,94.1,0,0.11,22.92
89,7a,Nonserp,unwatered,fertilized,F,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,5,0,2,65.7,0,0.2,32.36
95,7a,Nonserp,unwatered,fertilized,F,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,4,0,2,70.6,0,0.06,44.43
97,7a,Nonserp,unwatered,fertilized,F,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,3,0,2,15.3,0,0.11,25.075
6,1,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,62,0,0,53.945
9,1,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37.2,0,0,21.12
10,1,Nonserp,unwatered,unfertilized,C,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0.1,0,0,0,11,0,4,16.5,0,0.13,23.785
75,5,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.05,8,0,2,26.6,0,0.25,19.85
77,5,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.05,6,0,2,50.2,0,0.25,26.125
79,6a,Nonserp,unwatered,unfertilized,C,0,0,0,0,0.05,0.1,0.05,0,0,0,0,0.05,0,0,0.01,6,0,5,60.8,0,0.26,19.995
83,6a,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,29.6,0,0,22.86
87,6a,Nonserp,unwatered,unfertilized,C,0.1,0,0,0,0,0.8,0.3,0,0,0,0,0.2,0,0,0.1,7,0,5,23.9,0,1.5,25.84
91,7a,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0,1,41.2,0,0.1,40.06
93,7a,Nonserp,unwatered,unfertilized,C,0,0,0,0.01,0,0.2,0,0,0,0,0,0,0,0,0,10,1,2,20,0.5,0.21,12.235
99,7a,Nonserp,unwatered,unfertilized,C,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.2,11,2,3,22.7,1.4,0.5,24.97
5,1,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,97.3,0,0,34.855
8,1,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,100.8,0,0,61.125
11,1,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,97.2,0,0,69.71
72,5,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,48.4,0,0,41.32
76,5,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,95,0,0,76.205
78,6a,Nonserp,watered,fertilized,FW,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,9,0,2,66.6,0,0.02,46.88
82,6a,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,97.1,0,0,81.43
86,6a,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,103,0,0,94.675
88,7a,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,74.7,0.2,0,62.665
92,7a,Nonserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,106.6,0,0,44.97
1,1,Nonserp,watered,unfertilized,W,0.01,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,7,0,2,104.9,0,0.26,71.475
3,1,Nonserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,9,1,1,39.6,0.1,0.01,18.105
12,1,Nonserp,watered,unfertilized,W,0.01,0.01,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,8,0,4,68.6,0,0.32,55.365
70,5,Nonserp,watered,unfertilized,W,0,0,0,0.01,0,0,0,0.1,0,0,0,0.1,0,0,0,7,1,3,33.9,0.1,0.21,17.57
73,5,Nonserp,watered,unfertilized,W,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,105.8,0,0.01,47.265
80,6a,Nonserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,101.2,0.1,0,67.925
84,6a,Nonserp,watered,unfertilized,W,0,0,0,0.2,0,0.2,0,0,0,0,0,2,0,0,0,13,1,3,107.6,0.1,2.4,33.585
90,7a,Nonserp,watered,unfertilized,W,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,1,99,0.1,3,44.865
94,7a,Nonserp,watered,unfertilized,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,74.8,0,0,92.83
96,7a,Nonserp,watered,unfertilized,W,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,14,2,1,65.6,0.9,0.01,29.185
98,7a,Nonserp,watered,unfertilized,W,0,0,0,0,0,1.5,0.1,0,0,0,0,0,0,0,0,8,0,2,12.4,0,1.6,21.825
