Block,Species_source,Plant_Number,Rust_4th,Rust_17th,Height
1,27,Plant3,2,1,77
1,27,Plant4,2,1,55
1,27,Plant5,0,0,NA
1,25,Plant1,3,2,75
1,25,Plant2,3,2,82
1,25,Plant3,2,1,71
1,25,Plant4,3,2,57
1,25,Plant5,0,0,NA
1,17,Plant1,1,1,70
1,17,Plant2,1,1,69
1,17,Plant3,1,1,58
1,17,Plant4,1,1,70
1,17,Plant5,0,0,41
1,41,Plant1,0,0,67
1,41,Plant2,0,0,48
1,41,Plant3,0,0,64
1,41,Plant4,0,0,64
1,41,Plant5,0,0,68
2,25,Plant1,4,2,67
2,25,Plant2,3,1,76
2,25,Plant3,3,2,80
2,25,Plant4,3,2,78
2,25,Plant5,2,1,82
2,22,Plant1,0,0,20
2,22,Plant2,0,0,17
2,22,Plant3,0,0,38
2,22,Plant4,0,0,60
2,22,Plant5,0,0,76
2,6,Plant1,0,0,64
2,6,Plant2,1,0,50
2,6,Plant3,0,0,38
2,6,Plant4,0,0,NA
2,6,Plant5,0,0,76
2,30,Plant1,1,1,36
2,30,Plant2,0,0,NA
2,30,Plant3,0,0,NA
2,30,Plant4,0,0,NA
2,30,Plant5,2,1,53
2,33,Plant1,0,0,NA
2,33,Plant2,1,0,63
2,33,Plant3,0,0,NA
2,33,Plant4,1,1,67
2,33,Plant5,1,0,62
2,4,Plant1,0,0,NA
2,4,Plant2,0,0,29
2,4,Plant3,0,0,29
2,4,Plant4,0,0,60
2,4,Plant5,0,0,56
1,21,Plant1,1,1,78
1,21,Plant2,1,1,50
1,21,Plant3,0,0,73
1,21,Plant4,1,1,64
1,21,Plant5,1,1,58
1,37,Plant1,3,2,76
1,37,Plant2,2,2,80
1,37,Plant3,2,1,67
1,37,Plant4,3,2,60
1,37,Plant5,3,2,80
2,39,Plant1,0,0,NA
2,39,Plant2,0,0,57
2,39,Plant3,0,0,NA
2,39,Plant4,0,0,NA
2,39,Plant5,1,1,50
2,13,Plant1,1,1,70
2,13,Plant2,1,0,79
2,13,Plant3,2,1,86
2,13,Plant4,1,1,75
2,13,Plant5,1,1,70
2,7,Plant1,1,0,64
2,7,Plant2,0,0,71
2,7,Plant3,0,0,NA
2,7,Plant4,0,0,42
2,7,Plant5,0,0,NA
2,19,Plant1,0,0,NA
2,19,Plant2,1,1,52
2,19,Plant3,2,1,63
2,19,Plant4,0,0,62
2,19,Plant5,1,1,78
2,9,Plant1,0,0,NA
2,9,Plant2,1,0,37
2,9,Plant3,1,1,66
2,9,Plant4,3,2,81
2,9,Plant5,0,0,NA
2,38,Plant1,0,0,48
2,38,Plant2,0,0,NA
2,38,Plant3,1,0,51
2,38,Plant4,0,0,NA
2,38,Plant5,0,0,NA
2,29,Plant1,0,0,NA
2,29,Plant2,4,3,80
2,29,Plant3,3,3,83
2,29,Plant4,0,0,NA
2,29,Plant5,0,NA,NA
2,35,Plant1,3,2,80
2,35,Plant2,3,2,71
2,35,Plant3,0,0,NA
2,35,Plant4,1,0,31
2,35,Plant5,1,1,56
2,24,Plant1,2,2,73
2,24,Plant2,2,2,70
2,24,Plant3,1,0,66
2,24,Plant4,3,2,72
2,24,Plant5,2,1,71
2,41,Plant1,0,0,68
