NA,NA,NA,no_plant,no_survival,no_survival,no_survival,no_survival,no_survival,,no_survival,,no_survival,no_survival,no_survival,no_survival,no_survival,no_survival
Plot,Rep,Entry,6/12/12,6/27/12,7/27/12,8/24/12,9/29/12,10/27/12,%surviorship,4/27/13,%winterkill,5/31/13,6/29/13,8/30/13,5/1/14,6/5/14,8/12/14
78,4,31,10,10,8,7,7,7,0.7,6,0.14,6,6,5,5,5,5
79,4,18,10,9,7,6,2,2,0.2,1,0.5,0,0,NA,NA,NA,NA
80,4,34,10,7,7,7,7,7,0.7,7,0,7,6,5,4,4,4
81,1,12,10,7,5,4,4,4,0.4,4,0,4,4,3,1,1,NA
82,1,19,10,9,8,8,8,8,0.8,8,0,7,5,3,NA,NA,NA
83,1,3,10,9,7,6,2,2,0.2,1,0.5,1,1,NA,NA,NA,NA
84,1,32,10,10,9,9,9,9,0.9,8,0.11,8,8,4,3,2,NA
85,2,27,10,10,7,7,7,7,0.7,6,0.14,6,6,6,5,4,3
86,2,13,10,9,8,8,8,8,0.8,8,0,8,8,8,8,8,8
87,2,20,10,10,10,10,10,9,0.9,9,0,9,9,7,2,2,1
88,2,29,10,10,10,10,9,9,0.9,9,0,9,9,9,9,9,8
89,3,26,10,8,7,7,6,4,0.4,3,0.25,3,3,2,2,2,1
90,3,8,10,8,6,6,6,6,0.6,6,0,6,6,6,3,3,2
91,3,5,10,10,8,5,5,4,0.4,4,0,4,2,1,1,1,1
92,3,17,10,10,9,9,9,9,0.9,9,0,9,9,9,9,9,9
93,4,22,10,9,9,9,9,9,0.9,9,0,9,9,6,4,4,4
94,4,9,10,10,10,10,10,10,1,9,0.1,8,8,7,2,2,2
95,4,25,10,10,10,10,10,10,1,6,0.4,5,5,2,NA,NA,NA
96,4,15,10,10,8,8,8,8,0.8,7,0.13,5,5,5,NA,NA,NA
97,1,27,10,10,9,9,9,9,0.9,9,0,9,9,8,8,8,8
