NA,NA,NA,no. plants,2013 MV,2013 MV,2013 MV,Linum 2014 MV,2015,survivorship
Plot,Rep,Entry,planted,ttl_weight,ttl_stem,sub_weight,ttl_weight,DW,4/27/13
107,3,28,10,461.73,324,30.46,828.68,459,10
108,3,29,10,217.58,182,27.05,364.38,233,9
109,4,17,10,349.8,247,19.09,332.18,167,7
110,4,21,10,350.04,308,23.49,155.41,275,9
111,4,33,10,288.86,251,29.38,343.3,129,9
112,4,6,10,165.51,117,26.72,159.41,293,3
113,1,16,10,171.62,106,33.24,123.66,110,9
114,1,4,10,247.28,222,23.79,440.21,228,10
115,1,22,10,317.61,165,31.12,182.47,184,9
116,1,14,10,164.15,104,38.6,17.17,132,8
117,2,15,10,361.9,249,31.09,88,183,10
118,2,17,10,445.09,306,23.58,371.25,393,10
119,2,21,10,318.25,213,35.31,87.8,29,7
120,2,38,10,126.18,92,25.02,309.5,154,5
121,3,12,10,283.43,281,20.13,110.95,150,9
122,3,13,10,237.97,174,28.5,368.68,104,7
123,3,37,10,443.79,361,21.83,693.83,239,9
124,3,1,10,2.94,4,2.94,0,104,1
125,4,24,10,325.48,241,35.15,0,115,8
126,4,23,10,543,637,11.86,757.37,468,10
127,4,10,10,286.53,407,10.38,0,146,8
128,4,38,10,303.92,249,27.51,225.89,295,9
129,1,20,10,168.75,62,46.42,55.1,108,9
130,1,8,10,303.87,181,45.22,54.19,93,8
131,1,9,10,255.25,140,27.77,226.41,318,9
132,1,36,10,289.17,184,25.81,35.24,111,9
133,2,11,10,259.01,184,26.73,71.81,52,7
134,2,6,10,251.9,137,37.47,127.12,58,7
135,2,36,10,322.8,230,34.9,128.63,153,8
136,2,2,10,452.11,312,37.47,947.37,661,10
137,3,27,10,276.12,233,20.17,409.66,75,9
138,3,4,10,247.62,213,20.3,181.24,157,9
139,3,9,10,321.34,169,43.88,40.6,122,9
140,3,20,10,516.32,228,38.46,106.92,128,8
141,4,26,10,67.85,43,24.5,78.53,115,2
142,4,11,10,134.2,106,29.53,0,123,5
143,4,36,10,280.6,205,34.17,180.71,306,6
144,4,8,10,97.02,29,70.06,0,146,3
145,1,NA,10,NA,NA,NA,NA,NA,NA
146,1,NA,10,NA,NA,NA,NA,NA,NA
147,1,37,10,407.92,308,28.66,567.89,424,8
148,1,1,10,0,0,0,0,51,0
149,7,28,10,444.52,336,28.39,902.75,447,9
150,7,8,10,159.57,79,37.4,28.33,130,10
151,2,10,10,193.75,194,19.97,261.24,98,9
152,2,23,10,218.22,203,16.98,25.26,82,10
153,6,29,10,88.31,77,33.56,103.76,66,7
154,3,NA,10,NA,NA,NA,NA,NA,NA
155,3,31,10,310.84,184,25.31,172.13,95,6
156,3,3,10,0.18,2,0.18,0,114,3
157,5,15,10,107.63,66,44.91,0,73,3
158,5,20,10,219.7,142,32.51,40.89,72,6
159,4,2,10,622.75,510,21.96,891.14,254,10
160,4,19,10,143.66,84,33.57,11.58,151,7
161,8,19,10,166.96,91,45.5,55.86,139,8
162,8,33,10,207.55,134,32.26,0.84,245,9
163,8,9,10,96.12,64,41.71,100.56,255,7
164,8,38,10,135.84,100,32.36,317.12,226,6
165,7,35,10,11.95,11,11.95,12.25,199,10
166,7,2,10,575.98,433,15.89,949.46,450,10
167,7,22,10,236.99,166,40.48,211.02,55,9
168,7,4,10,188.36,165,30.76,295.2,209,9
169,6,38,10,173.11,92,33.18,356.2,242,6
170,6,24,5,104.58,83,32.43,0.5,171,7
171,6,20,10,384.95,139,50.47,5.84,277,7
172,6,8,10,203.67,85,28.89,59.35,267,9
173,5,27,10,275.41,268,26.61,323.85,237,7
174,5,19,10,193.99,124,15.61,0,180,7
175,5,30,10,133.53,103,17.96,35.29,233,8
176,5,26,10,144.9,78,27.25,175.55,315,5
177,8,29,3,33.3,21,30.14,215.1,34,3
178,8,11,10,108.24,97,23.17,48.71,133,8
179,8,28,10,445.2,371,32.88,745.68,323,10
180,8,26,10,52.4,24,45.48,71.3,143,7
181,7,5,10,71.22,38,37.2,0,68,4
182,7,31,10,232.09,190,25.61,311.78,78,8
183,7,21,10,130.66,44,49.49,122.93,153,8
184,7,16,10,135.14,68,30.35,72.8,124,9
185,6,31,10,119.66,97,24.2,164.74,74,7
186,6,2,10,326.67,360,25.06,685.91,395,10
187,6,9,10,226.5,148,50.32,14.81,128,8
188,6,35,10,0,0,0,0,103,0
189,5,23,9,291.72,263,15.06,0,145,8
190,5,16,10,236.01,206,21.87,348.55,118,7
191,5,14,10,161.35,171,16.35,26.28,162,9
192,5,35,10,0.53,10,0.53,0,139,2
193,8,15,10,94.09,54,36.34,0,211,5
194,8,37,10,477.64,320,31.51,833.44,625,8
195,8,14,10,232.48,203,19.92,58.24,127,9
196,8,17,10,195.63,108,37.66,53.33,54,2
197,7,30,8,106.94,71,41.96,79.27,180,6
198,7,6,10,231.66,155,37.64,282.06,203,7
199,7,3,10,66.91,39,23.62,23.34,105,7
200,7,25,10,141.87,44,71.45,57.83,250,6
201,6,32,7,137.13,84,32.79,0,177,4
202,6,37,10,596.87,462,16.89,876.22,736,10
203,6,7,10,215.95,115,31.91,0,168,6
204,6,10,4,176.27,104,35.46,257.57,66,3
205,5,8,10,262.85,158,23.39,6.35,299,6
206,5,1,10,84.76,82,27.46,0,199,5
207,5,34,10,112.75,71,30.08,83.36,261,4
208,5,12,10,437.81,222,29.53,13.37,222,6
209,8,36,10,274.96,125,37.11,151.47,193,4
210,8,4,10,250.6,191,30.11,332.54,423,9
211,8,22,5,127.85,67,42.98,72.34,66,3
212,8,35,4,72.18,42,37.04,152.8,102,3
213,7,13,10,219.6,101,41.4,539.32,1,6
214,7,29,10,215.02,170,26.46,383.56,204,8
215,7,7,7,95.61,88,18.59,0,9,3
216,7,18,10,19.93,13,19.93,0,28,4
217,6,11,10,230.3,183,20.81,13.71,122,7
218,6,14,10,181.58,150,30.96,9.76,89,9
219,6,34,10,33.46,14,33.46,73.86,75,2
220,6,33,10,195.16,70,23.7,0,157,8
221,5,29,10,299.47,251,22.88,551.58,206,7
222,5,22,10,356.27,214,17.54,82.82,120,9
223,5,21,10,60.2,32,33.77,0,43,5
224,5,32,10,156.77,90,39.56,0.59,156,4
225,8,1,10,1.44,1,1.44,0,68,2
226,8,8,10,126.5,100,29.59,0,84,7
227,8,27,10,187.61,93,31.15,337.09,255,7
228,8,21,10,243.65,129,38.49,143.49,164,8
229,7,27,10,233.64,163,28.86,332.82,338,7
230,7,37,10,479.37,467,23.28,936.28,687,10
231,7,20,10,212.32,82,49.17,111.18,305,8
232,7,14,10,227.5,142,36.05,147.4,382,9
233,6,22,10,269.56,222,31.59,159.32,378,10
234,6,19,10,211.52,140,23.18,0,191,10
235,6,3,10,0.61,6,0.61,0,127,1
236,6,36,10,213.51,179,16.4,57.56,197,6
237,5,25,10,117.42,39,48.2,0.66,79,7
238,5,10,10,290.2,344,13.48,222.27,119,7
239,5,6,10,197.45,140,34.76,65.73,186,4
240,5,5,10,10.32,14,10.32,0,165,3
241,8,18,8,0,0,0,0,22,1
242,8,5,7,0,0,0,0.29,73,2
243,8,20,10,254.57,141,35.99,41.05,118,10
244,8,16,5,37.34,24,30.65,0,76,2
245,7,26,10,33.75,28,27.35,32.61,384,7
246,7,36,10,68.04,32,39.72,195.3,276,7
247,7,19,10,143.79,85,34.29,0,118,8
248,7,33,10,49.32,19,49.32,0,179,5
249,6,25,10,128.7,45,46.87,1.01,149,7
250,6,5,10,19.46,18,19.46,0,119,3
251,6,28,10,381.02,238,28.07,1048.3,756,10
252,6,17,10,205.36,143,21.84,0,137,5
253,5,7,10,127.2,95,37.21,0,194,8
254,5,38,10,152.36,135,19.34,96.34,98,4
255,5,37,10,466.12,369,25.68,577.94,553,10
256,5,17,10,215.86,112,44.18,88.62,324,7
257,8,34,10,137.18,55,50.36,261.38,541,5
258,8,25,10,499.92,201,43.97,0,179,9
259,8,13,10,273.01,201,29.13,448.91,150,6
260,8,12,10,306.48,243,18.2,96.6,172,10
261,7,15,10,87.38,38,46.26,0,111,4
262,7,17,10,335.23,189,37.03,335.06,194,8
263,7,1,10,2.27,2,2.27,3.85,136,2
264,7,12,10,250.82,232,19.32,91,152,10
265,6,6,10,196.56,155,18.44,13.02,NA,5
266,6,4,10,302.62,263,17.09,364.09,497,10
267,6,18,10,153.95,118,23.69,0,107,7
268,6,30,10,91.72,77,23.7,4.56,142,4
269,5,4,10,446.61,414,25.86,282.84,278,9
270,5,9,10,303.96,151,21,88.21,228,7
271,5,2,10,507.89,440,18.75,473.38,227,8
272,5,13,10,285.85,180,33.11,272.86,227,7
273,8,34,10,323.96,105,44.07,564.57,448,4
274,8,25,10,35.51,8,35.51,0,44,2
275,8,13,10,339.97,209,28.57,328.88,119,8
276,8,12,10,546.99,421,21.69,998.68,630,10
277,7,15,10,209.3,179,20.62,0,212,8
278,7,17,10,219.5,134,32.36,445.88,408,8
279,7,1,10,282.74,135,40.33,344.62,216,7
280,7,12,10,229.68,125,41.94,197.8,284,6
281,6,27,10,278.68,171,26.45,285.71,147,6
282,6,26,10,76.52,39,39.82,49.58,221,4
283,6,15,10,242.9,137,36.33,0,134,7
284,6,16,10,377.49,179,17.73,32.53,347,9
285,5,31,10,398.97,428,16.92,108.72,254,8
286,5,18,10,96.22,58,30.32,16.29,122,5
287,5,36,10,405.63,252,36.33,148.31,318,7
288,5,33,10,260.85,196,31.89,0,105,4
289,6,21,10,164.51,126,24.63,25.93,45,3
290,6,13,10,291.46,155,28.64,230.72,243,7
291,6,12,10,80.9,56,35.62,0,124,5
292,6,1,10,2.98,3,2.98,0,96,3
293,5,24,10,130.04,56,40.08,0,54,5
294,5,3,10,10.94,12,10.94,13.73,79,2
295,5,28,10,554.83,374,44.37,641.5,504,7
296,5,11,10,217.04,164,26.04,13.04,291,8
