NA,NA,NA,2013,2013,2013,2013,2013,2013,2013,no_survival
Plot,Rep,Entry,Capsules,sub_stems,ttl_stems,stemcap_ratio,est_ttl_capsules,av_ht,av_diam,4/27/13
1,1,35,NA,NA,NA,NA,NA,NA,NA,1
2,1,2,658,20,225,11.25,7403,53.2,36.4,10
3,1,23,518,20,246,12.3,6371,58.8,30.9,10
4,1,13,525,20,135,6.75,3544,58.4,39,8
5,2,32,668,20,76,3.8,2538,57.4,42.6,5
6,2,14,355,20,104,5.2,1846,64,26.44,9
7,2,25,588,20,112,5.6,3293,71.5,26.17,8
8,2,8,1094,20,77,3.85,4212,59,29,9
9,3,18,615,10,10,1,615,47.67,25.67,3
10,3,21,553,20,102,5.1,2820,53.2,24.75,8
11,3,30,466,20,44,2.2,1025,60,25.25,4
12,3,32,461,20,127,6.35,2927,59.33,32.83,6
13,4,35,1041,20,32,1.6,1666,60.11,27.02,1
14,4,27,369,20,218,10.9,4022,66.25,55,5
15,4,29,250,20,347,17.35,4338,62.5,57.29,7
16,4,3,337,20,86,4.3,1449,59.67,57,4
17,1,15,364,20,98,4.9,1784,54.4,29.83,6
18,1,30,440,20,29,1.45,638,59,30.67,3
19,1,10,391,20,237,11.85,4633,56.4,50.29,7
20,1,5,927,20,58,2.9,2688,64.33,30.8,5
21,2,26,745,20,43,2.15,1602,52.75,25,8
22,2,4,507,20,300,15,7605,65.4,45.78,9
23,2,28,1014,20,274,13.7,13892,63.2,35.33,9
24,2,35,501,13,13,1,501,57.33,29.4,3
25,3,19,323,20,180,9,2907,69.2,28.1,8
26,3,2,376,20,702,35.1,13198,64,31.6,10
27,3,15,432,20,103,5.15,2225,61,23.5,8
28,3,6,358,20,209,10.45,3741,58.2,36.89,9
29,4,4,300,20,521,26.05,7815,61.8,50.9,10
30,4,5,234,5,5,1,234,33.5,24.4,5
31,4,13,615,20,420,21,12915,64.5,63.22,9
32,4,7,340,20,68,3.4,1156,59,55.75,4
33,1,7,502,20,79,3.95,1983,66.4,25,6
34,1,6,733,20,69,3.45,2529,64.5,34.5,4
35,1,34,691,20,41,2.05,1417,48,31.75,4
36,1,11,682,20,124,6.2,4228,54,24.88,8
37,2,24,549,20,113,5.65,3102,71,32.56,9
38,2,12,359,20,114,5.7,2046,58,25.71,7
39,2,34,662,20,71,3.55,2350,55,36,7
40,2,33,354,20,127,6.35,2248,64.8,23.1,9
41,3,35,642,16,16,1,642,51,16,2
42,3,16,657,20,118,5.9,3876,59.5,57.14,7
43,3,36,494,20,204,10.2,5039,62.4,43.14,7
44,3,23,358,20,352,17.6,6301,65,28.5,10
45,4,30,346,20,136,6.8,2353,63.25,43.4,5
46,4,12,441,20,242,12.1,5336,57.75,41,9
47,4,32,266,20,34,1.7,452,39.33,33,4
48,4,14,248,20,403,20.15,4997,66.25,37.13,9
49,1,29,372,20,189,9.45,3515,58.4,44.63,8
50,1,33,475,20,44,2.2,1045,57.25,18.56,9
51,1,25,617,20,91,4.55,2807,70.4,23.78,9
52,1,38,388,20,212,10.6,4113,65,49.89,9
53,2,1,445,20,52,2.6,1157,56,24.67,5
54,2,31,518,20,257,12.85,6656,69.4,40.1,10
55,2,9,610,20,188,9.4,5734,68,29.1,9
56,2,22,705,20,263,13.15,9271,61,36,9
57,3,14,298,20,155,7.75,2310,70.25,29.14,7
58,3,25,360,20,130,6.5,2340,66.5,27.71,6
59,3,38,411,20,224,11.2,4603,67,47.1,10
60,3,11,322,20,289,14.45,4653,61.75,32.63,8
61,4,23,365,20,364,18.2,6643,64.2,43.9,10
62,4,20,422,20,168,8.4,3545,62.33,63.5,7
63,4,1,452,20,23,1.15,520,41,36,2
64,4,16,245,20,387,19.35,4741,67.75,62,7
65,1,17,476,20,106,5.3,2523,65,41.57,7
66,1,24,640,20,140,7,4480,65.8,36.89,8
67,1,31,605,20,119,5.95,3600,64.8,34.43,7
68,1,21,951,20,144,7.2,6847,72.4,20.2,8
69,2,30,469,20,29,1.45,680,60.33,33,4
70,2,5,284,10,10,1,284,55,24,3
71,2,37,571,20,446,22.3,12733,67.2,39.2,10
72,2,19,202,20,164,8.2,1656,68,33.22,8
73,3,22,389,20,276,13.8,5368,63.2,49.9,10
74,3,24,595,20,105,5.25,3124,75.67,43,4
75,3,10,210,20,221,11.05,2321,61,42.8,9
76,3,7,403,20,112,5.6,2257,63.75,28.57,7
77,4,37,778,20,435,21.75,16922,60.8,48.8,10
78,4,31,313,20,267,13.35,4179,69.8,77,6
79,4,18,NA,NA,NA,NA,NA,NA,NA,1
80,4,34,730,20,93,4.65,3395,61.67,42.14,7
81,1,12,290,20,59,2.95,856,65.33,25.25,4
82,1,19,413,20,83,4.15,1714,80,19,8
83,1,3,NA,NA,NA,NA,NA,NA,NA,1
84,1,32,603,20,104,5.2,3136,62.2,32.13,8
85,2,27,417,20,203,10.15,4233,68.8,48.33,6
86,2,13,389,20,233,11.65,4532,65.6,47.25,8
87,2,20,438,20,190,9.5,4161,62,36.67,9
88,2,29,332,20,270,13.5,4482,59.5,47.56,9
89,3,26,621,20,22,1.1,683,75.5,18,3
90,3,8,523,20,75,3.75,1961,49,41.33,6
91,3,5,225,6,6,1,225,70.2,16.67,4
92,3,17,243,20,316,15.8,3839,66.4,47.67,9
93,4,22,254,20,321,16.05,4077,64,40,9
94,4,9,406,20,183,9.15,3715,69.8,49.5,9
95,4,25,451,20,70,3.5,1579,68.2,47.6,6
96,4,15,246,20,138,6.9,1697,76.67,86.8,7
97,1,27,700,20,168,8.4,5880,70.8,39.22,9
98,1,18,643,16,16,1,643,64,20,5
99,1,26,359,14,14,1,359,56.5,26.75,4
100,1,28,758,20,297,14.85,11256,65.2,33.56,9
101,2,18,345,4,4,1,345,68,19.5,3
102,2,7,444,20,116,5.8,2575,70.4,32.25,8
103,2,3,771,20,75,3.75,2891,58.8,40.88,8
104,2,16,257,20,242,12.1,3110,67.6,55.44,9
105,3,34,739,20,53,2.65,1958,65,28.29,5
106,3,33,551,20,119,5.95,3278,67.67,31.56,9
107,3,28,934,20,324,16.2,15131,67.2,39.3,10
108,3,29,403,20,182,9.1,3667,67,52.33,9
109,4,17,348,20,247,12.35,4298,68.25,52.43,7
110,4,21,367,20,308,15.4,5652,71.8,43.33,9
111,4,33,304,20,251,12.55,3815,63.6,41.89,9
112,4,6,540,20,117,5.85,3159,63,73,3
113,1,16,485,20,106,5.3,2571,58.2,31.78,9
114,1,4,370,20,222,11.1,4107,63.4,39.6,10
115,1,22,483,20,165,8.25,3985,61.2,35.78,9
116,1,14,624,20,104,5.2,3245,73,25.88,8
117,2,15,481,20,249,12.45,5988,69.8,36.8,10
118,2,17,274,20,306,15.3,4192,72.4,50.5,10
119,2,21,586,20,213,10.65,6241,71.4,42.13,7
120,2,38,332,20,92,4.6,1527,68.2,58.83,5
121,3,12,413,20,281,14.05,5803,56.6,45.89,9
122,3,13,507,20,174,8.7,4411,67.2,39.75,7
123,3,37,586,20,361,18.05,10577,64.2,43.56,9
124,3,1,80,4,4,1,80,53,19,1
125,4,24,83,20,241,12.05,1000,77,62.5,8
126,4,23,308,20,637,31.85,9810,63.2,45.8,10
127,4,10,252,20,407,20.35,5128,60.6,57.5,8
128,4,38,634,20,249,12.45,7893,67.2,59,9
129,1,20,639,20,62,3.1,1981,68.8,21.56,9
130,1,8,846,20,181,9.05,7656,68.5,29.63,8
131,1,9,333,20,140,7,2331,69.2,31.22,9
132,1,36,388,20,184,9.2,3570,59.4,35.67,9
133,2,11,474,20,184,9.2,4361,62.2,38.71,7
134,2,5,1051,20,137,6.85,7199,68,49.22,7
135,2,36,464,20,230,11.5,5336,63,45.25,8
136,2,2,1292,20,312,15.6,20155,62.6,38.9,10
137,3,27,377,20,233,11.65,4392,65.6,48.22,9
138,3,4,429,20,213,10.65,4569,60.6,49.22,9
139,3,9,433,20,169,8.45,3659,75.6,41.33,9
140,3,20,670,20,228,11.4,7638,73.2,47.88,8
141,4,26,455,20,43,2.15,978,62,98,2
142,4,11,531,20,106,5.3,2814,56.75,48.75,5
143,4,36,592,20,205,10.25,6068,68.5,58.17,6
144,4,8,1470,20,29,1.45,2132,82.5,89,3
145,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1,37,665,20,308,15.4,10241,59.6,35.38,8
148,1,1,NA,NA,NA,NA,NA,NA,NA,0
149,7,28,711,20,336,16.8,11945,50.67,54.5,9
150,7,8,514,20,79,3.95,2030,63.4,39.33,10
151,2,10,393,20,194,9.7,3812,60.2,38.44,9
152,2,23,356,20,203,10.15,3613,58.2,37.9,10
153,6,29,521,20,77,3.85,2006,64.5,60.5,7
154,3,NA,576,20,76,3.8,2189,67.6,47.17,NA
155,3,31,565,20,184,9.2,5198,69.8,62.5,6
156,3,3,21,2,2,1,21,26,54.83,3
157,5,15,693,20,66,3.3,2287,82.33,57.67,3
158,5,20,576,20,142,7.1,4090,68.67,41.5,6
159,4,2,632,20,510,25.5,16116,67.2,47.8,10
160,4,19,374,20,84,4.2,1571,68,44.83,7
161,8,19,533,20,91,4.55,2425,56,41.14,8
162,8,33,542,20,134,6.7,3631,59.6,34.43,9
163,8,9,652,20,64,3.2,2086,63.8,36.14,7
164,8,38,546,20,100,5,2730,60,73.67,6
165,7,35,219,11,11,1,219,72,35.67,10
166,7,2,566,20,433,21.65,12254,67.25,39.2,10
167,7,22,654,20,166,8.3,5428,72,56.44,9
168,7,4,419,20,165,8.25,3457,64.8,50.56,9
169,6,38,932,20,92,4.6,4287,69,74.8,6
170,6,24,504,20,83,4.15,2092,83,60.4,7
171,6,20,682,20,139,6.95,4740,69.8,48,7
172,6,8,929,20,85,4.25,3948,71.2,45.33,9
173,5,27,395,20,268,13.4,5293,63.5,59.86,7
174,5,19,159,20,124,6.2,986,68.33,52.29,7
175,5,30,579,20,103,5.15,2982,58.2,48,8
176,5,26,336,20,78,3.9,1310,62.4,71.2,5
177,8,29,532,20,21,1.05,559,65,60.33,3
178,8,11,396,20,97,4.85,1921,53.8,35.83,8
179,8,28,717,20,371,18.55,13300,63.8,41.2,10
180,8,26,1329,20,24,1.2,1595,55.4,53.83,7
181,7,5,771,20,38,1.9,1465,60,52.33,4
182,7,31,416,20,190,9.5,3952,67.75,50.57,8
183,7,21,756,20,44,2.2,1663,72.8,55.86,8
184,7,16,423,20,68,3.4,1438,65,54.1,9
185,6,31,427,20,97,4.85,2071,68.75,40.6,7
186,6,2,605,20,360,18,10890,57.8,37.5,10
187,6,9,807,20,148,7.4,5972,70.4,47.13,8
188,6,35,NA,NA,NA,NA,NA,NA,NA,0
189,5,23,329,20,263,13.15,4326,69.2,52.5,8
190,5,16,276,20,206,10.3,2843,65.8,75.29,7
191,5,14,326,20,171,8.55,2787,57.2,36.71,9
192,5,35,NA,NA,NA,NA,NA,NA,NA,2
193,8,15,650,20,54,2.7,1755,70.75,40.8,5
194,8,37,991,20,320,16,15856,63.8,43.75,8
195,8,14,227,20,203,10.15,2304,66.4,38.78,9
196,8,17,505,20,108,5.4,2727,67,85,2
197,7,30,522,20,71,3.55,1853,77,57.33,6
198,7,6,758,20,155,7.75,5875,70,79.29,7
199,7,3,690,20,39,1.95,1346,64.4,55,7
200,7,25,634,20,44,2.2,1395,72.5,30.2,6
201,6,32,557,20,84,4.2,2339,69.33,67.75,4
202,6,37,436,20,462,23.1,10072,64.2,41.5,10
