Unique_ID,Worksheet,Notes,Reference_code,Reference,
612,Density,Damuth Ref: 578,Rowell 1966,"Rowell, T. E., 1966.Forest living baboons in Uganda. Journal of Zoology (London), 149: 344-364. ",
613,Density,Damuth Ref: 580,Rudd 1965,"Rudd, C. L., 1965. Weight and growth in Malaysian rainforest mammals. Journal of Mammalogy, 46: 588-594. ",
614,Density,Damuth Ref: 581,Sadleir 1965,"Sadleir, R. M. F. S., 1965. The relationship between agonistic behaviour and population changes in the deermouse, Peromyscus maniculatus (Wagner). Journal of Animal Ecology, 34: 331-352. ",
615,Density,Damuth Ref: 582,Saint-Girons 1971,"Saint-Girons, M.C. & Mazak, V., 1971. Données morphologiques sur quelques micromammifères en Laponie. Zeitschrift fur Saugetierkunde, 36: 179-190. ",
616,Density,Damuth Ref: 583,Saito 1969,"Saito, S., 1969. Energetics of isopod populations in a forest of central Japan. Researches on Population Ecology, 11: 229-258. ",
617,Density,Damuth Ref: 584,Sanderson 1950,"Sanderson, G. C., 1950. Small-mammal population of a prairie grove. Journal of Mammalogy, 31: 17-25.",
618,Density,Damuth Ref: 741,Sarrazin 1973,"Sarrazin, J. -P. R. & Bider, J. R., 1973. Activity, a neglected parameter in population estimates-the development of a new technique. Journal of Mammalogy, 54: 163-182.",
619,Density,Damuth Ref: 585,Saunders 1970,"Saunders, L. H. & Power, G., 1970. Population ecology of the brook trout, Salvelinus fontinalis, in Matamek Lake, Quebec. Journal of the Fisheries Research Board of Canada, 27: 413-424. ",
620,Density,Damuth Ref: 586,Sayer 1975,"Sayer, J. A. & Van Lavieren, L. P., 1975. The ecology of the Kafue lechwe population of Zambia before the operation of hydro-electric dams on the Kafue River. East African Wildlife Journal, 13: 9-37. ",
621,Density,Damuth Ref: 587,Schaaf 1977,"Schaaf, D. & Singh, A., 1977. Barasingha in the Dudhwa Sanctuary. Oryx, 13: 495-498. ",
622,Density,Damuth Ref: 588,Schaller 1972,"Schaller, G. B., 1972. The Serengeti Lion. Chicago: University of Chicago Press.",
623,Density,Damuth Ref: 590,Schaller 1974,"Schaller, G. B. & Laurie, A., 1974. Courtship behaviour of the wild goat. Zeitschrift fur Saugetierkunde, 39: 115-127. ",
624,Density,Damuth Ref: 589,Schaller 1976,"Schaller, G. B., 1976. Mountain mammals in Pakistan. Oryx, 13: 351-356. ",
625,Density,Damuth Ref: 591,Schaller 1978,"Schaller, G. B. & Vascomelas, J. M. C., 1978. A marsh deer census in Brazil. Oryx, 14: 345-35 1. ",
626,Density,Damuth Ref: 592,Schauenberg 1981,"Schauenberg, P., 1981. Elements d’écologie du chat forestier d’Europe Felis sylvestris Schreber. 1777. Revue d’écologie, 35: 3-36. 593. ",
627,Density,Damuth Ref: 593,Schladweiler 1973,"Schladweiler, P. & Stevens, D. R., 1973. Weights of moose in Montana. Journal of Mammalogy, 54: 772-775. ",
628,Density,Damuth Ref: 594,Schneegas 1972,"Schneegas, E. R. & Franklin, G. W., 1972. The Mineral King deer herd. California Fish and Game, 58: 133-140. ",
629,Density,Damuth Ref: 595,Schnell 1968,"Schnell, J. H., 1968. The limiting effects of natural predation on experimental cotton rat populations. Journal of Wildlife Management, 32: 698-711. ",
630,Density,Damuth Ref: 596,Schoener 1980,"Schoener, T. W. & Schoener, A., 1980. Densities, sex ratios and population structure in four species of Bahamian Anolis lizards. Journal of Animal Ecology, 49: 19-53. ",
631,Density,Damuth Ref: 597,Schomber 1964,"Schomber, H.-W., 1964. Beitrage zur Kenntnis der Lamagazelle,  Ammodorcas clarkei (Thomas, 1891)., Zeitschrift fur Saugetierkunde, 12: 65-90. ",
632,Density,Damuth Ref: 598,Schroder 1975,"Schroder, G. D. & Geluso, K. N., 1975. Spatial distribution of Dipodomys spectabilis mounds. Journal of Mammalogy, 56: 363-368. ",
633,Density,Damuth Ref: 599,Schroder 1975,"Schroder, D. G. & Rosenzweig, M. L., 1975. Perturbation analysis of competition and overlap in habitat utilization between Dipodomys ordii and Dipodomys merriami. Oecologia (Berlin), 19: 9-28. ",
634,Density,Damuth Ref: 600,Schwartz 1975,"Schwartz, O.A. & Bleich, V. C., 1975. Comparative growth in two species of woodrats, Neotoma lepida intermedia and Neotoma albigula venusta. Journal of Mammalogy, 56: 653-666. ",
635,Density,Damuth Ref: 601,Schweinsberg 1971,"Schweinsberg, R. E., 1971. Home range, movements, and herd integrity of the collared peccary. Journal of Wildlife Management, 35: 455-460.",
636,Density,Damuth Ref: 602,Semenov-Tian-Shanskii 1975,"Semenov-Tian-Shanskii, I. O., 1975. The status of wild reindeer in the U.S.S.R., especially the Kola Peninsula. In J. R. Luick, P. C. Lent, D. R. Klein & R. G. White (Eds), Proceedings of the first Caribou Symposium. Biological Papers of the University of Alaska, Special Report, 1: 155-161.",
637,Density,Damuth Ref: 603,Serafinski 1969,"Serafinski, W., 1969. Reproduction and dynamics of moose (Alces alces L.) population in the Kampinos National Park. Ekologia Polska, 17: 709-718. ",
638,Density,Damuth Ref: 604,Shannon 1975,"Shannon, N. H., Hudson, R. J., Brink, V. C. & Kitts, W. D., 1975. Determinants of spatial distribution of Rocky Mountain bighorn sheep. Journal of Wildlife Management, 39: 387-401.",
639,Density,Damuth Ref: 605,Sheldon 1975,"Sheldon, W. G., 1975. The Wilderness Home of the Giant Panda. Amherst, Massachusetts: University of Massachusetts Press. ",
640,Density,Damuth Ref: 606,Sheppe 1972,"Sheppe, W., 1972. The annual cycle of small mammal populations on a Zambian floodplain. Journal of Mammalogy, 53: 445-460. ",
641,Density,Damuth Ref: 607,Sheppe 1973,"Sheppe, W., 1973. Notes on Zambian rodents and shrews. The Puku, 7: 167-190. ",
642,Density,Damuth Ref: 735,Shkolnik 1980,"Shkolnik, A., 1980. Energy metabolism in hedgehogs: “primitive” strategies? In K. Schmidt- Nielsen, L. Bolis & C. R. Taylor (Eds), Comparative Physiology: Primitive Mammals: 148-154. Cambridge: Cambridge University Press. ",
643,Density,Damuth Ref: 608,Simms 1979,"Simms, D. A., 1979. Studies of an ermine population in southern Ontario. Canadian Journal of Zoology, 57: 824-832. ",
644,Density,Damuth Ref: 609,Sinclair 1972,"Sinclair, A. R. E., 1972. Long term monitoring of mammal populations in the Serengeti: census of non-migratory ungulates. East African Wildlife Journal, 10: 287-297. ",
645,Density,Damuth Ref: 610,Siniff 1964,"Siniff, D. B. & Skoog, R. O., 1964. Aerial censusing of caribou using stratified random sampling. Journal of Wildlife Management, 28: 391-401. ",
646,Density,Damuth Ref: 611,Skar 1971,"Skar, H.J., Hagen, A. & Ostbye, E., 1971. The bank vole (Clethrionomys glareolus (Schreber, 1780)) in south Norwegian mountain areas. Norwegian Journal of Zoology, 19: 261-266. ",
647,Density,Damuth Ref: 612,Slade 1974,"Slade, N. A. & Balph, D. F., 1974. Population ecology of Uinta ground squirrels. Ecology, 55: 989-1003. ",
648,Density,Damuth Ref: 613,Smalley 1960,"Smalley, A. E., 1960. Energy flow of a salt marsh grasshopper population. Ecology, 41: 672-677. ",
649,Density,Damuth Ref: 615,Smith 1970,"Smith, D. A. & Speller, S. W., 1970. The distribution and behavior of Peromyscus maniculatus gracilis and Peromyscus leucopus noveboracensis (Rodentia: Cricetidae) in a southeastern Ontario woodlot. Canadian Journal of Zoology, 48: 1187-1199. ",
650,Density,Damuth Ref: 616,Smith 1974,"Smith, M. H., Gentry, J. B. & Pinder, J., 1974. Annual fluctuations in small mammal population in an eastern hardwood forest. Journal of Mammalogy, 55: 231-234. ",
651,Density,Damuth Ref: 614,Smith 1979,"Smith, A. T. & Vrieze, J. M., 1979. Population structure of Everglades rodents: responses to a patchy environment. Journal of Mammalogy, 60: 778-794. ",
652,Density,Damuth Ref: 617,Smithers 1971,"Smithers, R. H. N., 1971. The mammals of Botswana. National Museums of Rhodesia (Salisbury), Museum Memoirs, 4: 1-340. ",
653,Density,Damuth Ref: 618,Smuts 1975,"Smuts, G. L., 1975. Reproduction and population characteristics of elephants in the Kruger National Park. Journal of the South African Wildlife Management Association, 5: 1-10,",
654,Density,Damuth Ref: 619,Smythe 1978,"Smythe, N., 1978. The natural history of the Central American agouti (Dasyprocta punctata). Smithsonian Contributions to Zoology, 257: 1-85.",
655,Density,Damuth Ref: 620,Soholt 1973,"Soholt, L. F., 1973. Consumption of primary productivity by a population of kangaroo rats (Dipodomys merriami) in the Mohave Desert. Ecological Monographs, 43: 357-376.",
656,Density,Damuth Ref: 621,Southern 1979,"Southern, H. N., 1979. Population processes in small mammals. In D. M. Stoddart (Ed.), Ecology of Small Mammals: 63-101. London: Chapman and Hall.",
657,Density,Damuth Ref: 622,Southwick 1972,"Southwick, C. H. & Cadigan, C. F., Jr., 1972. Populatio studies of Malaysian primates. Primates, 13: 1-18.",
658,Density,Damuth Ref: 623,Soutiere 1978,"Soutiere, E. C., 1978. The effects of timber harvesting on the marten. Dissertation Abstracts International, 39B: 2591-2592. ",
659,Density,Damuth Ref: 624,Spencer 1970,"Spencer, D. L. & Lensink, C. J., 1970. The muskox of Nunivak Island, Alaska. Journal of Wildlife Management, 34: 1-15. ",
660,Density,Damuth Ref: 625,Spinage 1970,"Spinage, C. A., 1970. Population dynamics of the Uganda defassa waterbuck (Kobus defassa ugandae Neumann) in the Queen Elizabeth Park, Uganda. Journal of Animal Ecology, 39: 51-78. ",
661,Density,Damuth Ref: 626,Spinage 1972,"Spinage, C. A., Guiness, F., Eltringham, S. K. & Woodford, M. H., 1972. Estimation of large mammal numbers in the Akagera National Park and Mutara Hunting Reserve, Rwanda. La Terre et La Vie, 26: 561-570. ",
662,Density,Damuth Ref: 627,Stachurski 1972,"Stachurski, A., 1972. Population density, biomass and maximum natality rate and food conditions in Ligidium hypnorum L. (Isopoda). Ekologia Polska, 20: 186-198. ",
663,Density,Damuth Ref: 628,Staines 1970,"Staines, B. W., 1970. A population study of red deer in Glen Dye, North-east Scotland. Mammal Review, I: 53. ",
664,Density,Damuth Ref: 629,Stevenson 1985,"Stevenson, R. D., 1985. Body size and limits to the daily range of body temperature in terrestrial ectotherms. American Naturalist, 125: 102-1 17. ",
665,Density,Damuth Ref: 630,Stewart 1963,"Stewart, D. R. M., 1963. Wildlife census—Lake Rudolf. East African Wildlife Journal, 1: 121.",
666,Density,Damuth Ref: 631,Stewart 1963,"Stewart, D. R. M. & Zaphiro, D. R. P., 1963. Biomass and density of wild herbivores in different East African habitats. Mammalia, 27: 483-496. ",
667,Density,Damuth Ref: 632,Stickel 1949,"Stickel, L. F. & Stickel, W. H., 1949. A Sigmodon and Baiomys population in ungrazed and unburned Texas prairie. Journal of Mammalogy, 9: 141-150. ",
668,Density,Damuth Ref: 633,Stickel 1960,"Stickel, L. F. & Warbach, O., 1960. Small-mammal populations in a Maryland woodlot, 1949-1954. Ecology, 41: 264-286. ",
669,Density,Damuth Ref: 634,Stockner 1971,"Stockner, J. G., 1971. Ecological energetics and natural history of Hedriodiscus truquii (Diptera) in two thermal spring communities. Journal of the Fisheries Research Board of Canada, 28: 73-94. ",
670,Density,Damuth Ref: 744,Stout 1974,"Stout, I. J. & Sonenshine, D. E., 1974. Ecology of an opossum population in Virginia, 1963-69. Acta Theriologica, 19: 235-245.",
671,Density,Damuth Ref: 635,Strickland 1967,"Strickland, D. L., 1967. Ecology of the rhinoceros in Malaya. Malayan Nature Journal, 20: 1-17.",
672,Density,Damuth Ref: 636,Struhsaker 1967,"Struhsaker, T. T., 1967.Ecology of vervet monkeys (Cercopithecus aethiops) in the Masai-Amboseli Game Reserve, Kenya. Ecology, 48; 891-904. ",
673,Density,Damuth Ref: 637,Struhsaker 1973,"Struhsaker, T. T., 1973. A recensus of vervet monkeys in the Masai-Amboseli Game Reserve, Kenya. Ecology, 54: 930-932. ",
674,Density,Damuth Ref: 638,Struhsaker 1976,"Struhsaker, T. T., 1976.A further decline in numbers of Amboseli vervet monkeys. Biotropica, 8. 211-214. ",
675,Density,Damuth Ref: 639,Struhsaker 1980,"Struhsaker, T. T., 1980. Comparison of the behaviour and ecology of red colobus and redtail monkeys in the Kibale Forest, Uganda. African Journal of Ecology, 18: 33-51. ",
676,Density,Damuth Ref: 640,Sullivan 1979,"Sullivan, T. P., 1979. Demography of populations of deer mice in coastal forests and clear-cut (logged) habitats. Canadian Journal of Zoology, 57: 1636-1648. ",
677,Density,Damuth Ref: 641,Sunderland 1976,"Sunderland, K. D., Hassall, M. & Sutton, S. L., 1976. The population dynamics of Philoscia muscorum (Crustacea, Oniscoidea) in a dune grassland ecosystem. Journal of Animal Ecology, 45: 487-506. ",
678,Density,Damuth Ref: 642,Sunquist 1982,"Sunquist, M. E., 1982. Movements and habitat use of a sloth bear. Mammalia, 46: 545-547. ",
679,Density,Damuth Ref: 643,Sussman 1975,"Sussman, R. W., 1975. A preliminary study of the behaviour and ecology of Lemur fulvus rufus Audabert 1800. In I. Tattersall & R. W. Sussman (Eds), Lemur Biology: 237-279. New York: Plenum. ",
680,Density,Damuth Ref: 644,Sutton 1968,"Sutton, S. L., 1968. The population dynamics of Trichoniscus pusillus and Philoscia muscorum (Crustacea, Oniscoidea) in limestone grassland. Journal of Animal Ecology, 37: 425-444.",
681,Density,Damuth Ref: 645,Svendsen 1974,"Svendsen, G. E., 1974. Behavioural and environmental factors in the spatial distribution and population dynamics of a yellow-bellied marmot population. Ecology, 55: 760-771. ",
682,Density,Damuth Ref: 646,Svendsen 1979,"Svendsen, G. E. & Yahner, R. H., 1979. Habitat preferences and utilization by the eastern chipmunk (Tamias striatus). Kirtlandia, 31: 1-14. ",
683,Density,Damuth Ref: 647,Swanepoel 1975,"Swanepoel, P., 1975. Small mammals of the Addo Elephant National Park. Koedoe, 18: 103-130. ",
684,Density,Damuth Ref: 648,Swanepoel 1976,"Swanepoel, P., 1976. An ecological study of rodents in northern Natal, exposed to Dieldrin coverspraying. Annals of the Cape Provincial Museums (Natural History), 11: 57-81.",
685,Density,Damuth Ref: 649,Swank 1958,"Swank, W. G., 1958. The mule deer in Arizona chaparral. Arizona Game and Fish Department Wildlife Bulletin, 3: 1-109. ",
686,Density,Damuth Ref: 650,Taber 1961,"Taber, R. D., 1961. The black-tailed deer: a review of ecology and management. LA Terre et La Vie, 15: 22 1-245. ",
687,Density,Damuth Ref: 651,Talbot 1964,"Talbot, R. M. & Stewart, D. R. M., 1964. First wildlife census of the entire Serengeti-Mara Region, East Africa. Journal of Wildlife Management, 28: 815-827. ",
688,Density,Damuth Ref: 652,Tamarin 1971,"Tamarin, R. H. & Malecha, S. R., 1971. The population biology of Hawaiian rodents: demographic parameters. Ecology, 52: 383-394.",
689,Density,Damuth Ref: 653,Tanaka 1951,"Tanaka, R., 1951. Estimation of the vole and mouse populations on Mt. Ishizuchi and on the uplands of southern Shikoku. Journal of Mammalogy, 32: 450-458. ",
690,Density,Damuth Ref: 654,Tanton 1969,"Tanton, M. T., 1969. The estimation and biology of populations of the bank vole. (Clethrionomys glareolus (Schr.)) and wood mouse (Apodemus flavicollis (L.)). Journal of Animal Ecology, 38: 511-529. ",
691,Density,Damuth Ref: 655,Tate 1952,"Tate, G. H. H., 1952. Weights of Queensland mammals. Journal of Mammalogy, 33: 117-118.",
692,Density,Damuth Ref: 656,Tattersall 1977,"Tattersall, I., 1977. Ecology and behaviour of Lemur fulvus mayottensis (Primates, Lemuriformes). Anthropological Papers on the American museum of Natural History, 54: 421-482. ",
693,Density,Damuth Ref: 657,Taylor 1976,"Taylor, K. D. & Green, M. G., 1976. The influence of rainfall on diet and reproduction in four African rodent species. Journal of Zoology (London), 180: 367-389. ",
694,Density,Damuth Ref: 658,Teer 1965,"Teer, J. G., Thomas, J. W. & Walker, E. A., 1965. Ecology and management of white-tailed deer in the Llano Basin of Texas. Wildlife Monographs, 15: 1-62.",
695,Density,Damuth Ref: 659,Tener 1963,"Tener, J. S., 1963. Queen Elizabeth Islands game survey, 1961. Canadian Wildllfe Service Occasional Papers,4: 1-50.",
696,Density,Damuth Ref: 660,Terwillinger 1978,"Terwillinger, V. J., 1978. Natural history of Baird's tapir on Barro Colorado Island, Panama Canal Zone. Biotropica, 10: 211-220.",
697,Density,Damuth Ref: 661,Thomson 1964,"Thomson, J. A. & Owen, W. H., 1964. A field study of the Australian ringtail possum Pseudocheirus peregrinus (Marsupialia: Phalangeridae). Ecological Monographs, 34: 27-52.",
698,Density,Damuth Ref: 726,Thorington 1968,"Thorington, R. W., Jr., 1968. Observations of the tamarin Saguinus midas. Folia Primatologica, 9: 95-98.",
699,Density,Damuth Ref: 662,Tinkle 1967,"Tinkle, D. W., 1967. Home range, density, dynamics, and the structure of a Texas population of the lizard Uta stansburiana. In W. W. Milstead (Ed.), Lizard Ecology: A Symposium: 5-29. Columbia, Missouri: University of Missouri Press.",
700,Density,Damuth Ref: 663,Tinley 1969,"Tinley, K. L., 1969. Dikdik Madoqua kirki in South West Africa: notes on distribution, ecology and behaviour. Madoqua, 1: 7-33.",
701,Density,Damuth Ref: 664,Todd 1981,"Todd, A. W., Keith, L. B. & Fischer, C. A., 1981. Population ecology of coyotes during a fluctuation of snowshoe hares. Journal of Wildlife Management, 45: 629-640.",
702,Density,Damuth Ref: 665,Toweill 1977,"Toweill, D. E. & Meslow, E. C., 1977. Food habits of cougars in Oregon. Journal of Wildlife Management, 41: 576-578.",
703,Density,Damuth Ref: 666,Trapp 1978,"Trapp, G. R., 1978. Comparative behavioural ecology of the ringtail and gray fox in southwestern Utah. Carnivore, 1: 3-32.",
704,Density,Damuth Ref: 667,Trent 1974,"Trent, T. T. & Rongstad, O. J., 1974. Home range and survival of cottontail rabbits in southwestern Wisconsin. Journal of Wildlife Management, 38: 459-472.",
705,Density,Damuth Ref: 668,Tudorancea 1972,"Tudorancea, C., 1972. Studies on Unionidae populations from the Crapina-Jijila complex of pools (Danube zone liable to inundation). Hydrobiologia, 39:527-561.",
706,Density,Damuth Ref: 669,Tulloch 1978,"Tulloch, D. G., 1978. The water buffalo, Bubalus bubalis, in Australia: grouping and home range. Australian Wildlife Research, 5: 327-354.",
707,Density,Damuth Ref: 670,Turner 1961,"Turner, M. & Watson, M., 1961. A census of game in Ngorogoro Crater. East African Wildlife Journal, 2: 165-166.",
708,Density,Damuth Ref: 671,Tyndale-Biscoe 1969,"Tyndale-Biscoe, C. H. & Smith, R. F. C., 1969. Studies on the marsupial glider, Schoinobates volans (Kerr). 11. Population structure and regulatory mechanisms. Journal of Animal Ecology, 38: 637-659.",
709,Density,Damuth Ref: 672,Tyson 1959,"Tyson, E. L., 1959. A deer drive vs. track census. Transactions of the North American Wildlife Conference, 24:  457-464.",
710,Density,Damuth Ref: 673,Uhlig 1957,"Uhlig, H., 1957. Gray squirrel populations in extensive forested areas of West Virginia. Journal of Wildlife Management, 21: 335-341.",
711,Density,Damuth Ref: 674,Van Den Brink 1968,"Van Den Brink, F. H., 1968. A Field Guide to the Mammals of Britain and Europe. Boston: Houghton Mifflin.",
712,Density,Damuth Ref: 675,Van Lavieren 1977,"Van Lavieren, L. P. & Bosch, M. L., 1977. Évaluation des densités de grands mammifères dans le Parc National de Bouba Ndjida, Cameroun. La Terre et La Vie, 31: 3-22.",
713,Density,Damuth Ref: 676,Vassiljevskaya 1975,"Vassiljevskaya, V. D., Ivanov, V. V., Bogatyrev, L. G., Pospelova, E. P., Shalaeva, N. M. & Grishina, L. A., 1975. Agapa, U.S.S.R. In T. Rosswall & O.W. Heal (Eds), Structure and Function of Tundra Ecosystems. Ecological Bulletin (Stockholm), 20: 141-158. ",
714,Density,Damuth Ref: 677,Vaughn 1974,"Vaughn, T. A., 1974. Resource allocation in some sympatric, subalpine rodents. Journal of Mammalogy, 55: 764-795.",
715,Density,Damuth Ref: 678,Verts 1967,"Verts, B. J., 1967. The Biology of the Striped Skunk. Urbana, Illinois: University of Illinois Press.",
716,Density,Damuth Ref: 679,Viega-Borgeaud 1982,"Viega-Borgeaud, T., 1982. Données écologiques sur Oryzomys nigripes (Desmarest, 1819) (Rongeurs; cricétidés) dans le foyer naturel de peste de Barracao dos Mendes (État de Rio de Janeiro, Brésil). Mammalia, 46 : 336-359. ",
717,Density,Damuth Ref: 680,Vincent 1969,"Vincent, J., 1969. The status of the square-lipped rhinoceros, Ceratotherium simum simum (Burchell) in Zuzuland. The Lammergeyer, 10: 12-21",
718,Density,Damuth Ref: 681,Von La Chevallerie 1970,"Von La Chevallerie, A., 1970. Meat production from wild ungulates. Proceedings of the South African Society of Animal Products, 9: 73-87.",
719,Density,Damuth Ref: 682,Von Richter 1972,"Von Richter, W., 1972. Territorial behaviour of the black wildebeest Connochaetes gnu. Zoologica Africana 7: 207-231.",
720,Density,Damuth Ref: 683,Walker 1975,"Walker, E. P., 1975. Mammals of the World. 3rd edition, 3 Vols. Baltimore: Johns Hopkins University Press.",
721,Density,Damuth Ref: 684,Ward 1974,"Ward, F. J. & Robinson, G. G. C., 1974. A review of research on the limnology of West Blur Lake, Manitoba. Journal Of the Fisheries Research Board Of Canada, 31: 977-1005.",
722,Density,Damuth Ref: 685,Waser 1976,"Waser, P. M., 1976. Cercocebsf albigena: site attachment, avoidance and intergroup spacing. American Naturalist, 110: 911-955.",
723,Density,Damuth Ref: 686,Waser 1977,"Waser, P. M., 1977. Feeding, ranging and group size in the mangebey Cercocebus albigena. In T. H. Clutton-Brock (Ed.), Primate Ecology: Studies of Feeding and Ranging Behaviour in Lemurs, Monkeys and Apes: 183-222. London: Academic Press.",
724,Density,Damuth Ref: 687,Waser 1980,"Waser, P. M., 1980. Small nocturnal carnivores: ecological studies in the Serengeti. African Journal of Ecology, 18: 167-185.",
725,Density,Damuth Ref: 688,Waters 1966,"Waters, T. F., 1966. Production rate, population density, and drift of a stream invertebrate. Ecology, 47: 595-604.",
726,Density,Damuth Ref: 690,Waters 1973,"Waters, T. F. & Crawford, G. W., 1973. Annual production of a stream mayfly population: a comparison of methods. Limnology and Oceanography, 18: 286-296.",
727,Density,Damuth Ref: 689,Waters 1977,"Waters, T. F., 1977. Secondary production in inland waters. In A. MacFayden (Ed.), Advances in Ecological Research, 10: 91-164. London: Academic Press.",
728,Density,Damuth Ref: 693,Watson 1969,"Watson, R. M., Parker, I. S. C. & Allan, T., 1969. A census of elephant and other large mammals in the Mkomasi region of Northern Tanzania and Southern Kenya. East African Wildlife Journal, 7: 11-26.",
729,Density,Damuth Ref: 691,Watson 1973,"Watson, A. & Hewson, R., 1973. Population densities of mountain hares (Lepus timidus) on western Scottish hills. Journal of Zoology (London), 170: 151-159.",
730,Density,Damuth Ref: 692,Watson Bell 1969,"Watson, R. M. & Bell, R. H. V., 1969. The distribution, abundance, and status of elephant in the Serengeti region of northern Tanzania. Journal of Applied Ecology, 6: 115-132.",
731,Density,Damuth Ref: 694,Welch 1976,"Welch, H. E., 1976. Ecology of Chironomidae (Diptera) in a polar lake. Journal of the Fisheries Research Board of Canada, 33: 227-247.",
732,Density,Damuth Ref: 695,Wells 1978,"Wells, R. T., 1978. Field observations of the hairy-nosed wombat, Lasiorhinus latifrons (Owen). Australian Wildlife Research, 5: 294-303.",
733,Density,Damuth Ref: 697,Western 1972,"Western, D. & Sindiyo, D. M., 1972. The status of the Amboseli rhino population. East African Wildlife Journal, 10: 43-57.",
734,Density,Damuth Ref: 696,Western 1974,"Western, D., 1974. The distribution, density and biomass density of lizards in a semi-arid environment of northern Kenya. East African Wildlife Journal, 12: 49-62.",
735,Density,Damuth Ref: 698,Whateley 1978,"Whateley, A. & Brooks, P. M., 1978. Numbers and movements of spotted hyaenas in Hluhluwe Game Reserve. The Lammergeyer, 26: 44-52.",
736,Density,Damuth Ref: 699,White 1975,"White, R. G., Thomson, B. R., Skogland, T., Person, S.J., Russell, D. E., Holleman, D. F. & Luick, J. R., 1975. Ecology of caribou at Prudhoe Bay, Alaska. In J. Brown (Ed.), Ecological Investigations of the Tundra Biome in the Prudhoe Bay Region, Alaska. Biological Papers of the University of Alaska, Special Report, 2: 151-201.",
737,Density,Damuth Ref: 700,Whitfield 1977,"Whitfield, D. W. A., 1977. Energy budgets and ecological efficiencies on Truelove Lowland. In L. C. Bliss (Ed.), Truelove Lowland, Devon Island, Canada: A High Arctic Ecosystem: 607-620. Edmonton: University of Alberta Press.",
738,Density,Damuth Ref: 701,Whitford 1976,"Whitford, W. G., 1976. Temporal fluctuations in density and diversity of desert rodent populations. Journal of Mammalogy, 57: 351-367.",
739,Density,Damuth Ref: 702,Whitney 1976,"Whitney, P., 1976. Population ecology of two species of subarctic microtine rodents. Ecological Monographs, 46: 85-104.",
740,Density,Damuth Ref: 703,Williams 1973,"Williams, J. M., 1973. The ecology of Rattus exulans (Peak) reviewed. Pac$c Science, 27: 120-127. ",
741,Density,Damuth Ref: 704,Williamson 1977,"Williamson, P., Cameron, R. A. D. & Carter, M. A., 1977. Population dynamics of the land snail Cepaea nemoralis L.: A Six-Year Study. Journal Of Animal Ecology, 46: 181-194",
742,Density,Damuth Ref: 707,Wilson 1964,"Wilson, V.J. & Child, G. F. T., 1964. Notes on the bushbuck (Tragelaphus scriptus) from a tsetse fly control area in Northern Rhodesia. The Puku, 2: 118-128.",
743,Density,Damuth Ref: 706,Wilson 1965,"Wilson, V. J., 1965. Observations on the greater kudu Tragelaphus strepsiceros Pallas from a tsetse control hunting scheme in Northern Rhodesia. East African Wildlife Journal, 3: 27-37.",
744,Density,Damuth Ref: 705,Wilson 1975,"Wilson, C. C. & Wilson, W. L., 1975. The influence of selective logging on primates and some other animals In East Kalimantan. Folia Primatologica, 23: 245-274.",
745,Density,Damuth Ref: 708,Wing 1970,"Wing, L. D. & Buss, I. O., 1970. Elephants and forests. Wildlife Monographs, 19: 1-92. ",
746,Density,Damuth Ref: 709,Wirtz 1972,"Wirtz, W. O., II., 1972. Population ecology of the Polynesian rat, Rattus exulans, on Kure Atoll, Hawaii. Pacific Science, 26: 433-464.",
747,Density,Damuth Ref: 710,Wolfe 1973,"Wolfe, M. L. & Allen, D. L., 1973. Continued studies of the status, socialization, and relationships of Isle Royale Wolves, 1967-1970. Journal of Mammalogy, 54: 611-633.",
748,Density,Damuth Ref: 711,Wood 1971,"Wood, D. H., 1971. The ecology of Rattus fuscipes and Melomys cervinipes (Rodentia: Muridae) in a south-east Queensland rainforest. Australian Journal Of Zoology, 19: 371-392.",
749,Density,Damuth Ref: 713,Wood 1977,"Wood, T. J. & Munroe, S. A., 1977. Dynamics of snowshoe hare populations in the Maritime Provinces. Canadian Wildlife Service Occasional Papers, 30: 1-20.",
750,Density,Damuth Ref: 712,Wood 1980,"Wood, D. H., 1980. The demography of a rabbit population in an arid region of New South Wales, Australia. Journal Of Animal Ecology, 49: 55-78.",
751,Density,Damuth Ref: 714,Wright 1978,"Wright, P. C., 1978. Home range, activity pattern, and agonistic encounters of a group of night monkeys (Aotus Trivirgatus) in Peru. Folia Primatologica, 29: 43-55.",
752,Density,Damuth Ref: 715,Yalden 1971,"Yalden, D. W., 1971. A population of the yellow-necked mouse, Apodemus flavicollis. Journal of Zoology (London), 164: 244-250.",
753,Density,Damuth Ref: 737,Yalden 1974,"Yalden, D. W., 1974. Population density in the common shrew, Sorex araneus. Journal of Zoology (London), 173: 262-264. ",
754,Density,Damuth Ref: 716,Yerger 1953,"Yerger, R. W., 1953. Home range, territoriality, and populations of the chipmunk in central New York. Journal of Mammalogy, 34: 448-458.",
755,Density,Damuth Ref: 717,Yong Hoi Sen. 1969,"Yong Hoi Sen., 1969. Rats from Kedah Peak (Gunong Jerai), Kedah. Malayan .Nature Journal, 22: 53-56.",
756,Density,Damuth Ref: 718,Young 1982,"Young, B. F. & Ruff, R. L., 1982. Population dynamics and movements of black bears in east central Alberta. Journal of Wildlife Management, 46: 845-860.",
757,Density,Damuth Ref: 719,Youngman 1956,"Youngman, P. M., 1956. A population of the striped field mouse, Apodemus agrarius coreae, in central Korea. Journal of Mammalogy, 37: 1-10.",
