Unique_ID,Worksheet,Notes,Reference_code,Reference,
38,Density,Damuth Ref: 16,Andrzewski 1963,"Andrzewski, R., 1963. Processes of incoming, settlement, and disappearance of individuals and variations in the numbers of small rodents. Ada Theriologica, 7: 170-213.",
39,Density,Damuth Ref: 17,Ansell 1964,"Ansell, W. F. H., 1964. Addenda and corrigenda to ""Mammals of Northern Rhodesia"". The Puku, 2: 14-52,",
40,Density,Damuth Ref: 18,Ansell 1973,"Ansell, W. F. H., 1973a. Addenda and corrigenda to ""Mammals of Northern Rhodesia"". No. 4. The Puku, 7: 1-20.",
41,Density,Damuth Ref: 19,Ansell 1973,"Ansell, W. F. H., 1973b. A further Oenomys hypoxanthus from Tanzania. The Puku, 7: 192.",
42,Density,Damuth Ref: 20,Ansell 1973,"Ansell, W. F. H. & Ansell, P. D. H., 1973. Mammals of the north-eastern montane areas of Zambia. The Puku, 7: 21-69.",
43,Density,Damuth Ref: 21,Armitage 1962,"Armitage, K. B., 1962. Social behaviour of a colony of the yellow-bellied marmot (Marmota flaviventris). Animal Behaviour, 10: 319-331.",
44,Density,Damuth Ref: 22,Aulak 1967,"Aulak, W., 1967. Estimation of small-mammal density in three forest biotopes. Ekologia Polska, 15: 755-778.",
45,Density,Damuth Ref: 23,Aulak 1973,"Aulak, W., 1973. Production and energy requirements in a population of the Bank Vole, in a deciduous forest of Circeo-alnetum type. Acta Theriologica, 18: 167-190.",
46,Density,Damuth Ref: 24,Babitskiy 1970,"Babitskiy, V. A., 1970. Biology and production of Eurycercus lamellatus (O. F. M.) along the shores of Lake Narach. Hydrobiological Journal, 6: 26-32.",
47,Density,Damuth Ref: 25,Baker 1969,"Baker, R. H., 1969. Cotton rats of the Sigmodon fulviventer group. University of Kansas Museum of Natural History, Miscellaneous Publications, 51: 177-232.",
48,Density,Damuth Ref: 26,Baldwin 1972,"Baldwin, J. D. & Baldwin, J., 1972. The ecology and behavior of squirrel monkeys (Saimiri oerstedi) in a natural forest in Western Panama. Folia Primatologica, 18: 161-184.",
49,Density,Damuth Ref: 27,Banfield 1958,"Banfield, A. W. F. & Tener, J. S., 1958. A preliminary study of the Ungara caribou. Journal of Mammalogy, 39: 560-573.",
50,Density,Damuth Ref: 28,Bannikov 1961,"Bannikov, A.-G., 1961. L'ecologie de Saiga tatarica L. en Eurasie, sa distribution et son exploitation rationnelle. La Terre et La Vie, 15: 77-85.",
51,Density,Damuth Ref: 29,Barbault 1976,"Barbault, R., 1976. Population dynamics and reproductive patterns of three African skinks. Copeia, 76: 483-490.",
52,Density,Damuth Ref: 30,Barbault 1983,"Barbault, R., 1983. Reptiles in savanna ecosystems. In F. Bourliere (Ed.), Ecosystems of the World. Vol. 13. Tropical Savannas. (Series editor D. W. Goodall): 325-336. Amsterdam: Elsevier.",
53,Density,Damuth Ref: 31,Barbour 1982,"Barbour, D. B. & Humphrey, S. R., 1982. Status and habitat of the Key Largo woodrat and cotton mouse (Neotoma fioridana smalli and Peromyscus gossypinus allapaticola). Journal of Mammalogy, 63: 144-148.",
54,Density,Damuth Ref: 32,Barkalow 1970,"Barkalow, F. S., Jr., Hamilton, R. B. & Souts, R. F., Jr., 1970. The vital statistics of an unexploited gray squirrel population. Journal of Wildlife Management, 34: 489-500.",
