source_dataset,source_url,source_record_id,species,genus,family,trait_group,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,project_pi,access,retrieved_utc
BIEN,http://www.kew.org/data/sid ,3188119,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.01,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3193825,Opuntia humifusa,Opuntia,Cactaceae,body_size,seed mass,29.4,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3246357,Cylindropuntia bigelovii,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3240680,Echinocactus horizonthalonius,Echinocactus,Cactaceae,body_size,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3237411,Browningia candelaris,Browningia,Cactaceae,body_size,leaf phosphorus content per leaf dry mass,2.05258,mg.g-1,,-22.60444,-77.05083,2250,Cyrille Violle/Brian Enquist ,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3240690,Echinocactus polycephalus,Echinocactus,Cactaceae,body_size,seed mass,7.273,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3242408,Opuntia littoralis,Opuntia,Cactaceae,body_size,seed mass,7.294,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3248968,Opuntia sulphurea,Opuntia,Cactaceae,body_size,maximum whole plant height,0.428333333,m,,,,,Angela Moles,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3248969,Opuntia aurantiaca,Opuntia,Cactaceae,body_size,maximum whole plant height,0.5,m,,,,,Angela Moles,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3248970,Opuntia ficus-indica,Opuntia,Cactaceae,body_size,maximum whole plant height,4,m,,,,,Angela Moles,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3250920,Sclerocactus parviflorus,Sclerocactus,Cactaceae,flower_color,flower color,Purple,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://datadryad.org/resource/doi:10.5061/dryad.m88g7,3453843,Opuntia fragilis,Opuntia,Cactaceae,body_size,seed mass,22.36643,mg,"These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",,,,Marx HE,public,2026-03-28 22:54:12 UTC
