code;tree;sample;species;organ;VC_length;WD;D;Dh;VD;F;S;Kp;Ks_max;Ks_min;P12;P50;P88
B_Li_4_2;Li_4;2;Tilia cordata;branch;30;0.392;27.94;33.80;433.29;0.27;1.41E-06;8.71;0.83;2.18;-2.75;-3.58;-4.41
B_Li_4_3;Li_4;3;Tilia cordata;branch;30;0.394;28.75;34.06;535.41;0.35;1.21E-06;11.71;0.74;1.47;-0.59;-2.67;-4.76
B_Li_4_4;Li_4;4;Tilia cordata;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.39;2.99;n/a;n/a;n/a
B_Li_4_5;Li_4;5;Tilia cordata;branch;30;0.428;26.15;31.40;474.59;0.25;1.13E-06;7.22;1.11;1.69;-2.32;-3.20;-4.09
B_Li_5_1;Li_5;1;Tilia cordata;branch;30;0.356;27.49;32.75;429.10;0.25;1.38E-06;7.90;0.63;1.55;-2.30;-3.01;-3.71
B_Li_5_2;Li_5;2;Tilia cordata;branch;30;0.338;28.05;33.68;344.68;0.21;1.79E-06;6.93;0.76;0.83;-1.79;-2.39;-3.00
B_Li_5_3;Li_5;3;Tilia cordata;branch;30;0.379;28.58;34.24;527.28;0.34;1.22E-06;11.45;0.69;1.37;-2.08;-2.89;-3.70
B_Li_5_4;Li_5;4;Tilia cordata;branch;30;0.339;26.36;30.18;403.29;0.22;1.35E-06;5.84;0.65;0.87;n/a;n/a;n/a
R_C1_Li_1_1;Li_1;1;Tilia cordata;root;100;0.236;67.67;91.13;67.70;0.31;6.76E-05;56.92;n/a;n/a;-1.26;-2.13;-3.00
R_X_Li_1_3;Li_1;3;Tilia cordata;root;n/a;n/a;72.56;102.10;66.87;0.35;7.87E-05;81.93;13.33;13.24;n/a;n/a;n/a
R_X_Li_1_4;Li_1;4;Tilia cordata;root;n/a;n/a;74.22;112.18;61.12;0.34;9.01E-05;92.00;17.31;9.72;n/a;n/a;n/a
R_X_Li_1_9;Li_1;9;Tilia cordata;root;n/a;n/a;47.63;65.23;77.11;0.18;2.94E-05;15.20;0.46;0.27;n/a;n/a;n/a
R_C1_Li_3_1;Li_3;1;Tilia cordata;root;100;0.332;57.53;79.40;75.73;0.25;4.37E-05;35.00;n/a;n/a;-2.46;-2.81;-3.17
R_C1_Li_3_2;Li_3;2;Tilia cordata;root;100;0.302;63.09;87.54;68.66;0.27;5.80E-05;45.18;n/a;n/a;-2.35;-2.68;-3.02
R_C_Li_3_3;Li_3;3;Tilia cordata;root;n/a;0.318;58.32;86.32;70.40;0.24;4.83E-05;38.78;n/a;n/a;n/a;n/a;n/a
R_X_Li_3_5;Li_3;5;Tilia cordata;root;n/a;n/a;84.79;115.30;55.94;0.40;1.29E-04;124.51;5.45;3.80;n/a;n/a;n/a
R_X_Li_3_9;Li_3;9;Tilia cordata;root;n/a;n/a;52.98;76.46;78.47;0.22;3.58E-05;28.19;2.80;2.05;n/a;n/a;n/a
R_X_Li_3_10;Li_3;10;Tilia cordata;root;n/a;n/a;52.55;75.37;90.67;0.25;3.05E-05;31.27;1.53;1.37;n/a;n/a;n/a
R_C1_Li_4_1;Li_4;1;Tilia cordata;root;n/a;0.294;68.75;93.32;75.27;0.36;6.28E-05;69.13;n/a;n/a;n/a;n/a;n/a
R_C1_Li_4_2;Li_4;2;Tilia cordata;root;100;0.236;83.70;116.47;65.13;0.46;1.08E-04;140.43;n/a;n/a;-1.82;-2.21;-2.60
R_C1_Li_4_3;Li_4;3;Tilia cordata;root;100;0.298;68.79;94.39;60.98;0.29;7.76E-05;55.56;n/a;n/a;-2.47;-2.83;-3.20
R_X_Li_4_4;Li_4;4;Tilia cordata;root;n/a;n/a;64.31;88.32;70.83;0.29;5.84E-05;51.82;6.56;5.41;n/a;n/a;n/a
R_X_Li_5_2;Li_5;2;Tilia cordata;root;n/a;n/a;60.57;87.02;69.86;0.26;5.25E-05;42.14;17.87;6.12;n/a;n/a;n/a
R_X_Li_5_3;Li_5;3;Tilia cordata;root;n/a;n/a;55.59;79.72;80.54;0.25;3.84E-05;33.91;8.97;2.47;n/a;n/a;n/a
S_Li_1;Li_1;1;Tilia cordata;stem;n/a;0.389;54.22;64.27;72.81;0.21;4.04E-05;20.74;n/a;n/a;n/a;n/a;n/a
S_Li_2;Li_2;1;Tilia cordata;stem;n/a;0.487;47.38;54.74;74.34;0.17;3.02E-05;11.65;n/a;n/a;n/a;n/a;n/a
S_Li_3;Li_3;1;Tilia cordata;stem;n/a;0.481;45.91;53.80;93.78;0.20;2.25E-05;13.29;n/a;n/a;n/a;n/a;n/a
S_Li_4;Li_4;1;Tilia cordata;stem;n/a;0.508;47.05;57.36;91.84;0.20;2.41E-05;15.26;n/a;n/a;n/a;n/a;n/a
S_Li_5;Li_5;1;Tilia cordata;stem;n/a;0.455;46.84;55.39;91.46;0.20;2.40E-05;14.26;n/a;n/a;n/a;n/a;n/a
S_Li_6;Li_6;1;Tilia cordata;stem;n/a;0.428;46.61;53.72;119.09;0.26;1.82E-05;17.49;n/a;n/a;n/a;n/a;n/a
