site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
FJ001,10.832695,0.523170541,0.979475,19.99694167,62.45231247,0.89556581,NA,Shrub community
FJ002,13.57104496,1.167141285,0.81785,20.340625,33.96078873,0.53731579,NA,Shrub community
FJ003,12.71045685,0.656412167,0.744425,21.18455,29.83374786,0.33618342,NA,Shrub community
FJ004,12.6302248,0.454208508,0.851075,20.27635,57.50024796,0.85759293,NA,Shrub community
FJ005,11.02930371,0.370297512,0.861325,20.279425,51.1479187,2.0957486,NA,Shrub community
FJ006,12.57204408,0.6739649,0.898125,20.43161667,49.91788483,0.72358159,NA,Shrub community
FJ007,11.93752742,0.628629213,0.96995,19.43371667,57.95052338,1.42097567,NA,Shrub community
FJ008,11.93515662,0.561005883,0.94975,19.02936667,61.37355042,0.35115617,NA,Shrub community
FJ009,9.783494899,0.550572278,0.89535,19.490875,56.20057678,0.3740017,NA,Shrub community
FJ010,7.933835785,0.407991164,0.686,20.13071667,54.0320816,0.34740544,NA,Shrub community
FJ011,9.327427261,0.521368235,1.189025,19.91295833,60.51385117,0.50330159,NA,Shrub community
FJ012,14.66763296,0.565319456,1.105575,19.07575833,74.1439209,0.48588646,NA,Shrub community
FJ013,9.927499868,0.388216361,0.593525,19.6948,60.62935257,0.72369442,NA,Shrub community
FJ014,9.610685388,0.446070232,0.7897,19.42111083,66.71508026,0.2653092,NA,Shrub community
FJ015,12.85402855,0.80146161,0.6141,16.66535333,88.6922226,0.96916509,NA,Shrub community
FJ016,12.72030515,0.815961032,0.844625,15.7203925,103.4581528,1.02476455,NA,Shrub community
FJ017,11.74125487,0.784216385,0.6049,17.08880167,83.68274689,1.15381721,NA,Shrub community
FJ018,11.82506069,0.81990417,0.495525,16.94086833,109.0369415,0.87915993,NA,Shrub community
FJ019,10.49548583,0.461680495,0.443,18.14905,85.61225891,0.27886953,NA,Shrub community
FJ020,14.07795785,0.871921951,0.560775,18.07386417,85.76004791,0.86238707,NA,Shrub community
FJ021,14.22348427,0.707176259,0.63905,17.23235,99.50385284,0.48617113,NA,Shrub community
GD001,9.592806264,0.517327881,0.594725,17.48272333,87.72214508,1.10705401,0.13548489,Shrub community
GD002,12.67359181,0.749607711,0.8082,18.15090917,77.6191864,1.77533208,0.22583549,Shrub community
GD003,12.84423196,0.720432728,0.825225,17.86523083,94.31011963,7.4656041,1.04168544,Shrub community
GDDG001,7.692295031,0.403026358,0.4587,21.781325,71.31399536,0.96352796,0.17708795,Shrub community
GDDG002,11.80622038,0.556745614,0.723125,21.66488333,73.19950867,NA,NA,Shrub community
GDGY001,10.09364016,0.586264209,0.494175,22.0696,48.34086227,NA,NA,Shrub community
GDGY002,8.149292675,0.424552524,0.865775,21.78796667,53.9233284,1.32903569,0.23584654,Shrub community
GDGY003,11.14496922,0.589519695,0.481625,22.05134167,48.51974487,NA,NA,Shrub community
GDHJ001,8.604659743,0.406863488,0.55325,20.71135833,52.74343491,0.90892881,0.12045776,Shrub community
GDHY001,7.442324076,0.50314145,0.817,20.23495,86.49169159,0.78664247,0.18992476,Shrub community
GDHY002,12.08019138,0.600662518,0.842725,20.17003333,88.47412109,0.83349174,0.21373312,Shrub community
GDHY003,6.170903893,0.416896873,0.825325,20.95026667,72.96865845,0.77579214,0.19743725,Shrub community
GDHZ001,6.820290619,0.389396473,1.09165,20.63956667,82.89649963,0.85974391,0.18781661,Shrub community
GDHZ002,8.31775874,0.47500179,0.782825,21.61703333,63.31871414,0.80509474,0.19042645,Shrub community
GDHZ003,7.274054125,0.416032996,0.8105,21.75464167,60.37062836,1.03823992,0.21135513,Shrub community
