site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
SC039,25.43242693,1.581668882,0.2461,0.96729,61.32705688,6.2708001,0.85314111,Shrub community
SC040,20.35994768,1.380931463,0.24645,0.778243917,87.31128693,1.3991123,0.46522677,Shrub community
SC041,19.42720294,1.599732269,0.156725,-0.33040675,84.11909485,4.77421298,1.14392605,Shrub community
SC042,28.72971694,1.779772128,0.172525,-0.585657333,85.79653168,8.65527858,1.20643799,Shrub community
SC043,10.05348916,1.101811697,0.254425,0.96729,61.3252182,5.48225268,1.14586585,Shrub community
SC044,20.80632448,1.786655867,0.12405,-0.673490083,94.28967285,5.89067118,1.35557983,Shrub community
SC045,28.3877492,2.732290272,0.287275,2.251821,69.88275909,2.70146071,0.85168967,Shrub community
SC046,32.22761173,1.615948415,0.435375,12.86213667,39.02928925,3.53465598,0.86974967,Shrub community
SC047,20.96919349,1.14300584,0.34705,10.5772505,27.76638985,2.06019492,0.93960056,Shrub community
SC048,13.75853578,1.351285413,0.3817,4.054419667,96.98812103,1.56349446,0.43782848,Shrub community
SC049,16.21738474,1.388845292,0.365525,2.42345625,121.6550598,5.33611726,1.37639105,Shrub community
SC050,16.52836601,3.363240773,0.336475,5.212877333,33.93861008,6.17699541,1.97272371,Shrub community
SC051,29.81526693,2.438767609,0.243975,7.347608167,15.03618622,0.89306798,0.72417177,Shrub community
SC052,15.19821485,1.2093285,0.365525,2.42345625,121.6563721,3.53461506,0.8595227,Shrub community
SC053,13.597097,1.494679863,0.35895,2.42345625,119.4266586,4.58521296,1.44496601,Shrub community
SC054,16.62177425,1.32680636,0.1667,-0.508194083,254.2920074,3.70176488,0.85270014,Shrub community
SC055,15.26765068,1.094069938,0.28895,1.2881125,159.8609009,5.04276473,0.95293747,Shrub community
SC057,11.86717219,1.058319329,0.587325,5.506815,139.8467712,2.13198497,0.63479609,Shrub community
SC058,16.80712715,1.549836879,0.631975,7.01174925,101.863533,4.68601338,1.48390491,Shrub community
SC059,15.00260393,1.639347057,0.555775,6.023319167,139.7936096,6.36274637,1.78056512,Shrub community
SC060,21.02897247,2.094538074,0.553925,5.492283333,156.9477692,3.52807804,1.53052739,Shrub community
SC061,15.48226515,0.904647993,0.557875,8.78487725,84.7950058,1.01114351,0.54185115,Shrub community
SC062,24.39617395,2.736732206,0.60805,17.3826425,10.77812767,1.56109478,0.58406462,Shrub community
SC063,22.62829224,1.440949747,0.8555,9.259775833,83.31807709,1.6942119,0.50350466,Shrub community
SC064,13.68604152,1.480510345,0.56025,8.5467125,78.83483887,2.5500283,1.97012516,Shrub community
SC065,19.63270071,1.979619002,0.69475,15.27704917,8.110042572,2.96057804,0.93163751,Shrub community
SC066,12.50577529,1.111731587,0.535375,10.74683333,40.30116272,1.93074302,0.77087524,Shrub community
SC067,13.78156702,1.164201987,0.56655,11.8399275,31.37368393,2.53960818,0.989221,Shrub community
SC068,13.18540957,1.132959345,0.5486,8.909633333,93.68743896,2.09556037,0.76060755,Shrub community
SC069,36.38448477,2.368142055,0.859425,17.3218375,8.933228493,1.2222946,0.69135825,Shrub community
SC070,9.736364484,3.397914199,0.4957,19.374525,-8.949902534,1.2125418,1.562757,Shrub community
SC071,16.48387191,1.791727714,0.556175,19.8783,-13.71779251,2.85529745,0.80009902,Shrub community
SC074,17.00551742,0.796224986,0.657225,14.10440167,3.926436663,0.62788327,0.38122093,Shrub community
SC075,17.14517765,1.074246348,0.657225,14.10440167,3.926740885,0.64122414,1.02295024,Shrub community
SC076,15.45281255,0.743674295,0.657225,14.10440167,3.927511215,1.20481692,0.48,Shrub community
SC077,13.27243273,1.378192776,0.6887,15.4914475,2.206735134,0.96295527,0.43967029,Shrub community
SC078,14.89344511,0.738749434,0.566025,16.03025667,10.21287918,1.5527541,0.4869478,Shrub community
SC079,19.67490352,1.031574254,0.567375,12.61186833,40.99720383,1.35375509,0.34019963,Shrub community
SC080,14.29685405,0.698379818,0.642325,13.76680083,29.41706467,1.37982279,0.73723839,Shrub community
SC082,18.92146083,1.170896859,0.562725,14.319135,41.32964706,1.10034267,0.22634153,Shrub community
SC083,10.68465957,0.915453633,0.39735,14.315605,46.36662292,0.98298626,0.18082104,Shrub community
SC084,38.40474088,2.105083251,0.522125,10.32489258,117.4282227,0.71416351,0.13309692,Shrub community
SC085,16.52374043,0.897083971,0.42505,14.73313417,55.6804924,1.05358376,0.25292914,Shrub community
SC086,6.695182361,0.361940036,0.30985,14.33272167,59.99783707,1.03085325,0.23434793,Shrub community
SC087,8.58154877,1.011391295,0.4628,15.4940875,46.97006607,0.76086312,0.27592929,Shrub community
SC088,4.13963497,0.451501978,0.435925,15.86235583,42.7750206,0.6918328,0.41672455,Shrub community
SC089,20.35198987,1.104058293,0.374475,4.5155395,74.10477448,1.48848621,0.36623135,Shrub community
SC090,18.31853005,1.113086438,0.616975,6.832948333,120.1655731,2.13615587,0.8751189,Shrub community
SC091,21.01089423,1.883286971,0.254325,-0.833137083,274.3721313,2.16954788,0.91293646,Shrub community
SC092,27.73949165,2.69510139,0.340975,1.747479417,134.3775787,4.59242312,1.463135,Shrub community
SC093,12.24217892,1.304511278,0.345875,1.611051667,136.2576447,2.68147576,0.92805144,Shrub community
SC094,12.84611225,1.286173633,0.345875,1.611051667,136.2574463,2.80892435,0.96979917,Shrub community
SC095,20.58372164,2.021582904,0.427375,2.015404167,165.8164215,4.80275523,1.40565948,Shrub community
SC096,26.98081218,2.127306101,0.34955,2.638668767,130.7787933,3.51852214,1.43783705,Shrub community
SC097,19.75812256,2.29498762,0.3622,1.198460833,87.43955231,3.78368792,1.28832853,Shrub community
SC098,34.51622725,2.696035242,0.37165,1.97753925,82.96642303,3.23862064,1.04666383,Shrub community
SC099,24.86173872,2.256431127,0.334425,0.215152167,92.74383545,3.45647997,1.15556836,Shrub community
SC100,14.49042699,1.281197604,0.302125,1.439675833,72.71482086,3.00766023,0.92521001,Shrub community
SC101,20.4600226,1.86106506,0.284775,0.673279083,133.2298431,1.28008064,0.67643196,Shrub community
SC102,17.48484373,1.319702602,0.4123,0.225857417,111.4911118,1.10645709,0.64965375,Shrub community
SC103,24.55220699,2.007692308,0.341475,1.772548667,91.53540802,1.27209477,0.86387857,Shrub community
SC104,24.8630787,1.568539723,0.658725,7.722218333,39.79995346,1.24739667,0.77505295,Shrub community
SC105,23.35174946,2.093486628,0.188425,-2.600410167,397.8023987,6.19142381,1.31465799,Shrub community
SC106,17.591598,1.362222842,0.392325,0.641481667,255.3776855,3.3732534,0.86180422,Shrub community
SC109,16.6304601,0.89993162,0.6536,11.44282167,90.47981262,1.46275914,0.49174013,Shrub community
SC110,20.64871213,1.194176731,0.4506,9.977199917,60.63021851,1.33025257,0.48162305,Shrub community
SC111,18.6456914,1.831978519,0.4125,9.500559667,33.47789764,0.68449172,0.97645734,Shrub community
SC113,17.62248358,1.169464005,0.624225,9.125839808,32.22743988,2.25144096,0.56448207,Shrub community
SC114,13.36577829,0.880827405,NA,NA,NA,2.0237939,0.73873957,Shrub community
SC117,22.36215085,2.08155964,0.2462,-0.650032,239.6921692,2.73226442,1.25238939,Shrub community
SC120,20.74579477,1.859848485,0.2314,-0.831789417,245.7164917,3.48859839,1.20246367,Shrub community
SC121,19.81704831,1.835249042,0.311975,1.5419025,73.37548065,3.53803315,1.19394658,Shrub community
SC122,24.74907875,1.219008264,0.375825,2.15091,86.30709076,2.88992525,1.20052907,Shrub community
SC123,20.69247246,1.492366412,0.311975,1.5419025,73.37548065,3.19781291,0.58806672,Shrub community
SC124,21.57765441,1.537948114,0.3793,4.15510325,62.87441635,3.35909585,1.09521684,Shrub community
SC125,14.89556286,1.312488827,0.3988,5.07618225,47.61752319,2.53032072,1.01860814,Shrub community
SC126,10.76024175,0.956451613,0.3793,4.15510325,62.87485123,6.5084823,0.71652341,Shrub community
SC127,11.37039608,0.836432902,0.596725,14.42826667,9.507900238,2.38214002,1.1317093,Shrub community
SC128,15.4211114,1.153730937,0.613725,14.63994167,5.096932411,0.83900577,1.02399819,Shrub community
SC129,17.21465688,1.20768092,0.504125,15.77733,0.777569115,1.44712357,0.66039001,Shrub community
SC130,11.83709627,0.932781026,0.4143,15.50456917,12.14757729,1.13902648,0.40366736,Shrub community
SD001,22.30583827,1.243476568,NA,12.54768108,-27.65615845,0.32334042,0.58590367,Shrub community
SD002,23.95468156,1.316201259,0.2336,12.59211617,-28.94670677,0.66480902,0.61900055,Shrub community
SD003,24.95975971,1.432590206,0.284825,12.6106175,-29.13997459,0.49974346,0.56793508,Shrub community
SD004,25.98283609,1.695912907,0.374375,12.58636242,-28.20911789,0.53510499,0.60029112,Shrub community
SD005,17.86797881,1.18001551,0.3788,12.57752392,-28.65257454,0.49550041,0.57029271,Shrub community
SD006,22.15400378,1.015551755,0.158125,12.96666674,-27.05887413,0.4251167,0.60623685,Shrub community
SX001,17.76970477,1.488781737,0.31675,4.913325833,-16.01862144,2.11291223,0.52725022,Shrub community
SX002,17.44639662,0.80903529,0.265475,4.527288333,-12.707798,1.52229894,0.47838851,Shrub community
SX003,26.84772889,1.274401315,0.287575,3.859824167,-9.539032936,0.36533367,0.5931619,Shrub community
SX004,28.84666667,1.407333333,0.277025,5.174144167,-22.44435692,0.53788267,0.54007106,Shrub community
SX005,18.23,1.293,0.3297,6.850690583,-26.08054924,2.71,0.603,Shrub community
SX006,14.40034141,0.988881207,0.304575,7.44022625,-20.47510529,0.4381466,0.51600645,Shrub community
SX007,16.34673872,1.124971605,0.316325,4.637124167,-11.91415501,1.43707325,0.56315402,Shrub community
SX008,13.60666667,1.086666667,0.377975,5.373526667,-13.75977707,1.20465497,0.6325019,Shrub community
SX009,34.35,2.124,0.38775,3.347515,0,0.69206596,0.68527422,Shrub community
SX010,12.54081794,0.774583492,0.394375,4.682931667,-9.948301315,1.78126521,0.57864575,Shrub community
SX011,12.77685361,1.275202316,0.319425,2.882919167,11.61171341,1.09210844,0.52212137,Shrub community
SX012,20.12333333,1.654666667,0.27485,4.191684167,-1.306784034,0.70708222,0.62202899,Shrub community
SX013,14.10390497,0.99458068,0.340675,2.840773333,22.2501297,0.8259565,0.6365922,Shrub community
SX014,33.6,2.126666667,0.2782,3.438723333,0,0.45076074,0.64270881,Shrub community
SX015,13.69666667,1.073,0.43105,-0.4330355,63.19898987,1.07768691,0.39612998,Shrub community
SX016,20.30657146,1.240507835,0.355725,6.504874833,-11.57827091,0.94650918,0.49607114,Shrub community
SX017,14.88547286,0.833588792,0.340025,3.121051667,0,0.8398342,0.6367664,Shrub community
SX018,16.5845418,1.358955886,0.319825,7.185351333,-11.53882408,0.82428378,0.4988809,Shrub community
SX019,14.47912588,1.15061033,0.327725,11.34848833,-34.84667587,0.64117114,0.79629072,Shrub community
SX020,16.05159442,0.982499149,0.236575,10.14706,-37.87515259,0.8648613,0.68846915,Shrub community
SX021,16.78793907,0.944640693,0.2195,9.2350375,-36.59578323,1.2962203,0.58510436,Shrub community
SX022,37.31392304,1.782018033,0.45325,5.251358,-6.260205746,0.59028401,0.66299078,Shrub community
SX023,13.94856731,1.331550689,0.46825,5.472833917,-11.15158749,1.02490043,0.65621046,Shrub community
SX024,29.95740175,1.817600195,0.336025,6.133607358,-14.58437538,0.7734096,0.66415858,Shrub community
SX025,9.0565147,0.535197564,0.3362,7.94559275,-26.83375168,0.58996899,0.47129068,Shrub community
SX026,15.50931414,1.168555548,0.274275,8.6090525,-30.37355423,0.94103006,0.555025,Shrub community
SX027,17.27671345,0.74251754,0.304325,7.194545083,-19.4103508,2.33092662,0.59019484,Shrub community
SX028,18.75552495,1.699171704,0.345825,8.624925,-29.99065971,1.19048142,0.53531818,Shrub community
SX029,11.64994058,0.700313719,0.44115,6.778889417,-16.37805176,1.1298997,0.43155904,Shrub community
SZS,15.89998163,1.136332436,0.82825,15.32301167,94.36906433,0.90374664,0.16720069,Shrub community
THS,10.93698663,0.756600641,0.86125,16.12500004,50.69874573,0.91640196,0.39242634,Shrub community
TTSI,1.857213959,0.094838277,0.8286,15.4014775,81.08184052,3.51695895,0.29092863,Shrub community
TTSII,13.9354809,0.668943403,0.7082,15.4014775,79.26609802,2.05307136,0.25101963,Shrub community
TTSIII,14.21243426,0.700331144,0.5506,16.34733167,66.78932953,1.75724079,0.2392355,Shrub community
TTSIV,13.60504366,0.651013396,0.7082,15.4014775,81.08248901,1.66874092,0.240232,Shrub community
TTSV,13.63677101,0.671332965,0.7082,16.15417167,72.53379822,1.60846477,0.21758891,Shrub community
XJ001,24.52390194,0.841410559,0.07525,7.224936583,-78.59664154,0.48910867,0.74988079,Shrub community
XJ002,25.37737846,0.847324011,0.073225,7.26055125,-78.67929077,0.58945997,0.86761795,Shrub community
XJ003,21.22836739,1.067464181,0.07,7.303019083,-78.75662994,0.36876648,0.45686871,Shrub community
XJ004,15.4529584,0.903648082,0.093375,6.8012025,-77.98709106,0.96351179,0.90482118,Shrub community
XJ005,20.43037176,0.755503331,NA,8.429117417,-84.12129211,0.35967272,0.65610812,Shrub community
XJ006,21.17482222,0.986529385,NA,8.800525525,-85.2831955,0.26430536,0.70310684,Shrub community
XJ007,21.53079267,0.932272546,NA,8.1590775,-84.9289093,0.2624722,0.43700068,Shrub community
XJ008,22.8048279,1.018499257,NA,7.608060833,-84.36546326,0.17007934,0.4452109,Shrub community
XJ009,19.99249816,0.805345442,NA,7.560620833,-84.81182861,0.15861431,0.51268775,Shrub community
XJ010,10.4172529,0.446967297,NA,6.547130833,-84.18444061,0.16445599,0.51461111,Shrub community
XJ013,1.657272192,0.061498742,NA,5.10316,-80.41523743,0.18689381,0.50573863,Shrub community
XJ014,24.53150342,1.016328778,NA,15.23601292,-99.19812012,0.61106015,0.64004579,Shrub community
XJ015,13.30921702,0.987307072,NA,15.23130517,-99.22116852,0.80804394,0.73998631,Shrub community
XJ016,17.48560116,1.002485586,NA,15.24846613,-99.26074219,1.43750194,0.83127109,Shrub community
XJ017,13.4973673,1.02809327,NA,15.2405655,-99.22118378,0.72698834,0.70500892,Shrub community
XJ018,13.4973673,1.02809327,NA,15.22769717,-99.1993866,0.56460076,0.61214043,Shrub community
XJ020,7.403034369,0.481337808,0.021775,11.699725,-92.45046997,1.25869518,0.64904145,Shrub community
XJ022,10.52567939,0.561989316,0.008266667,11.69217583,-92.37586975,0.79750818,0.52607797,Shrub community
XJ023,12.1251901,0.625734242,NA,11.65332167,-92.65292358,0.67737276,0.55214765,Shrub community
XJ024,20.48761189,0.858100166,NA,10.99953167,-94.32154083,0.73625983,0.62203983,Shrub community
XJ025,29.08125793,1.312952812,NA,10.95288317,-94.62321472,0.86930829,0.6333631,Shrub community
XJ026,8.234395719,0.540378295,NA,10.89121792,-94.87155151,0.63342887,0.63124817,Shrub community
XJ027,19.07549063,0.809537124,NA,10.88953042,-94.87004852,0.74708077,0.6534211,Shrub community
XJ028,7.724753452,0.361721811,NA,11.20249417,-95.43758392,0.52616231,0.62963783,Shrub community
XJ029,13.55102181,0.71102779,NA,11.35324833,-95.60873413,0.47009853,0.54851468,Shrub community
XJ030,6.38570402,0.432515868,NA,11.28808333,-95.54413605,0.77745144,0.63757714,Shrub community
XJ031,17.8952531,0.944893943,NA,12.10141333,-97.0916214,0.31827458,0.40160093,Shrub community
XJ032,9.099481503,1.111292597,NA,12.07742667,-97.01041412,0.51539494,0.58474611,Shrub community
XJ034,5.554239353,0.781306279,NA,11.12823833,-97.11765289,0.3462597,0.57349791,Shrub community
XJ035,7.094117602,0.526093861,NA,10.67166667,-96.88187408,0.48146694,0.64514426,Shrub community
XJ036,15.38031618,0.65656831,NA,11.01142667,-96.56774139,0.24579036,0.47354486,Shrub community
XJ037,13.22131554,0.501483509,NA,11.44922108,-96.21391296,0.37790663,0.60470843,Shrub community
XJ038,9.859998326,0.400554823,NA,11.41569758,-96.17443085,0.42610149,0.64039091,Shrub community
XJ039,16.77596052,1.01659848,0.0558,11.42085375,-96.15229034,0.35015638,0.62924636,Shrub community
XJ040,15.30980737,0.895046842,NA,11.52294125,-96.23583984,0.35749448,0.56428413,Shrub community
XJ041,5.561378201,0.258830101,NA,11.22424167,-96.37547302,0.28408509,0.59593455,Shrub community
XJ042,4.591434911,0.211691247,0.016325,11.43196083,-91.95806122,0.70089647,0.68378591,Shrub community
XJ043,6.437339616,0.301495911,0.01965,11.42998667,-91.93881226,0.82132398,0.6848388,Shrub community
XJ044,16.17370685,0.846613686,NA,11.34976667,-91.69356537,0.33862602,0.58199781,Shrub community
XJ045,21.97777985,1.376376443,NA,11.3041225,-91.65055847,0.68089704,0.6499229,Shrub community
XJ046,9.040723077,0.474824973,0.078125,10.03123833,-86.15648651,0.64345711,0.50926731,Shrub community
XJ047,7.254176736,0.67064862,NA,10.9036425,-89.48470306,0.20019142,0.46519287,Shrub community
XJ048,22.35233943,1.030922282,NA,8.654400833,-90.58614349,0.1717805,0.52252931,Shrub community
XJ049,24.23051516,0.795166296,NA,8.687433333,-90.78100586,0.287236813,0.494514207,Shrub community
XJ050,5.925039453,0.547769882,NA,10.2295075,-87.78968811,0.17472362,0.38583677,Shrub community
XJ051,24.53150342,1.016328778,NA,8.948246833,-85.36127472,0.2644592,0.38385995,Shrub community
XJ052,17.48560116,1.002485586,0.04205,11.43851,-90.6489563,0.64523326,0.6342397,Shrub community
XJ054,17.48560116,1.002485586,NA,11.44149083,-93.71417236,0.43940103,0.62030961,Shrub community
XJ056,15.4529584,0.903648082,NA,11.80967667,-90.00617981,0.70138128,0.47782659,Shrub community
XJ057,27.00707413,1.206963528,NA,6.986782688,-75.44381714,0.52568939,0.56553957,Shrub community
XJ058,15.3547268,0.665523763,NA,11.31571,-88.4972229,0.23013255,0.37699548,Shrub community
XJ059,13.4973673,1.02809327,NA,12.05102958,-91.92301178,0.23696156,0.32458476,Shrub community
XJ060,17.99042257,0.81222676,NA,11.27957383,-91.80810547,0.25611334,0.2917972,Shrub community
XJ061,16.33668116,0.73486775,NA,10.866965,-93.99451447,0.13626991,0.46833731,Shrub community
XJ063,10.97984374,0.482358172,NA,12.61102642,-95.480896,0.34330204,0.54337174,Shrub community
XJ065,20.15958183,0.748090096,NA,10.73197083,-93.47750854,0.22097331,0.61272186,Shrub community
XZ001,19.06045596,1.218952633,0.20745,1.076451333,10.80958939,3.25817464,1.00970107,Shrub community
XZ002,9.942300121,1.079383327,0.093725,0.829575833,86.53382874,4.06161232,1.55155732,Shrub community
XZ003,19.5074745,1.546662316,0.13635,-0.3586075,84.55605316,3.10786265,0.67994672,Shrub community
XZ006,18.89857604,1.200387765,0.108975,0.96888375,22.84954453,3.44164075,0.86227339,Shrub community
XZ008,24.53229619,1.489373532,0.121525,8.857117333,15.49043655,0.98479563,0.78516016,Shrub community
XZ009,17.98713013,1.028023475,0.100225,8.765524417,5.130387306,0.6420014,0.58800597,Shrub community
XZ010,25.94694649,1.475851232,0.127875,0.0441875,19.5910778,4.99069251,0.63048201,Shrub community
XZ011,18.94625485,1.363831848,0.167275,2.201811667,3.447058439,3.47852119,0.72462138,Shrub community
XZ012,27.28418811,1.432807691,0.06615,14.72552167,-50.57767105,0.46743701,0.47728986,Shrub community
XZ014,14.93326654,0.905126361,0.236375,3.299252,-1.999824286,1.32785604,0.30966651,Shrub community
XZ015,28.45685926,1.494389595,0.126725,9.24415225,-33.18627167,1.1716499,0.58732279,Shrub community
XZ016,21.58604449,2.128597539,0.052775,11.46184917,-42.67885208,0.116618,0.42208224,Shrub community
XZ017,12.01113741,0.968466312,0.158325,-0.3586075,84.55567932,3.00654945,0.84492788,Shrub community
XZ018,13.1785688,0.920248277,0.1421,-0.197188333,83.0767746,2.80791507,0.74856812,Shrub community
XZ019,28.45685926,1.494389595,0.094125,11.67998667,-42.97244644,0.26199344,0.44379951,Shrub community
XZ020,19.24426476,1.51706857,0.146375,-1.160406167,17.14618111,2.89867717,0.76750472,Shrub community
XZ021,5.055291428,0.366465881,0.033325,5.456000583,-16.41775703,1.54352299,0.66210979,Shrub community
XZ022,23.026911,1.0570593,0.076825,-0.312007333,9.280830383,2.3765241,0.8458886,Shrub community
XZ023,27.4102456,1.59099687,0.09865,10.97800167,-40.68566895,0.16824528,0.41123319,Shrub community
XZ024,28.45685926,1.494389595,0.092925,11.05298083,-40.43582153,0.57048281,0.5796329,Shrub community
XZ025,28.45685926,1.494389595,0.11665,11.0088025,-41.92964172,0.4667074,0.6137236,Shrub community
XZ026,20.24808659,1.415812449,0.189025,0.917338417,52.68416214,3.60349772,0.93609402,Shrub community
XZ027,18.01907731,1.273263936,0.184625,0.590077583,70.47913361,3.15471678,0.9797587,Shrub community
XZ028,19.65011888,1.25779748,0.25605,1.476869167,38.3407135,3.40147551,0.84590804,Shrub community
XZ029,18.85616548,1.219116632,0.26155,1.876583333,8.98051548,3.83749637,0.85935496,Shrub community
XZ030,19.58048293,1.585865828,0.17185,-1.842407083,84.510849,7.64518673,1.13291737,Shrub community
XZ031,21.88278469,1.970694238,0.15595,0.535674167,63.4127388,4.12344941,1.31101554,Shrub community
XZ032,12.28008717,0.693549453,0.15165,-0.26199425,79.25643158,3.8211104,1.29670639,Shrub community
XZ033,11.19496822,1.026596104,0.1837,0.074145608,28.16874123,2.08382589,0.61747335,Shrub community
XZ034,15.53807436,1.103585073,0.203825,1.458151667,13.58344078,2.62388833,0.76977272,Shrub community
XZ035,14.7262273,0.90923041,0.164875,4.771838583,-7.089162827,3.7025968,0.94093081,Shrub community
XZ036,28.3982561,1.242001524,0.145625,10.4343175,-36.36135864,1.6288297,0.61915176,Shrub community
XZ037,24.51398672,1.563165043,0.1605,8.4082405,-29.39886284,1.37777946,0.34814843,Shrub community
XZ038,11.39494206,0.782588641,0.21905,3.987768917,-4.674154758,3.0594052,0.63089153,Shrub community
XZ039,9.761919017,1.206822155,0.0922,1.350423333,-8.838898659,0.79722639,0.55266014,Shrub community
XZ040,29.93307273,1.685922332,0.149725,6.304316083,-21.39310837,0.16888023,0.56327528,Shrub community
XZ041,17.6779604,1.385195654,NA,-0.009094583,0,0.67903639,0.47492084,Shrub community
XZ042,28.16473722,1.485022862,0.0413,3.712958,-30.60448647,0.63647223,0.48770692,Shrub community
XZ043,25.23910999,1.302837307,0.075875,6.476110167,-17.55051231,0.91426584,0.40430831,Shrub community
XZ044,24.08151944,1.631114806,0.16475,6.512315092,-18.7293148,1.0226912,0.60624228,Shrub community
XZ045,24.52764642,1.113051031,0.089625,6.044610417,-29.93839264,0.83880381,0.66220347,Shrub community
XZ047,28.34332036,1.299585983,0.076425,6.2572495,-25.16485023,0.30268363,0.55565984,Shrub community
XZ048,29.13253307,1.788619026,0.13885,9.082244,-37.17542267,0.62171692,0.82823315,Shrub community
XZ050,18.86094537,1.033849744,0.190475,5.011292508,-11.37435341,1.69796915,0.48367797,Shrub community
XZ051,9.166661898,0.31999602,0.093425,0.24424625,33.54589462,3.22953294,0.67099517,Shrub community
XZ052,11.70378298,0.933573269,0.226325,8.568730167,17.85626411,0.87385476,0.35942952,Shrub community
XZ053,18.9568452,1.514030536,0.0755,1.380038417,45.9285202,3.21230905,0.8444017,Shrub community
XZ054,17.74000963,1.54883535,0.06445,1.644325,36.87802887,2.29421628,0.79312316,Shrub community
XZ055,12.73785692,1.063152349,0.1169,3.98612875,88.01305389,3.69088362,0.99644223,Shrub community
XZ056,6.099017667,0.365893288,0.190475,5.011292508,-11.37408257,1.49685926,0.58851728,Shrub community
YN001,13.67561631,1.1009799,0.69185,16.13366417,16.79970741,1.2347674,0.37190794,Shrub community
YN002,12.81308455,0.707558407,0.778025,14.3896525,35.99055481,0.57750323,0.21103771,Shrub community
YN003,11.85633452,0.577315837,0.9646,12.88564917,57.45537186,1.96639151,0.48481784,Shrub community
YN004,10.01663561,0.564119766,1.008275,15.492175,25.10758591,0.4784954,0.10779733,Shrub community
YN005,9.691192248,0.681742252,0.89865,14.881165,30.11253357,0.50323998,0.18540509,Shrub community
YN006,3.36315633,0.178762955,0.82125,14.6722875,29.53529549,1.18236822,0.30834186,Shrub community
YN007,12.08884021,1.233203103,0.869725,16.98858917,10.90123844,0.97808177,0.40092092,Shrub community
YN008,11.51040508,0.977764102,0.654325,16.92339167,3.919463873,1.17573875,0.19980702,Shrub community
YN009,9.628532183,0.930539844,0.7012,18.34535833,-11.27530193,0.82883853,0.19954991,Shrub community
YN010,7.114444085,0.232050055,0.907625,15.72540583,14.76959515,0.65981926,0.17515148,Shrub community
YN011,5.080554253,0.237034618,0.946175,14.39616083,35.76583099,0.72332097,0.18739789,Shrub community
YN012,2.474906959,0.189231769,0.80835,13.16319083,50.38539124,1.53365078,0.50369517,Shrub community
YN013,11.74311678,0.787592697,0.690075,15.4175025,23.13206291,1.31300173,0.77850411,Shrub community
YN014,5.858286367,0.562156955,0.552725,17.572675,-6.717840672,0.56212499,0.16881291,Shrub community
YN015,10.42864183,1.000724985,0.589325,17.51643333,-5.212547779,0.99930275,0.45437847,Shrub community
YN016,6.696393466,0.349966654,0.95055,15.59845,20.93852043,0.8676124,0.2542629,Shrub community
YN017,2.982289426,0.182551941,0.92185,14.76677917,23.9045639,0.71805881,0.3078983,Shrub community
YN018,8.863425578,0.628487839,0.904025,13.17106667,62.93456268,0.78401693,0.29952122,Shrub community
YN019,15.28101044,0.5656527,0.802675,14.01966833,49.10461807,0.92746985,0.29893509,Shrub community
YN020,10.30041692,0.794622279,0.936275,14.674785,33.13110733,1.11394372,0.43569017,Shrub community
YN021,13.54567972,1.082026303,0.7316,15.80756417,18.64632416,1.34388825,0.34673604,Shrub community
YN022,12.90464036,0.574977611,0.88595,14.68037833,34.19346619,0.62086275,0.15148602,Shrub community
YN023,12.7497669,1.170000435,0.91175,16.60125583,7.339538574,0.73065931,0.3674743,Shrub community
YN024,15.28603433,0.43605553,0.8355,14.98763667,30.80766487,0.47777841,0.13689553,Shrub community
YN025,14.37213828,0.466744551,0.813975,14.8902775,30.68362236,0.69647656,0.13294998,Shrub community
YN026,16.16920028,0.836837112,0.71755,15.004575,38.0730896,1.92345831,1.25189396,Shrub community
YN027,14.54004247,0.769581707,0.72805,14.82377417,38.41006088,0.83747743,0.27749656,Shrub community
YN028,16.23207409,1.013446665,0.450125,14.83615583,39.438694,1.01292348,1.45943181,Shrub community
YN029,14.88222137,0.665504467,NA,13.40450167,58.72751617,0.9008612,0.32188478,Shrub community
YN030,12.5510859,0.674844483,0.73855,13.9263525,46.77279663,0.95005025,0.28599271,Shrub community
YN031,15.19907849,1.687806929,1.437725,19.71900833,42.75372696,1.31398038,0.48505136,Shrub community
YN032,17.29426302,2.267306114,1.493775,20.98738333,31.5075798,1.19311168,0.45525807,Shrub community
YN033,11.93149628,1.041727127,1.306875,18.35930833,84.99324799,2.25119603,0.43428781,Shrub community
YN034,7.588262271,0.600134036,0.97185,19.07599167,50.34715271,1.62121233,0.38001197,Shrub community
YN035,11.36794309,0.917472678,0.978525,18.91666667,51.80242538,1.61847484,0.48471584,Shrub community
YN036,8.013611719,0.740493523,0.8521,18.39280833,77.93976593,1.28982605,0.40258232,Shrub community
YN037,11.16152975,0.99020729,0.826875,19.20640833,53.34128571,1.84748632,0.37895232,Shrub community
YN038,13.08886632,0.576581365,0.990575,13.73563,50.11758804,0.9389562,0.51940103,Shrub community
YN039,13.03052955,0.478314673,0.7588,14.2020775,49.31367111,0.6397967,0.14874628,Shrub community
YN040,14.57980148,0.560380838,0.798975,13.83320167,47.05457306,0.98387032,0.53488477,Shrub community
YN041,17.70956047,1.272382184,0.631025,13.55816583,49.13656235,1.23997215,0.56060896,Shrub community
YN042,19.44107168,1.519518054,0.79855,13.77316917,44.1169014,1.33621298,1.7064022,Shrub community
