ID,Species,Site,Treatment,Abundance,LA,SLA,LDMC,TLP
71,Lolium.perenne,FP,50%,6.13,0.94,23.04,309.53,-1.55
72,Lolium.perenne,FP,Control,11.25,0.77,22.95,276.34,-1.54
73,Lolium.perenne,GW,30%,9.5,0.45,25.37,264.89,-1.64
74,Lolium.perenne,GW,50%,2.89,0.47,21.32,304.99,-2.03
75,Lolium.perenne,GW,Control,24.13,0.53,21.04,302.74,-1.63
76,Lolium.perenne,KB,30%,2.38,0.6,24.19,291.68,-1.52
77,Lolium.perenne,KB,50%,2.25,0.53,22.35,303.37,-1.44
78,Lolium.perenne,KB,Control,9.75,0.69,24.28,275.05,-1.63
79,Lolium.perenne,SC,30%,8,0.61,24.74,216.47,-1.59
80,Lolium.perenne,SC,50%,15.13,0.8,24.23,247.86,-1.78
81,Lolium.perenne,SC,Control,18.75,0.54,23.06,226.87,-1.54
82,Plantago.lanceolata,FP,30%,13.13,2.1,20.17,214.12,-1.56
83,Plantago.lanceolata,FP,50%,9.75,1.57,17.84,219.73,-1.63
84,Plantago.lanceolata,FP,Control,7.76,2.78,17.38,218.01,-1.64
85,Plantago.lanceolata,GW,30%,0.66,1.21,20.73,203.01,-1.56
86,Plantago.lanceolata,GW,50%,0.21,0.91,16.56,227.03,-2.1
87,Plantago.lanceolata,GW,Control,1.89,1.84,22.8,178.62,-1.59
88,Plantago.lanceolata,KB,30%,6.63,1.42,22.63,195.76,-1.37
89,Plantago.lanceolata,KB,50%,9.38,1.27,19,205.2,-1.52
90,Plantago.lanceolata,KB,Control,7.13,1.61,21.8,195.3,-1.31
91,Plantago.lanceolata,SC,30%,7.88,2.12,23.83,178.38,-1.51
92,Plantago.lanceolata,SC,50%,2.9,1.18,21.68,175.74,-1.87
93,Plantago.lanceolata,SC,Control,5.88,2.23,22.93,177.37,-1.46
94,Plantago.media,GW,30%,5.25,2.05,19.69,169.72,-1.4
95,Plantago.media,GW,50%,1.39,1.38,16.16,196.45,-1.81
96,Plantago.media,GW,Control,9.38,2.01,20.41,162.17,-1.23
97,Plantago.media,KB,30%,2.75,1.69,18.17,180.46,-1.4
99,Plantago.media,KB,Control,3.5,1.94,19.71,167.43,-1.32
100,Plantago.media,SC,30%,18.75,2.1,20.58,138.83,-1.43
101,Plantago.media,SC,50%,10.75,1.99,21.08,149.14,-1.61
102,Plantago.media,SC,Control,15,2.73,21.59,144.59,-1.34
103,Ranunculus.acris,FP,30%,12.5,1.61,19.25,249.82,-1.86
104,Ranunculus.acris,FP,50%,10.88,1.41,18.49,245.4,-1.8
105,Ranunculus.acris,FP,Control,6.25,1.67,19.77,239.65,-1.78
106,Ranunculus.acris,GW,30%,2.16,0.94,25.46,217.18,-1.55
108,Ranunculus.acris,GW,Control,3.13,1.28,20.83,226.38,-1.67
109,Ranunculus.acris,KB,30%,2.75,0.94,26.43,217.7,-1.61
110,Ranunculus.acris,KB,50%,0.56,0.6,23.69,239.05,-1.31
111,Ranunculus.acris,KB,Control,3.66,0.93,22.46,223.47,-1.86
112,Ranunculus.acris,SC,30%,2.53,1.24,25.83,194.46,-1.65
113,Ranunculus.acris,SC,50%,3.25,0.96,25.13,207.76,-1.66
114,Ranunculus.acris,SC,Control,15,1.88,23.95,206.02,-1.65
115,Taraxacum.ruderalia,FP,30%,0.43,1.4,34.68,210.32,-1.37
116,Taraxacum.ruderalia,FP,50%,2.28,2.43,29.14,224.16,-1.52
117,Taraxacum.ruderalia,FP,Control,0.89,2.28,30.59,199.1,-1.48
118,Taraxacum.ruderalia,GW,30%,12.25,2.67,28.3,194.19,-1.48
119,Taraxacum.ruderalia,GW,50%,8.75,1.55,24.12,224.06,-1.75
120,Taraxacum.ruderalia,GW,Control,17.5,2.8,24.65,205.16,-1.41
121,Taraxacum.ruderalia,KB,30%,3.63,1.61,35.67,185.45,-1.16
122,Taraxacum.ruderalia,KB,50%,2.4,1.79,29.39,189.28,-1.41
123,Taraxacum.ruderalia,KB,Control,12.29,3.05,31.71,171.81,-1.28
124,Taraxacum.ruderalia,SC,30%,8.13,2.64,33.78,156.7,-1.25
125,Taraxacum.ruderalia,SC,50%,7.63,2.79,32.97,159.96,-1.46
126,Taraxacum.ruderalia,SC,Control,10,4.11,29.5,159.18,-1.29
127,Trifolium.pratense,FP,30%,2.28,0.73,24.5,277.86,-1.65
128,Trifolium.pratense,FP,50%,4.5,0.53,22.91,283.43,-1.81
129,Trifolium.pratense,FP,Control,17,0.83,22.84,294.09,-1.73
130,Trifolium.pratense,GW,30%,0.66,0.98,24.09,247.52,-1.41
131,Trifolium.pratense,GW,50%,0.19,0.4,23.68,316.96,-1.72
132,Trifolium.pratense,GW,Control,5,1.4,22.65,264.21,-1.47
133,Trifolium.pratense,KB,30%,0.68,0.38,29.77,253.73,-1.52
135,Trifolium.pratense,KB,Control,0.3,0.47,26.3,265.49,-1.43
136,Trifolium.pratense,SC,30%,5.51,0.99,26.72,224.27,-1.53
137,Trifolium.pratense,SC,50%,4.26,1.1,22.03,243.93,-1.72
138,Trifolium.pratense,SC,Control,4.51,1.2,27.96,226.93,-1.41
139,Trisetum.flavescens,FP,30%,1.89,0.16,31.17,366.1,-1.91
140,Trisetum.flavescens,FP,50%,0.43,0.13,32.36,348.07,-2.03
141,Trisetum.flavescens,FP,Control,1.04,0.17,27.83,366.19,-1.94
142,Trisetum.flavescens,GW,30%,2.51,0.33,32.34,275.1,-1.6
143,Trisetum.flavescens,GW,50%,0.79,0.36,27.05,305.73,-2.14
144,Trisetum.flavescens,GW,Control,1.9,0.3,28.42,306.01,-1.75
145,Trisetum.flavescens,KB,30%,3.55,0.28,27.21,310.49,-1.7
146,Trisetum.flavescens,KB,50%,1.01,0.32,32.92,297.91,-1.85
147,Trisetum.flavescens,KB,Control,2.38,0.27,28.44,299.73,-1.76
148,Trisetum.flavescens,SC,30%,2.03,0.43,31.57,257.84,-1.63
149,Trisetum.flavescens,SC,50%,1.39,0.36,32.94,275.33,-1.86
150,Trisetum.flavescens,SC,Control,3.76,0.37,31.1,303.32,-1.58
