;TraitIdentifierAccordingToTop-thesaurus.org;NA;TOP112;NA;TOP293;TOP25;TOP50;TOP45;NA;TOP935;TOP76;NA;NA;TOP69;TOP452;TOP462;TOP491;TOP501;TOP713;TOP723;NA;NA;NA
Abbreviated Species Name;Species name according to Daphne phylogenetic tree (Durka & Michalski 2012) ;Seed number;Seed mass;Reproductive mass;Onset of seed ripening;Leaf area;Specific leaf area;Leaf dry matter content;Specific stem length;Specific root length;Plant leaf dry mass;Plant stem dry mass;Plant root and rhizome dry mass;Plant height vegetative;Leaf carbon concentration per mass;Leaf nitrogen concentration per mass;Stem carbon concentration per mass;Stem nitrogen concentration per mass;Root carbon concentration per mass;Root nitrogen concentration per mass;Leaf mass fraction;Stem mass fraction;Below-ground mass fraction
;;n;mg;mg;Julian day;mm²;mm² mg-1;mg g-1;mm mg-1;mm mg-1;mg;mg;mg;cm;%;%;%;%;%;%;Proportion;Proportion;Proportion
Spec_short4;Spec_Daphne;SN;SM;RepM;ONSET;LA;SLA;LDMC;SSL;RSL;LBM;SBM;BlBM;CH;LCC;LNC;SCC;SNC;RCC;RNC;LBMVegfrac;SBMVegfrac;BlBMVegfrac
Care_dstc;Carex_disticha;1053.00;0.76;801.23;152.00;917.08;21.55;213.59;3.03;10.90;199.05;381.41;1316.71;36.88;46.55;1.69;51.85;1.12;57.13;1.23;0.12;0.25;0.62
Care_flac;Carex_flacca;93.00;1.02;94.40;202.00;657.46;14.66;410.00;2.46;24.41;689.58;257.03;175.30;15.10;45.52;1.35;44.34;0.74;43.99;0.53;0.61;0.23;0.16
Care_hirt;Carex_hirta;62.50;1.28;103.15;210.58;620.36;16.93;445.77;2.03;6.05;279.00;336.24;451.36;41.32;46.37;1.50;44.96;1.00;43.71;0.81;0.24;0.30;0.46
Care_nigr;Carex_nigra;29.00;0.74;21.45;149.71;350.54;21.31;257.45;4.21;3.97;72.00;78.13;1893.62;28.86;47.44;2.64;46.71;1.43;44.26;1.17;0.05;0.04;0.90
Care_pani;Carex_panicea;27.50;2.34;64.38;152.00;138.70;31.85;228.78;5.27;14.77;27.29;34.50;280.54;17.56;49.67;1.17;49.57;1.01;46.91;0.72;0.13;0.19;0.68
Cera_font_vulg;Cerastium_holosteoides;2230.00;0.10;214.08;175.07;53.44;26.58;138.48;6.74;32.30;44.74;58.84;28.62;9.11;47.91;1.53;47.97;1.19;46.25;1.19;0.35;0.38;0.27
Cera_glom;Cerastium_glomeratum;4725.00;0.05;251.81;167.00;35.07;54.92;116.69;12.50;1112.26;30.16;63.47;21.11;8.04;44.53;1.13;46.82;0.94;57.96;1.16;0.27;0.55;0.18
Cirs_arve;Cirsium_arvense;717.91;1.67;1229.07;229.11;1113.23;16.54;185.67;0.60;8.12;5471.10;7481.57;2273.99;92.06;41.98;1.74;43.54;0.69;44.73;0.84;0.37;0.48;0.14
Cirs_palu;Cirsium_palustre;4136.69;1.56;6461.92;203.60;1339.72;17.07;208.79;0.60;20.94;1311.48;4248.09;507.14;73.96;39.80;1.08;41.79;0.46;39.20;0.84;0.37;0.53;0.10
Coch_dani;Cochlearia_danica;190.98;0.21;45.18;146.00;127.68;36.95;51.10;4.71;7.09;145.27;374.18;48.32;7.40;28.39;2.77;32.76;1.37;40.39;1.89;0.29;0.61;0.10
Coro_vari;Securigera_varia;927.16;5.34;4955.36;176.00;81.91;27.31;205.21;4.19;5.70;513.04;1226.64;767.18;37.20;46.64;3.73;44.60;1.67;43.08;2.35;0.19;0.49;0.32
Cotu_coro;Cotula_coronopifolia;175.41;0.06;13.99;210.33;67.74;38.65;139.27;8.46;49.16;80.90;93.45;124.72;9.25;41.71;2.56;40.55;1.43;40.30;1.76;0.32;0.43;0.25
Cyno_cris;Cynosurus_cristatus;405.78;0.63;219.22;220.74;188.01;21.27;352.57;3.90;74.63;66.89;274.42;208.89;38.00;43.45;1.82;45.17;0.40;44.60;0.89;0.09;0.64;0.26
Dact_glom;Dactylis_glomerata;164.45;0.71;109.22;209.92;1904.58;23.80;239.97;0.91;11.55;505.90;1360.50;458.36;62.55;40.67;1.58;44.01;0.39;40.56;1.04;0.21;0.58;0.20
Desc_cesp;Deschampsia_cespitosa;5023.36;0.12;832.58;219.17;455.19;16.76;315.61;2.61;35.38;243.91;836.78;461.93;57.35;46.27;0.71;47.01;0.21;42.62;1.02;0.12;0.53;0.35
Desc_flex;Deschampsia_flexuosa;62.10;0.31;19.36;167.00;79.21;27.01;226.00;6.39;24.34;66.10;108.58;116.58;23.00;49.49;1.34;47.76;1.04;55.63;1.03;0.22;0.43;0.36
Eleo_unig;Eleocharis_uniglumis;25.00;1.49;37.29;170.00;160.38;11.30;197.45;9.56;38.85;22.41;37.68;76.95;22.20;44.45;1.62;46.69;1.53;45.80;0.95;0.00;0.35;0.65
Elym_pycn;Elytrigia_atherica;75.38;2.89;171.46;239.15;773.56;16.14;378.87;0.98;15.42;314.35;1036.67;282.59;38.90;43.01;1.15;44.59;0.59;39.10;0.99;0.18;0.62;0.20
Elym_repe;Elytrigia_repens;26.08;1.63;33.15;220.32;904.58;22.91;355.54;1.88;15.10;241.33;720.52;316.63;51.25;42.48;1.62;45.40;0.68;43.70;1.21;0.17;0.57;0.26
