"species";"island";"islandgroup";"Native";"Cultivated";"family";"order";"dataset";"Invasive";"Original_name";"reference";"refid";"latitude";"longitude"
"Eleusine coracana";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";0,5;"Eleusine coracana (L.) Gaertn.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Eleusine indica";"Guam";"Mariana";0,393;"0";"Poaceae";"Poales";"glonpier";1;"Eleusine indica (L.) Gaertn.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,3280,3281,3282,3283,3284,3285,3286,3287,3288,3289,3290";"13.443537";"144.777038"
"Eragrostis atrovirens";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Eragrostis atrovirens (Desf.) Trin.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,195";"13.443537";"144.777038"
"Eragrostis brownii";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Eragrostis brownii (Kunth) Nees in H. & A.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,195";"13.443537";"144.777038"
"Eragrostis ciliaris";"Guam";"Mariana";0,125;"0";"Poaceae";"Poales";"glonpier";1;"Eragrostis ciliaris (L.) R.Br.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,3570";"13.443537";"144.777038"
"Eragrostis minor";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Eragrostis minor Host";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Eragrostis pilosa";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Eragrostis pilosa (L.) Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Eremochloa ophiuroides";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";0,5;"Eremochloa ophiuroides (Munro) Hack.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Eustachys petraea";"Guam";"Mariana";0,125;"0";"Poaceae";"Poales";"glonpier";1;"Eustachys petraea (Sw.) Desv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,2118,3714";"13.443537";"144.777038"
"Hyparrhenia rufa";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Hyparrhenia rufa (Nees) Stapf";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Imperata conferta";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Imperata conferta (J.S.Presl) Ohwi";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,1816";"13.443537";"144.777038"
"Imperata cylindrica";"Guam";"Mariana";0,2;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Imperata cylindrica (L.) Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,1816,4314,4315";"13.443537";"144.777038"
"Melinis minutiflora";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Melinis minutiflora Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Oryza sativa";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Oryza sativa L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Paspalidium geminatum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Panicum geminatum Forsskal";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Panicum maximum";"Guam";"Mariana";0,214;"0";"Poaceae";"Poales";"glonpier";1;"Panicum maximum Jacq.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,198,5406,5407,5408";"13.443537";"144.777038"
"Digitaria abyssinica";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Panicum muticum Forsk. (Brachiara mutica (Forsk) Stapf)";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Paspalidium flavidum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Paspalidium flavidum (Retz.) A.Camus";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Paspalum conjugatum";"Guam";"Mariana";0,278;"0";"Poaceae";"Poales";"glonpier";1;"Paspalum conjugatum Berg.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,198,5452,5453,5454,5455,5456";"13.443537";"144.777038"
"Paspalum dilatatum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Paspalum dilatatum Poir.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Paspalum fimbriatum";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Paspalum fimbriatum HBK.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Paspalum notatum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Paspalum notatum Flugge";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,1816";"13.443537";"144.777038"
"Paspalum scrobiculatum";"Guam";"Mariana";0,5;"0";"Poaceae";"Poales";"glonpier";0,5;"Paspalum orbiculare Forst.f.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Paspalum paniculatum";"Guam";"Mariana";0,286;"0";"Poaceae";"Poales";"glonpier";1;"Paspalum paniculatum L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,1816,5574,5575,5576,5577";"13.443537";"144.777038"
"Paspalum setaceum";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Paspalum setaceum var. ciliatifolium (Michx.) Vasey";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334,1816";"13.443537";"144.777038"
"Paspalum urvillei";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Paspalum urvillei Steud.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Pennisetum polystachion";"Guam";"Mariana";0,269;"0";"Poaceae";"Poales";"glonpier";1;"Pennisetum polystachion (L.) Schult. form. polystachion";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,198,194,1816,1817,1818,1819,1820,1821,1822,1823";"13.443537";"144.777038"
"Pennisetum purpureum";"Guam";"Mariana";0,083;"0";"Poaceae";"Poales";"glonpier";1;"Pennisetum purpureum Schumach.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,198,194,5844";"13.443537";"144.777038"
"Phalaris aquatica";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Phalaris tuberosa var. stenoptera (Hack.) Hitch.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Poa arachnifera";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Poa arachnifera Torrey";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Saccharum officinarum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Saccharum officinarum L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Setaria parviflora";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Setaria geniculata (Lam.) Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Setaria verticillata";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";0,5;"Setaria verticillata (L.) Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Sorghum bicolor";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Sorghum bicolor var. cafer (Koern.) Fosb.& Sachet";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,1816";"13.443537";"144.777038"
"Sorghum halepense";"Guam";"Mariana";0,25;"0";"Poaceae";"Poales";"glonpier";1;"Sorghum halepense (L.) Pers.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,198,1816,6960,6961,6962,6963,6964";"13.443537";"144.777038"
"Sorghum drummondii_x";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Sorghum sudanense (Piper) Stapf in Prain";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Sporobolus diandrus";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Sporobolus diander (Retz.) Beauv.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Stenotaphrum secundatum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Stenotaphrum secundatum (Walt.) O.Ktze.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Tripsacum latifolium";"Guam";"Mariana";0;"0";"Poaceae";"Poales";"glonpier";1;"Tripsacum latifolium Hitchc.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Tripsacum laxum";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glonpier";0,5;"Tripsacum laxum Nash";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Zea mays";"Guam";"Mariana";0;"0.5";"Poaceae";"Poales";"glon";0;"Zea mays L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Zoysia matrella";"Guam";"Mariana";0,667;"0";"Poaceae";"Poales";"glonpier";0,5;"Zoysia matrella (L.) Merr. cv. Emerald Grass";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Cyperus alternifolius";"Guam";"Mariana";0;"0.5";"Cyperaceae";"Poales";"glon";0;"Cyperus alternifolius subsp. flabelliformis (Rottb.) Kuk.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Cyperus compactus";"Guam";"Mariana";0;"0.5";"Cyperaceae";"Poales";"glon";0;"Cyperus compactus Retz.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Cyperus compressus";"Guam";"Mariana";0;"0";"Cyperaceae";"Poales";"glonpier";1;"Cyperus compressus L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Cyperus difformis";"Guam";"Mariana";0;"0";"Cyperaceae";"Poales";"glonpier";1;"Cyperus difformis L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Cyperus flavidus";"Guam";"Mariana";0;"0.5";"Cyperaceae";"Poales";"glon";0;"Cyperus flavidus Retz.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Cyperus ligularis";"Guam";"Mariana";0,125;"0";"Cyperaceae";"Poales";"glonpier";1;"Cyperus ligularis L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,2787";"13.443537";"144.777038"
"Cyperus papyrus";"Guam";"Mariana";0;"0.5";"Cyperaceae";"Poales";"glon";0;"Cyperus papyrus L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Cyperus rotundus";"Guam";"Mariana";0,2;"0";"Cyperaceae";"Poales";"glonpier";1;"Cyperus rotundus L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,2799,2800";"13.443537";"144.777038"
"Eleocharis dulcis";"Guam";"Mariana";0,067;"0";"Cyperaceae";"Poales";"glonpier";1;"Eleocharis dulcis (Burm.f.) Trin. ex Hensch.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Fimbristylis ovata";"Guam";"Mariana";0;"0.5";"Cyperaceae";"Poales";"glon";0;"Fimbristylis ovata (Burm. f.) Kern";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Acoelorrhaphe wrightii";"Guam";"Mariana";0;"0";"Arecaceae";"Arecales";"glonpier";0;"Acoelorrhaphe wrightii (Griseb.&Wendl.) Wendl. ex Becc.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Areca catechu";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Areca catechu L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Arenga pinnata";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Arenga pinnata (Wurmb.) Merr.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Bactris gasipaes";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Bactris gasipaes H.B.K.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Caryota mitis";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Caryota mitis Lour.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Caryota urens";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Caryota urens L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Dypsis lutescens";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Chrysalidocarpus lutescens H.Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Coccothrinax barbadensis";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Coccothrinax dussiana L.H.Bailey";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Cocos nucifera";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Cocos nucifera L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Dictyosperma album";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Dictyosperma album (Bory) Wendl. & Drude";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Elaeis guineensis";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Elaeis guineensis Jacq.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Heterospathe elata";"Guam";"Mariana";0,15;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Heterospathe elata Scheff.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,195";"13.443537";"144.777038"
"Livistona chinensis";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Latania cf. loddigesii Mart.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Phoenix canariensis";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Phoenix canariensis Chabaud";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Phoenix dactylifera";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Phoenix dactylifera L.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Phoenix roebelenii";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Phoenix roebelenii O'Brien";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Phoenix sylvestris";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Phoenix sylvestris (L.) Roxb.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Pritchardia pacifica";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Pritchardia pacifica Seem. & Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Ptychosperma macarthurii";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Ptychosperma macarthuri (Wendl.) Nicholson";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Rhapis excelsa";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Rhapis excelsa (Thunb.) Henry in Rehd.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Roystonea regia";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Roystonea elata (Bartr.) Harper";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Sabal minor";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Sabal minor (Jacq.) Pers.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Leucothrinax morrisii";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Thrinax morrisii Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Thrinax radiata";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Thrinax radiata Lodd. ex J.A. & J.H. Sch.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Trachycarpus fortunei";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Trachycarpus fortunei (Hook.) Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Adonidia merrillii";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glon";0;"Veitchia merrillii (Becc.) Moore";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Washingtonia filifera";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Washingtonia filifera (Linden) Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Washingtonia robusta";"Guam";"Mariana";0;"0.5";"Arecaceae";"Arecales";"glonpier";0,5;"Washingtonia robusta Wendl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,334";"13.443537";"144.777038"
"Carludovica palmata";"Guam";"Mariana";0,125;"0.5";"Cyclanthaceae";"Pandanales";"glonpier";0,5;"Carludovica palmata Ruiz. & Pav.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334,1488";"13.443537";"144.777038"
"Aglaonema commutatum";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glonpier";0,5;"Aglaonema commutatum Schott";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Aglaonema modestum";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Aglaonema modestum Schott.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Alocasia cucullata";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glonpier";0,5;"Alocasia cucullata (Lour.) G.Don";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,195";"13.443537";"144.777038"
"Alocasia macrorhizus";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glonpier";0,5;"Alocasia macrorrhiza (L.) G.Don var. macrorrhiza";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Alocasia odora";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Alocasia odora C.Koch";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Alocasia chaii";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Alocasia cf. sanderiana Bull.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Anthurium andraeanum";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Anthurium andraeanum Linden ex Andre";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Caladium bicolor";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glonpier";1;"Caladium bicolor (Ait.) Vent.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Colocasia esculenta";"Guam";"Mariana";0,067;"0.5";"Araceae";"Alismatales";"glonpier";0,5;"Colocasia esculenta (L.) Schott";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Cyrtosperma merkusii";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Cyrtosperma chamissonis (Schott) Merr.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Dieffenbachia seguine";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glonpier";0,5;"Dieffenbachia seguine (Jacq.) Schott";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7,57,334";"13.443537";"144.777038"
"Epipremnum aureum";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Epipremnum aureum (Lind. ex Andre) Bunting";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Homalomena rubescens";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Homalomena rubescens (Roxb.) Kunth";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Monstera deliciosa";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Monstera deliciosa Liebm.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Philodendron bipennifolium";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Philodendron bipennifolium Schott";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
"Philodendron bipinnatifidum";"Guam";"Mariana";0;"0.5";"Araceae";"Alismatales";"glon";0;"Philodendron bipinnatifidum Schott ex Endl.";"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1ñ69.";"7";"13.443537";"144.777038"
