"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid"
"3863";"Desmodium triflorum";"Aunu'u";"Samoa";0,145833333333333;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium triflorum (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Desmodium triflorum_Samoa";"Desmodium triflorum_Aunu'u";"glonpier";0;0;"1"
"3864";"Inocarpus fagifer";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Inocarpus fagifer (Parkinson) Fosb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Inocarpus fagifer_Samoa";"Inocarpus fagifer_Aunu'u";"glon";0;0;"1"
"3865";"Leucaena leucocephala";"Aunu'u";"Samoa";0,231292517006803;"0";"Fabaceae";"Fabales";"glonpier";0;"Leucaena leucocephala (Lam.) de Wit";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Leucaena leucocephala_Samoa";"Leucaena leucocephala_Aunu'u";"glonpier";0;0;"1"
"3866";"Mimosa pudica";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Mimosa pudica L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Mimosa pudica_Samoa";"Mimosa pudica_Aunu'u";"glon";0;0;"1"
"3867";"Pueraria montana";"Aunu'u";"Samoa";0,0552380952380952;"0";"Fabaceae";"Fabales";"glonpier";0;"Pueraria lobata (Willd.) Ohwi";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Pueraria montana_Samoa";"Pueraria montana_Aunu'u";"glonpier";0;0;"1"
"3868";"Uraria lagopodioides";"Aunu'u";"Samoa";0,270833333333333;"0";"Fabaceae";"Fabales";"glonpier";0;"Uraria lagopodoides (L.) Desv. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Uraria lagopodioides_Samoa";"Uraria lagopodioides_Aunu'u";"glonpier";0;0;"1"
"3869";"Abelmoschus moschatus";"Aunu'u";"Samoa";0,223011363636364;"0";"Malvaceae";"Malvales";"glonpier";0;"Hibiscus abelmoschus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Abelmoschus moschatus_Samoa";"Abelmoschus moschatus_Aunu'u";"glonpier";0;0;"1"
"3870";"Sida rhombifolia";"Aunu'u";"Samoa";0,173809523809524;"0";"Malvaceae";"Malvales";"glonpier";0;"Sida rhombifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sida rhombifolia_Samoa";"Sida rhombifolia_Aunu'u";"glonpier";0;0;"1"
"3871";"Sida parvifolia";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glon";0;"Sida samoensis Rechinger";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sida parvifolia_Samoa";"Sida parvifolia_Aunu'u";"glon";0;0;"1"
"3872";"Psidium guajava";"Aunu'u";"Samoa";0,164434523809524;"0";"Myrtaceae";"Myrtales";"glonpier";0;"Psidium guajava L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Psidium guajava_Samoa";"Psidium guajava_Aunu'u";"glonpier";0;0;"1"
"3873";"Ludwigia hyssopifolia";"Aunu'u";"Samoa";0,1375;"0";"Onagraceae";"Myrtales";"glonpier";0;"Ludwigia hyssopifolia (G.Don) Exell";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ludwigia hyssopifolia_Samoa";"Ludwigia hyssopifolia_Aunu'u";"glonpier";0;0;"1"
"3874";"Ludwigia octovalvis";"Aunu'u";"Samoa";0,355555555555556;"0";"Onagraceae";"Myrtales";"glonpier";0,5;"Ludwigia octocalvis (Jacq.) Raven";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ludwigia octovalvis_Samoa";"Ludwigia octovalvis_Aunu'u";"glonpier";0,25;0;"1,150"
"3875";"Passiflora foetida";"Aunu'u";"Samoa";0,160606060606061;"0";"Passifloraceae";"Malpighiales";"glonpier";0;"Passiflora foetida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Passiflora foetida_Samoa";"Passiflora foetida_Aunu'u";"glonpier";0;0;"1"
"3876";"Peperomia pellucida";"Aunu'u";"Samoa";0,138888888888889;"0";"Piperaceae";"Piperales";"glonpier";0;"Peperomia pellucida (L.) Kunth";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Peperomia pellucida_Samoa";"Peperomia pellucida_Aunu'u";"glonpier";0;0;"1"
"3877";"Polygala paniculata";"Aunu'u";"Samoa";0,201388888888889;"0";"Polygalaceae";"Fabales";"glonpier";0;"Polygala paniculata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Polygala paniculata_Samoa";"Polygala paniculata_Aunu'u";"glonpier";0;0;"1"
"3878";"Portulaca oleracea";"Aunu'u";"Samoa";0,166666666666667;"0";"Portulacaceae";"Caryophyllales";"glonpier";0;"Portulaca oleracea L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Portulaca oleracea_Samoa";"Portulaca oleracea_Aunu'u";"glonpier";0;0;"1"
"3879";"Portulaca quadrifida";"Aunu'u";"Samoa";0;"0";"Portulacaceae";"Caryophyllales";"glon";0;"Portulaca quadrifida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Portulaca quadrifida_Samoa";"Portulaca quadrifida_Aunu'u";"glon";0;0;"1"
"3880";"Gardenia taitensis";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Gardenia taitensis DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Gardenia taitensis_Samoa";"Gardenia taitensis_Aunu'u";"glon";1;0;"1"
"3881";"Morinda citrifolia";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Morinda citrifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Morinda citrifolia_Samoa";"Morinda citrifolia_Aunu'u";"glon";1;0;"1"
"3882";"Spermacoce rubescens";"Aunu'u";"Samoa";0;"0";"Rubiaceae";"Gentianales";"glon";0;"Spermacoce assurgens Ruiz and Pavon";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Spermacoce rubescens_Samoa";"Spermacoce rubescens_Aunu'u";"glon";0;0;"1"
"3883";"Physalis angulata";"Aunu'u";"Samoa";0,104166666666667;"0";"Solanaceae";"Solanales";"glonpier";0;"Physalis angulata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Physalis angulata_Samoa";"Physalis angulata_Aunu'u";"glonpier";0;0;"1"
"3884";"Triumfetta rhomboidea";"Aunu'u";"Samoa";0,224305555555556;"0";"Sparrmanniaceae";"Malvales";"glonpier";0;"Triumfetta rhomboidea Jacq.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Triumfetta rhomboidea_Samoa";"Triumfetta rhomboidea_Aunu'u";"glonpier";0;0;"1"
"3885";"Premna serratifolia";"Aunu'u";"Samoa";0;"0";"Lamiaceae";"Lamiales";"glon";0;"Premna serratifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Premna serratifolia_Samoa";"Premna serratifolia_Aunu'u";"glon";0;0;"1"
"3886";"Stachytarpheta urticifolia";"Aunu'u";"Samoa";0;"0";"Verbenaceae";"Lamiales";"glon";0;"Stachytarpheta urticaefolia (Salisb.) Sims";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Stachytarpheta urticifolia_Samoa";"Stachytarpheta urticifolia_Aunu'u";"glon";0;0;"1"
"3887";"Amorphophallus paeoniifolius";"Aunu'u";"Samoa";0;"0";"Araceae";"Alismatales";"glon";0;"Amorphophallus paeoniifolius (Dennst.) Nicholson";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Amorphophallus paeoniifolius_Samoa";"Amorphophallus paeoniifolius_Aunu'u";"glon";0;0;"1"
"3888";"Canna indica";"Aunu'u";"Samoa";0,113095238095238;"0";"Cannaceae";"Zingiberales";"glonpier";0;"Canna indica L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Canna indica_Samoa";"Canna indica_Aunu'u";"glonpier";0;0;"1"
"3889";"Commelina diffusa";"Aunu'u";"Samoa";0,229166666666667;"0";"Commelinaceae";"Commelinales";"glonpier";0;"Commelina diffusa Burm.f.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Commelina diffusa_Samoa";"Commelina diffusa_Aunu'u";"glonpier";0;0;"1"
"3890";"Fimbristylis dichotoma";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glon";0;"Fimbristylis dichotoma (L.) Vahl";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Fimbristylis dichotoma_Samoa";"Fimbristylis dichotoma_Aunu'u";"glon";0;0;"1"
"3891";"Kyllinga brevifolia";"Aunu'u";"Samoa";0,313333333333333;"0";"Cyperaceae";"Poales";"glonpier";0;"Kyllinga brevifolia Rottb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Kyllinga brevifolia_Samoa";"Kyllinga brevifolia_Aunu'u";"glonpier";0;0;"1"
"3892";"Kyllinga nemoralis";"Aunu'u";"Samoa";0,171875;"0";"Cyperaceae";"Poales";"glonpier";0;"Kyllinga nemoralis (Forst.) Dandy ex Hutch. & Dalziel";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Kyllinga nemoralis_Samoa";"Kyllinga nemoralis_Aunu'u";"glonpier";0;0;"1"
"3893";"Cyperus polystachyos";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glon";0;"Pycreus polystachyos (Rottb.) Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyperus polystachyos_Samoa";"Cyperus polystachyos_Aunu'u";"glon";0;0;"1"
"3894";"Dioscorea bulbifera";"Aunu'u";"Samoa";0,247619047619048;"0";"Dioscoreaceae";"Dioscoreales";"glonpier";0,5;"Dioscorea bulbifera L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Dioscorea bulbifera_Samoa";"Dioscorea bulbifera_Aunu'u";"glonpier";0,333333333333333;0;"1,150,3113"
"3895";"Axonopus compressus";"Aunu'u";"Samoa";0,119047619047619;"0";"Poaceae";"Poales";"glonpier";0;"Axonopus compressus (Sw.) Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Axonopus compressus_Samoa";"Axonopus compressus_Aunu'u";"glonpier";0;0;"1"
"3896";"Bothriochloa bladhii";"Aunu'u";"Samoa";0,391666666666667;"0";"Poaceae";"Poales";"glonpier";0,5;"Bothriochloa bladhii (Retz.) S.T.Blake";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bothriochloa bladhii_Samoa";"Bothriochloa bladhii_Aunu'u";"glonpier";0,333333333333333;0;"1,150,1220"
"3897";"Urochloa glumaris";"Aunu'u";"Samoa";0,183333333333333;"0";"Poaceae";"Poales";"glonpier";0;"Brachiaria paspaloides (Presl) C.E.Hubb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Urochloa glumaris_Samoa";"Urochloa glumaris_Aunu'u";"glonpier";0;0;"1"
"3898";"Cenchrus echinatus";"Aunu'u";"Samoa";0,216836734693878;"0";"Poaceae";"Poales";"glonpier";0;"Cenchrus echinatus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cenchrus echinatus_Samoa";"Cenchrus echinatus_Aunu'u";"glonpier";0;0;"1"
"3900";"Chloris barbata";"Aunu'u";"Samoa";0,178968253968254;"0";"Poaceae";"Poales";"glonpier";0;"Chloris barbata (L.) Sw.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Chloris barbata_Samoa";"Chloris barbata_Aunu'u";"glonpier";0;0;"1"
"3901";"Chrysopogon aciculatus";"Aunu'u";"Samoa";0,389285714285714;"0";"Poaceae";"Poales";"glonpier";0;"Chrysopogon aciculatus (Retz.) Trin.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Chrysopogon aciculatus_Samoa";"Chrysopogon aciculatus_Aunu'u";"glonpier";0;0;"1"
"3902";"Coix lacryma-jobi";"Aunu'u";"Samoa";0,236111111111111;"0";"Poaceae";"Poales";"glonpier";0;"Coix lacryma-jobi L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Coix lacryma-jobi_Samoa";"Coix lacryma-jobi_Aunu'u";"glonpier";0;0;"1"
"3903";"Cyrtococcum oxyphyllum";"Aunu'u";"Samoa";0,736111111111111;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum oxyphyllum Stapf";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyrtococcum oxyphyllum_Samoa";"Cyrtococcum oxyphyllum_Aunu'u";"glonpier";1;0;"1"
"3904";"Cyrtococcum trigonum";"Aunu'u";"Samoa";0,111111111111111;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum trigonum (Retz.) A.Camus";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyrtococcum trigonum_Samoa";"Cyrtococcum trigonum_Aunu'u";"glonpier";0;0;"1"
"3905";"Dactyloctenium aegyptium";"Aunu'u";"Samoa";0,291666666666667;"0";"Poaceae";"Poales";"glonpier";0;"Dactyloctenium aegyptium (L.) Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Dactyloctenium aegyptium_Samoa";"Dactyloctenium aegyptium_Aunu'u";"glonpier";0;0;"1"
"3906";"Digitaria ciliaris";"Aunu'u";"Samoa";0,297222222222222;"0";"Poaceae";"Poales";"glonpier";0;"Digitaria ciliaris (Retz.) Koel.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Digitaria ciliaris_Samoa";"Digitaria ciliaris_Aunu'u";"glonpier";0;0;"1"
"3907";"Digitaria horizontalis";"Aunu'u";"Samoa";0,166666666666667;"0";"Poaceae";"Poales";"glonpier";0;"Digitaria horizontalis Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Digitaria horizontalis_Samoa";"Digitaria horizontalis_Aunu'u";"glonpier";0;0;"1"
"3908";"Digitaria radicosa";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glon";0;"Digitaria radicosa (Presl) Miq.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Digitaria radicosa_Samoa";"Digitaria radicosa_Aunu'u";"glon";0;0;"1"
"3909";"Eleusine indica";"Aunu'u";"Samoa";0,25609410430839;"0";"Poaceae";"Poales";"glonpier";0;"Eleusine indica (L.) Gaertn.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Eleusine indica_Samoa";"Eleusine indica_Aunu'u";"glonpier";0;0;"1"
