Site_Plot,ACERUB,ALEFAR,ALNSER,AMEOBO,ANDSP,ANGVEN,APOCAN,ARISTR,AROARB,ARUTEC,ASCRUB,BAPTIN,CARALB,CARGLA,CHATOM,CHALAX,CIRREP,CLEALN,CLIMAR,COMERE,CORMAJ,CORVER,CROCAN,CTEARO,CUSCOM,CUTGRA,CYRRAC,CYSPRO,DANSER,DESSP,DICSP,DIOTER,DIOVIL,DIOVIR,DOESER,DROCAP,ELENUD,ELETOM,EUBRAC,EUPALB,EUPCAP,EUPCOE,EUPDUB,EUPLEU,EUPPIL,EUPRES,EUPROT,EUPHSP,EURPAL,EUTCAR,GAYDUM,GAYFRO,HEXMIN,HIEMAR,HYPSP,HYPWRI,ILECOR,ILEGLA,ILEOPA,IONLIN,IRIVER,KALCUN,LACANC,LESCAP,LESHIR,LESREP,LIASP,LIQSTY,LIRTUL,LOBNUT,LUDVIR,LYOLIG,LYOLUC,LYOMAR,LYSQUA,MAGVIR,MAROBO,MIMMIC,MORCAR,NYSSYL,OSMCIN,OSMREG,OXYDEN,PARQUI,PERPAL,PHLNIV,PINPAL,PINPALcanopy,PINSER,PINSERcanopy,PITASP,POLLUT,POLBIF,PTEAQU,PYCFLE,QUEINC,QUELAE,QUEMARG,QUEMARI,QUENIG,RHESP,RHOSP,RHUCOP,RHYTOM,ROBNAN,RUBSP,SARPUR,SARRUB,SASALB,SEDSP,SERAST,SERTOR,SMIBON,SMILAU,SMIROT,SMIWAL,SOLODO,SOLVER,SOPPIL,SORNUT,SPHAGN,STISET,STYPAT,STYBIF,SYMWAL,SYMTIN,TEPVIR,TOXPUB,TOXRAD,TOXVER,VACCRA,VACFOR,VACFUS,VACSTA,VACTEN,VERACA,VERANG,VIBNUD,VIBPRU,VIOPED,VIOSP,VITROT,WOOAER,WOOVIR,XYRSP
S14P1,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
S14P2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,6,0,0,3,0,0,12,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
S14P3,0.3,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1.2,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,2,0,52,0,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0.1,0,0,0,0,0,0,0,0,0,0
S152P1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S152P2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S152P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16P1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,3.2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,10,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16P2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S16P3,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
S17P1,0,0,20,0,7,0,1,5,0,19,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,6,1,1.5,0,5,0,0,0,0,1,0,0,19.5,0,0,0,0,0,0,3.1,0,1.1,0,0,0,0,0,0,0,0
