Quadrat;Species;PropCover;Height1;Height2;Height3;Height4;Height5;Height6;Height7;Height8;Height9;Height10;LeafArea1;LeafArea2;LeafArea3;LeafArea4;LeafArea5;LeafArea6;LeafArea7;LeafArea8;LeafArea9;LeafArea10;SLA1;SLA2;SLA3;SLA4;SLA5;SLA6;SLA7;SLA8;SLA9;SLA10
5;Leo_tar;0.055;2.4;3.1;4;6.2;3.9;5;4.3;6.8;5.1;NA;201;148.3;187;312.4;121.15;156.9;129.9;147.95;298.8;NA;23.773;26.89;26.849;21.687;22.773;21.06;20.392;25.553;24.145;NA
5;Pla_lag;0.682;3;3.6;3.7;3.2;2.3;2.5;3.3;2.8;3;3.4;116.1;84.9;93.45;104.7;66.35;120.85;45.5;35.25;30.05;64;20.806;16.501;16.929;17.913;18.104;13.324;16.636;15.495;16.199;15.006
5;Tol_bar;0.055;6.1;4.5;5.6;4.8;9.6;5.4;8;6;7.1;4.2;42.15;55.7;74.8;86.9;18.9;76.3;74.4;45.9;70.7;56.85;22.846;22.103;20.162;26.616;20;23.994;18.741;19.205;21.72;26.259
5;Tri_che;0.155;3.5;3.2;2.6;2.1;4.8;2.1;2.5;2.8;1.8;1.3;21.15;11.7;19.05;41.85;39.05;21.95;15.4;9.9;41.4;21.2;25.636;15.6;20.374;20.977;20.716;23.476;22.985;21.064;18.198;24.368
6;Mis_oro;0.029;8;10;6.5;4.5;5;7;7;5.5;5;7.5;6.85;14.1;5.6;6.4;3.95;5.8;19;2.95;8.65;13.05;21.077;19.184;13.333;20.645;17.556;20;23.602;12.826;34.6;25.842
6;Ant_cor;0.177;9;7;6;4;5;6.5;5.5;12;9;11;191.8;125.7;99;73.4;84.65;150.8;114.95;293.75;233.4;234.4;15.78;14.108;11.174;16.421;13.104;17.185;15.682;15.844;15.411;15.27
6;Bis_pel;0.081;3;2;2.2;3.1;2.1;3.1;4.9;3.8;3.2;3;85.2;47.35;43.1;89.6;103.4;109.2;119.2;82.9;81.1;97.3;25.857;29.687;21.443;19.227;18.749;23.484;23.698;26.193;24.137;19.676
6;Ech_pla;0.177;13;6;9;7;10;9;8;11;9;7;99.9;56.75;147.55;86.65;81.4;95.8;79.5;234.3;148.2;143.75;15.92;16.815;12.638;12.54;18.416;17.562;16.737;13.766;16.467;14.866
6;Pla_lag;0.359;5;3.5;4;2.5;3;3;4.5;4.5;4;4.5;196.8;108.4;107.35;55.55;109.6;110.5;120.55;114.7;178.4;120.6;21.698;28.083;18.118;17.414;19.161;18.386;23.094;19.64;20.079;16.704
6;Tri_che;0.177;7;3.5;4.5;5;4;3;7;4.5;3;4.5;29.9;60.65;78.5;43.4;55.55;53.95;98.4;87.9;29.35;55.75;21.131;20.183;19.217;21.919;18.862;20.83;17.324;17.202;21.985;20.496
7;Ant_cor;0.46;8;4.5;5.5;4.2;6.2;5.5;5.7;7.2;4.9;6;291.05;217.35;140.85;151.95;134.85;155.85;168.7;301.9;71.35;69.65;18.729;15.146;19.549;14.796;18.137;21.511;19.258;24.162;20.985;21.664
7;Bis_pel;0.104;2.8;3.4;4.1;0.9;1.3;2.4;0.5;2.5;1.6;3.1;55.05;49.55;59.2;78.3;17.7;62.2;30.2;168.6;24.4;48.75;24.966;27.225;23.586;25.588;24.247;29.69;27.706;27.96;27.111;32.939
7;Bro_rub;0.104;8;7.5;10;6.5;4.1;5.9;6.4;11;7.4;8.2;NA;NA;54.4;NA;NA;39.4;87.6;NA;NA;31.5;NA;NA;21.673;NA;NA;24.78;16.073;NA;NA;26.141
7;Pla_lag;0.227;6;4;7;3.6;6.6;7.2;5.5;4.6;6.3;6.3;361;120.5;160.5;121.15;176.15;270.7;160.05;68.9;158.2;NA;16.636;16.462;18.47;16.306;18.941;23.903;23.835;23.356;20.761;NA
7;Tri_che;0.104;4.5;5.7;4.3;4;3.8;2;4.5;3;3.7;2.8;38.7;68.35;56.85;45;73.2;76.1;80.5;57.95;56.95;62.85;19.398;17.823;20.824;20.882;16.731;23.893;28.648;25.417;23.979;25.445
8;Ant_cor;0.339;15.5;4.5;5;6;4;6;11;7.5;14;5.5;313.35;91.65;156;247.15;141.7;180.9;182.4;262.1;288.55;92;14.325;14.866;14.95;18.153;21.8;18.669;17.522;21.724;17.823;18.548
8;Bis_pel;0.055;4.5;3;2.5;5;6;2;5;4.5;4;3;89.8;37.85;66.25;56.35;NA;NA;NA;187.7;35.15;50.9;18.05;16.245;15.425;20.454;NA;NA;NA;21.876;16.58;23.897
8;Bro_mad;0.055;8;6;15.5;7;9;11;6;6.5;13;11.5;73.2;31.7;NA;34.45;103.5;74.2;37.75;16.3;95.3;26.8;32.679;27.807;NA;23.277;29.571;37.193;30.08;21.307;25.687;20
8;Ech_pla;0.339;10.5;13;9;5;10;9;11;9;8;6;128.25;107.35;82.75;58.8;140.65;98.45;165.5;124.3;50.9;61.55;18.427;14.419;19.749;17.068;17.007;22.025;16.726;16.9;22.98;24.043
8;Lam_aur;0.055;5;6;5;3.5;4.5;6;5;7;7;6.5;43.5;33.1;24.15;35.15;NA;22.55;39.6;56.45;51.75;21.05;36.1;35.784;34.255;43.129;NA;42.547;46.864;43.76;30.175;16.318
8;Pla_lag;0.156;4.5;4;5;4.5;6;3.5;5.5;4;4;3.5;133.45;164.3;225.9;116.2;344.95;93.65;217.3;168.9;125.4;102.6;15.599;16.397;15.731;18.803;19.848;16.358;12.824;18.339;19.686;17.114
9;Ant_arv;0.153;13;16;11;8;11;17;12;11;9;7;151.4;46.5;30.4;105.45;76.15;79.45;54.45;77.35;33;16.8;23.583;18.941;28.411;28.045;28.467;17.894;21.911;20.793;28.205;27.097
9;Bis_pel;0.054;3.5;5;3;3;4;2;5;3;3;3.5;43.3;74.4;NA;36.9;77.1;58.7;120.7;NA;51.85;53.6;26.728;27.353;NA;26.547;22.743;30.573;26.041;NA;23.096;20.113
9;Bro_hor;0.153;11.5;8;9.5;10.5;14;8;6;6;8;9;NA;42.25;66.1;136.15;182.5;99.35;63.3;41;53.1;93.8;NA;18.653;26.075;30.357;25.997;27.986;42.2;37.273;23.865;21.44
