"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361174875,-113.107001793,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.427853814,-113.148738497,2000-08-21,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.717049122,-114.228712231,2001-08-27,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.386423402,-113.005607076,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.351440059,-113.085720475,1999-07-23,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.486506356,-114.052036404,2001-06-15,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.349715146,-113.066402587,2000-08-01,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.46359584,-113.186109684,2000-05-30,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.687603796,-114.174096715,2001-08-14,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.66875837,-114.130648995,2001-08-10,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.227363341,-112.887614952,1999-07-27,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361676263,-113.107693257,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.69320102,-114.1799943,2001-08-10,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.386423402,-113.005607076,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.726328879,-114.228473987,2001-08-21,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.422289053,-113.14748331,2000-08-21,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.422289053,-113.14748331,2000-08-21,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.281484941,-112.95207288,2000-05-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.486506356,-114.052036404,2001-06-15,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.220868938,-112.922660551,2000-05-24,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385236975,-113.036544438,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361174875,-113.107001793,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.378796051,-113.020604638,1999-08-26,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.486506356,-114.052036404,2001-06-15,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
