,genus_species,species_code,site,length_growth,diameter_growth,max_ht,leaf_area_sapwood_area,Ks,leaf_size,wood_density,Aarea,leaf_N,MOE,LMA,leaf_SWC,dia_40cm,measured_ht,length_growth_sd,diameter_growth_sd,Ks_sd,leaf_size_sd,wood_density_sd,Aarea_sd,LMA_sd,leaf_SWC_sd,measured_ht_sd,site_description,trait_descriptions
19,Eucalyptus portuensis,EucAcm,Princess Hills,40.44,5.321333333,35,0.663476533,7.92,23.54,0.63,13.12,9.90465,6122.118,206.2,117.3,6.846416667,8.829333333,16.49536079,2.787053079,4.077984833,4.935180767,0.033231511,2.208393081,18.77930291,5.262575334,1.824854071,tropical,
20,Eucalyptus capitellata,EucCap,Kuringgai,13.61333333,2.036333333,20,0.686462995,2.86,13.644,0.68,13.45,8.8892,5565.707,287.7,99.2,5.004871134,6.137333333,6.713583131,0.83528962,1.319885096,1.590213602,0.043863424,2.59734782,23.57238333,4.243732025,0.846228749,warm-temperate,
21,Eucalyptus haemastoma,EucHae,Kuringgai,10.54615385,1.623076923,18,0.452045321,2.62,19.345,0.65,16.35,9.37,4178.622,265.3,97.5,6.05548913,6.799230769,7.052583338,0.742428133,1.169856829,5.64136121,0.010016653,1.006139155,56.93813848,3.912255712,1.204072683,warm-temperate,
22,Eucalyptus pauciflora,EucPau,Bothwell,20.83846154,2.130384615,9,0.536390065,9.02,15.761,0.64,12.217,15.79047619,4656.533,210.9,127.7,3.897876344,7.020769231,9.522469858,0.7079871,4.325450786,0.779963268,0.002309401,2.779008996,22.83163374,6.096514403,1.996189961,cool-temperate,
23,Eucalyptus rubida,EucRub,Bothwell,10.07692308,1.554230769,20,0.818601203,5.56,9.754,0.71,12.276,15.82857143,3301.786,155.9,140.6,6.822627628,7.045,5.745646799,0.670469568,1.542330542,1.876065777,0.068973425,2.596415799,18.00867486,7.532543454,2.605003322,cool-temperate,
24,Eucalyptus tenuiramis,EucTen,Bothwell,7.866666667,1.106666667,21,0.699869622,6.88,9.294,0.65,13.304,17.1047619,5170.607,179.6,130.6,3.543194444,11.04666667,4.239603873,0.373321491,2.427989765,2.091164149,0.039837169,4.272971601,3.59212948,6.925609163,1.508957382,cool-temperate,
25,Grevillea buxifolia,GreBux,Kuringgai,12.043,1.1695,1.6,0.320523178,1.28,0.565,0.74,7.56,10.09,7725.632,125.1,109.8,4.980909091,0.986,5.909021053,0.534266726,0.219548856,0.131153727,0.024846194,2.950583468,14.03839458,11.61501798,0.250835184,warm-temperate,
26,Grevillea glauca,GreGla,Princess Hills,29.68333333,3.805833333,8,0.582650758,11.42,27.64,0.67,9.382,7.761,4397.877,151.6,143.9,4.845714286,4.529709433,15.19458569,1.980228866,1.45006455,4.435296213,0.024006943,2.867293149,15.89172877,10.9822761,0.73118712,tropical,
27,Grevillea parallela,GrePar,Princess Hills,31.00833333,5.480833333,7,0.495620821,6.07,7.82,0.59,14.092,8.74305,2418.396,212.1,126.9,5.583488372,5.217881674,21.14808924,3.717800931,2.320185079,2.286332806,0.037554405,4.32416119,12.37038713,10.28119865,0.855153873,tropical,
28,Hakea gibbosa,HakGib,Kuringgai,2.286,0.453666667,2,NA,NA,0.74,0.7,11.18,NA,4221.818,405,104.6,9.085547945,2.27234375,1.763621561,0.347846978,NA,0.061454861,0.048232078,2.689891578,42.06638856,9.475516167,0.437326603,warm-temperate,
