Latin.name,Species,SPPcode,Category,Duration,Growth_Habit,Family,Soil,Height.cm,SLA,LWC,CN,wood_density,Seed mass,DispersalSyndrome,Wind,Unassisted,Adhesive,Animal,Ant,Water,Tumbling,Bird,Mammal,Ballistic
eriophyllum_confertiflorum,eriophyllum_confertiflorum,ERICONF,Dicot,Perennial,"Subshrub, Shrub",asteraceae,s,38.8,196.3,0.72,25.1,NA,0.22,Unassisted,0,1,0,0,0,0,0,0,0,0
eriophyllum_lanatum,eriophyllum_lanatum,ERILAN,Dicot,"Annual, Perennial","Subshrub, Forb/herb",asteraceae,n,51.2,196.4,0.79,31.2,NA,0.26,Unassisted,0,1,0,0,0,0,0,0,0,0
eriophyllum_lanatum,eriophyllum_lanatum,ERILAN,Dicot,"Annual, Perennial","Subshrub, Forb/herb",asteraceae,s,5,149.1,0.79,18,NA,0.26,Unassisted,0,1,0,0,0,0,0,0,0,0
eriophyllum_stachaedifolium,eriophyllum_stachaedifolium,ERISTA,Dicot,,Forb/herb,asteraceae,n,136,140.9,0.82,NA,NA,NA,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eriophyllum_stachaedifolium,eriophyllum_stachaedifolium,ERISTA,Dicot,,Forb/herb,asteraceae,s,106.3,153.6,0.82,17.1,NA,NA,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
erodium_botrys,erodium_botrys,EROBOT,Dicot,"Annual, Biennial",Forb/herb,geraniaceae,n,14.8,201.1,0.84,13.3,NA,11.6,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erodium_botrys,erodium_botrys,EROBOT,Dicot,"Annual, Biennial",Forb/herb,geraniaceae,s,25,137.6,0.83,33.3,NA,11.6,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erodium_brachycarpum,erodium_brachycarpum,EROBRA,Dicot,Annual,Forb/herb,geraniaceae,n,15.7,144,0.76,24.1,NA,6.01,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erodium_brachycarpum,erodium_brachycarpum,EROBRA,Dicot,Annual,Forb/herb,geraniaceae,s,26.2,239.7,0.81,30.7,NA,6.01,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erodium_cicutarium,erodium_cicutarium,EROCIC,Dicot,"Annual, Biennial",Forb/herb,geraniaceae,n,8,236.7,0.79,20.7,NA,2.1,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erodium_cicutarium,erodium_cicutarium,EROCIC,Dicot,"Annual, Biennial",Forb/herb,geraniaceae,s,12.9,163.2,-0.67,9.8,NA,2.1,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
erysimum_capitatum,erysimum_capitatum,ERYCAP,Dicot,"Biennial, Perennial","Forb/herb, Subshrub",brassicaceae,n,37.1,197.9,0.83,11.8,NA,0.61,Wind,1,0,0,0,0,0,0,0,0,0
erysimum_capitatum,erysimum_capitatum,ERYCAP,Dicot,"Biennial, Perennial","Forb/herb, Subshrub",brassicaceae,s,35.4,107.7,0.82,13.6,NA,0.61,Wind,1,0,0,0,0,0,0,0,0,0
erythronium_citrinum,erythronium_citrinum,ERYCIT,Monocot,Perennial,Forb/herb,liliaceae,s,7.7,230.6,0.91,21.9,NA,NA,Ant,0,0,0,0,1,0,0,0,0,0
erythronium_grandiflorum,erythronium_grandiflorum,ERYGRA,Monocot,Perennial,Forb/herb,liliaceae,n,8.2,222.6,0.86,11.8,NA,3.68,Ant,0,0,0,0,1,0,0,0,0,0
erythronium_oregonum,erythronium_oregonum,ERYORE,Monocot,Perennial,Forb/herb,liliaceae,n,1.8,284.1,0.91,19.2,NA,NA,Ant,0,0,0,0,1,0,0,0,0,0
eschscholzia_caespitosa,eschscholzia_caespitosa,ESCCAE,Dicot,Annual,Forb/herb,papaveraceae,n,31,159.7,0.75,24.8,NA,1.66,BallisticBirdMammalWind,1,0,0,0,0,0,0,1,1,1
eschscholzia_californica,eschscholzia_californica,ESCCAL,Dicot,"Annual, Perennial",Forb/herb,papaveraceae,n,10.6,263.1,0.85,11.5,NA,1.5,BallisticBirdMammalWind,1,0,0,0,0,0,0,1,1,1
eschscholzia_californica,eschscholzia_californica,ESCCAL,Dicot,"Annual, Perennial",Forb/herb,papaveraceae,s,12.4,143.5,0.83,10.6,NA,1.5,BallisticBirdMammalWind,1,0,0,0,0,0,0,1,1,1
euphorbia_crenulata,euphorbia_crenulata,EUPCRE,Dicot,"Annual, Biennial",Forb/herb,euphorbiaceae,n,17.4,297.6,0.78,13.7,NA,NA,BallisticAntUnassisted,0,1,0,0,1,0,0,0,0,1
euphorbia_crenulata,euphorbia_crenulata,EUPCRE,Dicot,"Annual, Biennial",Forb/herb,euphorbiaceae,s,10.5,336.6,0.74,17.4,NA,NA,BallisticAntUnassisted,0,1,0,0,1,0,0,0,0,1
festuca_californica,festuca_californica,FESCAL,Monocot,Perennial,Graminoid,poaceae,n,121.9,77.7,0.66,21.6,NA,3.32,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
festuca_californica,festuca_californica,FESCAL,Monocot,Perennial,Graminoid,poaceae,s,103.5,88.6,0.66,30.9,NA,3.32,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
festuca_idahoensis,festuca_idahoensis,FESIDA,Monocot,Perennial,Graminoid,poaceae,n,62.2,135.2,0.68,35,NA,1.06,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
festuca_idahoensis,festuca_idahoensis,FESIDA,Monocot,Perennial,Graminoid,poaceae,s,14.2,92.3,0.58,33,NA,1.06,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
festuca_occidentalis,festuca_occidentalis,FESOCC,Monocot,Perennial,Graminoid,poaceae,n,51.5,156.6,0.69,31.2,NA,0.28,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
filago_californica,filago_californica,FILCAL,Dicot,Annual,Forb/herb,asteraceae,n,8.9,174.7,0.62,37,NA,0.61,UnassistedWind,1,1,0,0,0,0,0,0,0,0
filago_californica,filago_californica,FILCAL,Dicot,Annual,Forb/herb,asteraceae,s,18.8,261.2,0.67,18.7,NA,0.61,UnassistedWind,1,1,0,0,0,0,0,0,0,0
filago_gallica,filago_gallica,FILGAL,Dicot,Annual,Forb/herb,asteraceae,n,13.3,348.2,0.73,15.9,NA,0.13,UnassistedWind,1,1,0,0,0,0,0,0,0,0
fragaria_vesca,fragaria_vesca,FRAVES,Dicot,Perennial,Forb/herb,rosaceae,n,19.2,179.3,0.71,20.4,NA,0.3,Mammal,0,0,0,0,0,0,0,0,1,0
fraxinus_dipetala,fraxinus_dipetala,FRADIP,Dicot,Perennial,"Tree, Shrub",oleaceae,s,3.7,59.2,0.5,47.3,0.88,36,WindWater,1,0,0,0,0,1,0,0,0,0
fraxinus_latifolia,fraxinus_latifolia,FRALAT,Dicot,Perennial,Tree,oleaceae,n,5,104.5,0.53,20,0.59,46.3,WindWater,1,0,0,0,0,1,0,0,0,0
fremontodendron_californicum,fremontodendron_californicum,FRECAL,Dicot,Perennial,"Tree, Shrub",malvaceae,s,3.3,68.9,0.6,24.8,0.6,30.8,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fritillaria_affinis,fritillaria_affinis,FRIAFF,Monocot,Perennial,Forb/herb,liliaceae,n,74.2,288.6,0.92,15.4,NA,2.2,Wind,1,0,0,0,0,0,0,0,0,0
fritillaria_affinis,fritillaria_affinis,FRIAFF,Monocot,Perennial,Forb/herb,liliaceae,s,33.5,248.2,0.89,NA,NA,2.2,Wind,1,0,0,0,0,0,0,0,0,0
fritillaria_glauca,fritillaria_glauca,FRIGLA,Monocot,Perennial,Forb/herb,liliaceae,s,3.8,143.3,0.88,14.7,NA,NA,Wind,1,0,0,0,0,0,0,0,0,0
galium_ambiguum,galium_ambiguum,GALAMB,Dicot,Perennial,Forb/herb,rubiaceae,s,6.2,249.7,0.82,28.7,NA,NA,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_andrewsii,galium_andrewsii,GALAND,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,n,7.7,227.7,0.74,38.6,NA,NA,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_andrewsii,galium_andrewsii,GALAND,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,s,3,150.4,0.6,28.8,NA,NA,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_aparine,galium_aparine,GALAPA,Dicot,Annual,"Vine, Forb/herb",rubiaceae,n,38.1,387.7,0.85,24.5,NA,8.9,Adhesive,0,0,1,0,0,0,0,0,0,0
galium_bolanderi,galium_bolanderi,GALBOL,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,n,27.5,164.6,0.75,26.1,NA,1.88,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_bolanderi,galium_bolanderi,GALBOL,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,s,35.8,252.1,0.81,20.1,NA,1.88,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_californicum,galium_californicum,GALCAL,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,n,12,433.5,0.87,21.7,NA,5.45,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_californicum,galium_californicum,GALCAL,Dicot,Perennial,"Subshrub, Forb/herb",rubiaceae,s,27.8,253.2,0.81,20.3,NA,5.45,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_murale,galium_murale,GALMUR,Dicot,Annual,Forb/herb,rubiaceae,n,4.1,250.7,0.71,17.6,NA,0.18,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_murale,galium_murale,GALMUR,Dicot,Annual,Forb/herb,rubiaceae,s,6.2,291.4,0.77,18.5,NA,0.18,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_parisiense,galium_parisiense,GALPAR,Dicot,Annual,Forb/herb,rubiaceae,n,21,872.1,0.93,17.4,NA,0.2,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_porrigens,galium_porrigens,GALPOR,Dicot,Perennial,"Vine, Shrub",rubiaceae,s,47.8,301.3,0.77,24,NA,4.94,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
galium_triflorum,galium_triflorum,GALTRI,Dicot,Perennial,"Forb/herb, Vine",rubiaceae,n,10.7,722.1,0.89,12,NA,0.8,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
garrya_buxifolia,garrya_buxifolia,GARBUX,Dicot,Perennial,Shrub,garryaceae,s,102.4,35.7,0.47,40.9,NA,NA,Mammal,0,0,0,0,0,0,0,0,1,0
garrya_congdonii,garrya_congdonii,GARCON,Dicot,Perennial,"Tree, Shrub",garryaceae,s,217,39.4,0.46,46.1,0.62,NA,Mammal,0,0,0,0,0,0,0,0,1,0
garrya_elliptica,garrya_elliptica,GARELL,Dicot,Perennial,"Tree, Shrub",garryaceae,s,181.5,36.5,0.4,NA,0.86,23.06,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
garrya_flavescens,garrya_flavescens,GARFLA,Dicot,Perennial,"Tree, Shrub",garryaceae,s,240,38.4,0.47,NA,0.69,15,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
garrya_flavescens,garrya_flavescens,GARFLA,Dicot,Perennial,"Tree, Shrub",garryaceae,n,202,40.2,0.49,42.4,0.6,15,No_Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
