Plant.ID,Spp,Site,Parent,Replicate,Seed.Mass.mg,NAT_1000
520,Capsella_bursa-pastoris,10,4,2,61.22,0.069456603
521,Capsella_bursa-pastoris,13,2,2,51.96,0.058560612
522,Capsella_bursa-pastoris,13,5,1,39.34,0.058560612
523,Capsella_bursa-pastoris,13,6,1,42.37,0.058560612
524,Capsella_bursa-pastoris,13,6,2,37.57,0.058560612
525,Capsella_bursa-pastoris,13,6,3,35.8,0.058560612
526,Capsella_bursa-pastoris,13,7,1,60.6,0.058560612
527,Capsella_bursa-pastoris,2,3,4,29.33,0.034057749
528,Capsella_bursa-pastoris,2,3,5,66.37,0.034057749
529,Capsella_bursa-pastoris,2,4,4,,0.034057749
530,Capsella_bursa-pastoris,2,5,4,70.15,0.034057749
531,Capsella_bursa-pastoris,2,7,1,44.49,0.034057749
532,Capsella_bursa-pastoris,2,1,1,40.56,0.034057749
533,Capsella_bursa-pastoris,2,1,2,44.2,0.034057749
534,Capsella_bursa-pastoris,2,1,3,41.24,0.034057749
535,Capsella_bursa-pastoris,2,1,4,48.9,0.034057749
536,Capsella_bursa-pastoris,2,2,3,40.31,0.034057749
537,Capsella_bursa-pastoris,2,2,4,53.97,0.034057749
538,Capsella_bursa-pastoris,4,2,3,,0.109938934
539,Capsella_bursa-pastoris,4,3,2,,0.109938934
540,Capsella_bursa-pastoris,4,3,3,,0.109938934
541,Capsella_bursa-pastoris,4,3,4,,0.109938934
542,Capsella_bursa-pastoris,4,4,4,47.34,0.109938934
543,Capsella_bursa-pastoris,4,4,5,50.44,0.109938934
544,Capsella_bursa-pastoris,4,4,6,67.27,0.109938934
545,Capsella_bursa-pastoris,4,1,1,57.12,0.109938934
546,Capsella_bursa-pastoris,9,2,6,61.92,0.139259237
547,Capsella_bursa-pastoris,3,4,1,68.67,0.176161408
548,Capsella_bursa-pastoris,3,5,4,49.27,0.176161408
549,Capsella_bursa-pastoris,3,6,1,68.45,0.176161408
550,Capsella_bursa-pastoris,3,6,2,61.15,0.176161408
551,Capsella_bursa-pastoris,3,6,3,59.83,0.176161408
