Species	Day_95%	Day_75%	Day_50%	Day_05%	Senescence_date	Senescence_pace	Senescence_shape	Senescence_asynchrony
Festuca rupicola	192	224	349	424	349	0.0043	0.7388	76.42
Festuca valesiaca	158	177	198	238	198	0.0125	0	67.91
Filipendula ulmaria	159	180	197	223	197	0.0156	0.3795	23.21
Filipendula vulgaris	170	215	252	308	252	0.0072	0.3814	58.36
Fragaria moschata	205	255	315	378	315	0.0058	0.5573	38.21
Fragaria vesca	208	245	311	442	311	0.0043	-0.2405	31.31
Fragaria viridis	226	254	290	393	290	0.006	-0.4758	14.05
Galium boreale ssp. boreale	230	286	310	336	310	0.0094	1.1239	22.3
Galium odoratum	155	181	209	252	209	0.0103	0.2278	47.97
Galega officinalis	249	277	298	321	298	0.0139	0.7563	NA
Galium valdepilosum	200	230	255	284	255	0.0119	0.64	10.61
Genista tinctoria	220	260	311	367	311	0.0068	0.4855	70.3
Geranium palustre	216	248	278	306	278	0.0111	0.7949	22.77
Geranium pratense	179	204	223	245	223	0.0152	0.6931	38.49
Geranium sanguineum	264	298	314	336	314	0.0139	0.821	5.96
Geranium sylvaticum	181	201	214	231	214	0.02	0.6633	10.26
Geum urbanum	279	297	338	499	338	0.0045	-1.0039	34.95
Glyceria maxima	202	233	265	310	265	0.0093	0.3365	18.85
Hacquetia epipactis	150	170	186	211	186	0.0164	0.3646	38.18
Helianthemum grandiflorum	156	179	196	220	196	0.0156	0.5108	59.06
Helictochloa pratensis	139	164	186	222	186	0.012	0.2666	60.35
Helianthus tuberosus	277	297	310	328	310	0.0196	0.6061	1.71
Hepatica nobilis	227	349	448	NA	448	0.0023	NA	96.17
Hierochlo� australis	245	313	370	459	370	0.0047	0.3397	12.46
Hieracium murorum	163	180	203	236	203	0.0137	0.1924	34.02
Hieracium sabaudum	194	220	236	263	236	0.0145	0.4418	41.31
Holcus lanatus	143	168	184	209	184	0.0152	0.4947	22.32
Hypericum maculatum	202	234	261	298	261	0.0104	0.4666	47.57
