Species;seed mass;plant height;lifeform;longevity;light;temperature;continentality;humidity;reaction;nitrogen;salt;habitat
Dorycnium_germanicum;2.8;50;5;3;7;6;4;2;9;1;0;8
Lotus_corniculatus;1;30;3;3;7;5;3;4;7;3;0;5
Tetragonolobus_maritimus;4.73;30;3;3;8;7;4;5;9;1;1;4
Ornithopus_perpusillus;1;30;2;1;7;6;2;3;2;2;0;4
Coronilla_vaginalis;5.42;40;5;3;6;5;4;3;9;2;0;8
Coronilla_coronata;7.65;70;5;3;7;6;4;3;9;3;0;7
Hedysarum_hedysaroides;5.46;40;4;3;8;2;7;5;8;2;0;4
Onobrychis_viciifolia;19.8;70;3;3;8;7;6;3;8;3;0;4
Onobrychis_montana;11.7;50;3;3;9;3;6;4;9;2;0;4
Onobrychis_arenaria;22.9;80;3;3;7;7;7;2;9;1;0;4
Colutea_arborescens;15.8;450;6;3;5;8;3;3;8;2;0;7
Astragalus_exscapus;6.639;30;3;3;7;6;6;3;9;2;0;8
Astragalus_penduliflorus;10.08;50;3;3;7;1;7;4;7;1;0;0
Astragalus_glycyphyllos;4.8;120;3;3;6;6;4;4;7;3;0;7
Astragalus_alpinus;2.15;30;3;3;9;2;7;4;6;5;0;4
Astragalus_arenarius;1.267;30;3;3;7;7;7;2;7;1;0;4
Astragalus_onobrychis;1.298;60;3;3;8;7;6;2;9;1;0;8
Astragalus_cicer;3.5;70;3;3;7;6;4;4;9;2;0;7
Astragalus_australis;3.11;30;3;3;9;1;8;5;7;2;0;4
Oxytropis_pilosa;1.2;50;3;3;9;7;7;1;7;1;0;4
Oxytropis_jacquinii;3.1;40;3;3;8;2;4;4;9;2;0;4
Oxytropis_campestris;2.01;30;3;3;9;2;6;4;6;2;0;4
Galega_officinalis;8.2;100;3;3;7;6;6;6;7;8;0;3
Medicago_arabica;3.7;50;2;1;8;7;4;4;8;5;0;0
Medicago_polymorpha;3.13;45;2;1;9;8;3;3;7;5;0;3
Medicago_falcata;1.5;60;3;3;8;6;7;3;9;3;0;7
Medicago_sativa;2;180;3;3;8;6;6;4;7;5;0;0
Medicago_minima;1.32;25;2;1;9;7;3;3;8;2;0;0
Medicago_lupulina;1.6;50;2;1;7;5;5;4;8;5;0;4
Melilotus_albus;2.3;150;2;1;9;6;6;3;7;4;0;3
Melilotus_officinalis;2.7;120;3;2;8;6;6;3;8;3;0;3
Melilotus_indicus;2.8;40;2;1;9;6;4;5;7;7;1;3
Melilotus_altissimus;3.97;150;3;2;8;6;5;7;7;7;1;3
Melilotus_dentatus;2.6;150;3;2;8;6;7;6;7;5;1;3
Ononis_natrix;3.48;50;5;3;8;8;3;3;8;1;0;4
Ononis_spinosa;54;80;5;3;8;6;5;4;7;3;0;4
Ononis_arvensis;4.9;100;5;3;8;6;7;4;7;2;0;4
Ononis_repens;4.8;40;5;3;8;5;2;4;7;2;0;4
Trifolium_aureum;0.3;50;2;1;7;6;4;4;4;2;0;5
Trifolium_badium;0.75;25;3;3;8;2;4;6;8;5;0;4
Trifolium_dubium;0.4;30;2;1;6;6;3;4;6;4;0;4
Trifolium_campestre;0.3;35;2;1;8;6;3;4;6;3;0;4
Trifolium_alpinum;5.31;10;3;3;8;2;4;4;2;2;0;5
Trifolium_ochroleucon;1.87;50;3;3;7;7;4;4;8;2;0;4
Trifolium_arvense;0.4;30;2;1;8;6;3;3;2;1;0;4
Trifolium_scabrum;0.62;20;2;1;9;9;3;2;9;1;0;4
Trifolium_striatum;1.9;30;2;1;8;7;3;3;2;1;1;4
Trifolium_rubens;2.04;60;3;3;7;6;4;3;8;2;0;7
Trifolium_alpestre;1.25;50;3;3;7;6;4;3;6;3;0;7
Trifolium_pratense;1.5;50;3;3;7;5;3;5;5;5;0;4
Trifolium_hybridum;0.7;90;3;3;7;6;5;6;7;5;0;3
Trifolium_resupinatum;1.4;40;2;1;8;7;3;5;7;5;1;3
Trifolium_fragiferum;1.2;30;3;3;8;6;5;7;8;7;2;3
Trifolium_montanum;0.8;60;3;3;8;5;4;3;8;2;0;4
Trifolium_repens;0.6;25;3;3;8;5;5;5;6;6;1;4
Trifolium_thalii;1;5;3;3;7;2;2;5;8;5;0;4
Trifolium_pallescens;0.62;10;3;3;8;3;4;5;5;2;0;4
Vicia_pisiformis;38.4;200;3;3;6;7;4;4;8;3;0;7
Vicia_orobus;25;60;3;3;7;7;1;5;5;3;0;7
Vicia_cassubica;17.6;60;3;3;6;6;4;3;5;3;0;7
Vicia_tetrasperma;4.203;70;2;1;6;6;5;5;5;5;0;3
Vicia_parviflora;4;70;2;1;7;8;2;4;6;6;0;3
Vicia_sylvatica;21.2;200;3;3;7;5;4;4;8;5;0;7
Vicia_hirsuta;5.7;70;2;1;7;6;5;4;5;4;0;3
Vicia_dumetorum;54.1;200;3;3;6;6;4;5;8;4;0;7
Vicia_villosa;28.9;150;2;1;7;6;5;4;6;5;0;3
Vicia_cracca;36.22;150;3;3;8;6;6;3;8;2;0;7
Vicia_narbonensis;151.6;60;2;1;7;7;3;4;8;5;0;3
Vicia_grandiflora;20.6;60;2;1;7;7;6;4;5;5;0;0
Vicia_sepium;18.7;100;3;3;5;5;5;5;6;5;0;0
Vicia_angustifolia;18.1;70;2;1;5;6;3;5;5;5;0;0
Vicia_lathyroides;1.95;25;2;1;8;7;4;2;3;2;0;4
Vicia_pannonica;41.5;80;2;1;7;6;6;4;6;5;0;3
Vicia_lutea;28.6;60;2;1;7;7;3;4;7;5;1;3
Lathyrus_nissolia;7.74;90;2;1;7;6;4;4;7;4;0;3
Lathyrus_tuberosus;32.8;90;3;3;7;6;6;4;8;4;0;3
Lathyrus_sylvestris;39;200;3;3;7;6;4;4;8;2;0;7
Lathyrus_latifolius;47.3;180;3;3;7;8;4;4;9;3;0;0
Lathyrus_hirsutus;26.7;90;2;1;7;6;4;4;7;5;0;3
Lathyrus_aphaca;17.14;60;2;1;7;7;3;3;8;3;0;3
Lathyrus_pratensis;12;120;3;3;7;5;5;6;7;6;0;4
Lathyrus_laevigatus;104.4;60;3;3;8;3;4;5;8;4;0;4
Lathyrus_palustris;15.9;100;3;3;8;6;5;8;8;3;0;4
Lathyrus_vernus;15;40;3;3;4;6;4;5;8;4;0;7
Lathyrus_niger;18.8;90;3;3;5;6;4;3;7;3;0;7
Lathyrus_linifolius;13;45;3;3;5;5;2;5;3;2;0;7
Polygala_chamaebuxus;7.6;15;5;3;6;4;4;3;8;2;0;8
Polygala_vulgaris;1.8;30;5;3;7;5;3;4;3;2;0;5
Polygala_amarella;0.81;20;5;3;9;5;4;9;9;1;0;0
Polygala_amara;1.3;20;3;3;8;3;4;4;8;2;0;4
Polygala_comosa;0.95;20;3;3;8;6;6;3;8;2;0;4
Filipendula_vulgaris;0.81;80;3;3;7;6;5;4;8;2;0;7
Filipendula_ulmaria;0.8;120;3;3;7;5;5;8;5;5;0;4
Rubus_chamaemorus;7.4;20;5;3;9;3;7;8;2;1;0;1
Rubus_idaeus;1.9;150;6;3;7;5;5;5;5;6;0;0
Rubus_saxatilis;9.8;30;5;3;7;5;7;6;7;4;0;0
Rubus_caesius;3.6;50;5;3;6;5;4;7;8;7;0;0
Geum_reptans;0.97;15;3;3;9;1;4;5;2;2;0;4
Geum_montanum;1.8;10;3;3;7;2;2;5;2;2;0;5
Geum_rivale;1.01;50;3;3;6;5;5;8;5;4;0;4
Geum_urbanum;1.9;70;3;3;4;5;5;5;5;7;0;7
Rosa_pendulina;20.4;200;6;3;6;4;2;5;7;6;0;7
Rosa_majalis;12.2;200;6;3;7;6;7;5;8;3;0;7
Rosa_gallica;28.64;100;6;3;7;7;4;4;7;4;0;7
Rosa_arvensis;13.31;200;6;3;5;5;2;5;7;5;0;7
Rosa_stylosa;7.62;300;6;3;8;7;2;4;8;4;0;7
Rosa_caesia;15.26;200;6;3;8;6;3;3;8;3;0;7
Rosa_subcollina;14.39;200;6;3;8;6;3;3;8;3;0;0
Rosa_corymbifera;19.98;200;6;3;8;6;4;4;7;5;0;7
Rosa_dumalis;20.3;200;6;3;7;5;2;5;6;3;0;7
Rosa_canina;129;500;6;3;8;5;3;4;5;5;0;7
Rosa_glauca;10.67;300;6;3;8;5;4;4;7;2;0;7
Rosa_agrestis;18.8;300;6;3;8;6;4;3;8;3;0;7
Rosa_elliptica;19.24;250;6;3;8;6;4;3;8;3;0;7
Rosa_micrantha;12.2;350;6;3;8;6;4;3;8;3;0;7
Rosa_rubiginosa;15.2;300;6;3;7;6;2;3;8;3;0;7
Rosa_jundzillii;31.596;200;6;3;8;7;6;3;8;4;0;7
Rosa_villosa;12.9;200;6;3;6;5;2;3;8;2;0;7
Potentilla_anserina;0.9;20;3;3;7;6;5;6;5;7;1;3
Potentilla_sterilis;0.53;15;3;3;5;5;2;5;6;6;0;7
Potentilla_micrantha;0.6;5;3;3;5;7;4;4;8;4;0;7
Potentilla_caulescens;0.13;30;3;3;8;3;4;3;8;3;0;4
Potentilla_alba;0.6;15;3;3;6;6;5;4;5;5;0;7
Potentilla_erecta;0.4;50;3;3;6;5;3;5;5;2;0;5
Potentilla_anglica;0.59;20;3;3;7;6;2;5;8;4;0;0
Potentilla_reptans;0.29;20;3;3;6;6;3;6;7;5;0;3
Potentilla_inclinata;0.31;50;3;3;9;7;5;2;6;1;0;4
Potentilla_argentea;0.08;50;3;3;9;6;3;2;3;1;0;4
Potentilla_collina;0.285;30;3;3;9;7;4;2;2;1;0;4
Potentilla_thuringiaca;0.1;40;3;3;6;6;5;4;6;3;0;7
Potentilla_recta;0.3;70;3;3;9;7;5;3;5;2;0;4
Potentilla_norvegica;0.1;50;2;1;7;6;6;5;5;5;0;3
Potentilla_supina;0.1;15;2;1;7;7;5;8;6;7;1;3
Potentilla_intermedia;0.4;50;3;2;8;6;6;3;7;4;0;3
Potentilla_aurea;0.33;20;3;3;8;3;4;4;3;2;0;5
Potentilla_incana;0.3;15;3;3;9;7;6;1;8;1;0;4
Potentilla_heptaphylla;0.6;40;3;3;7;5;4;3;9;2;0;4
Potentilla_tabernaemontani;0.63;20;3;3;8;6;4;3;7;2;0;4
Potentilla_pusilla;0.3;10;3;3;9;6;4;2;8;1;0;4
Potentilla_crantzii;0.52;20;3;3;9;2;3;5;8;2;0;4
Potentilla_grandiflora;0.8276;40;3;3;8;3;5;3;4;2;0;5
Fragaria_viridis;0.5;20;3;3;7;5;5;3;8;3;0;7
Fragaria_vesca;0.3;30;3;3;7;5;5;5;5;6;0;7
Fragaria_moschata;0.3877;40;3;3;6;5;4;5;8;6;0;7
Potentilla_rupestris;0.31;50;3;3;7;7;4;4;6;2;0;7
Sibbaldia_procumbens;0.45;5;3;3;7;2;3;7;2;4;0;4
Potentilla_palustris;0.43;50;1;3;8;5;5;10;3;2;0;1
Alchemilla_alpina;0.44;20;3;3;9;2;2;5;2;2;0;5
Alchemilla_vulgaris;0.37;50;3;3;6;4;4;5;6;6;0;4
Alchemilla_glaucescens;0.4;30;3;3;7;4;4;5;4;3;0;5
Aphanes_arvensis;0.26;20;2;1;6;6;2;6;4;5;0;3
Agrimonia_procera;40;100;3;3;5;6;3;5;6;4;0;7
Agrimonia_eupatoria;15;60;3;3;7;6;4;4;8;4;0;7
Sanguisorba_minor;7.3;80;3;3;7;6;5;3;8;2;0;4
Sanguisorba_officinalis;2.1;100;3;3;7;5;7;7;5;5;0;4
Dryas_octopetala;0.55;50;6;3;9;2;7;4;8;4;0;4
Prunus_spinosa;225.8;500;6;3;7;5;5;4;7;5;0;7
Prunus_fruticosa;589.96;150;6;3;8;8;8;3;8;5;0;7
Prunus_avium;187;2000;6;3;4;5;4;5;7;5;0;7
Prunus_mahaleb;85;600;6;3;7;7;4;3;8;2;0;7
Prunus_padus;123;1500;6;3;5;5;3;8;7;6;0;7
Aruncus_dioicus;0.09;200;3;3;4;5;4;6;5;8;0;7
Amelanchier_ovalis;4.6;300;6;3;7;7;4;3;5;3;0;7
Amelanchier_lamarckii;360;1200;6;3;6;6;2;5;3;3;0;7
Mespilus_germanica;125.9;600;6;3;6;8;6;4;6;5;0;7
Crataegus_laevigata;143.4;100;6;3;6;6;4;5;7;5;0;7
Crataegus_monogyna;140;100;6;3;7;5;3;4;8;4;0;7
Cydonia_oblonga;31.09;700;6;3;8;6;3;4;8;4;0;7
Sorbus_torminalis;96;2500;6;3;4;7;4;4;7;4;0;7
Sorbus_chamaemespilus;15.9;150;6;3;7;3;4;4;8;3;0;8
Sorbus_aria;34.19;2500;6;3;6;5;2;4;7;3;0;7
Sorbus_intermedia;39;1500;6;3;6;5;2;5;5;5;0;0
Malus_sylvestris;24.11;1000;6;3;7;6;3;5;7;5;0;7
Cotoneaster_integerrimus;9.2;200;6;3;8;5;4;3;7;2;0;7
Cotoneaster_tomentosus;13.3;300;6;3;7;5;4;3;9;2;0;7
Pyrus_communis;32.3;2000;6;3;6;6;5;5;8;5;0;7
Sorbus_domestica;18.5;2000;6;3;4;8;4;4;8;3;0;7
Sorbus_aucuparia;19;2000;6;3;6;5;5;5;4;5;0;0
Frangula_alnus;19.9;500;6;3;6;6;5;8;4;3;0;7
Rhamnus_saxatilis;10.53;200;6;3;7;6;4;3;9;2;0;8
Rhamnus_cathartica;34.1;600;6;3;7;5;5;4;8;4;0;7
Rhamnus_pumila;103;20;5;3;8;2;4;3;9;2;0;4
Hippophae_rhamnoides;12.19;200;6;3;9;6;6;4;8;3;0;7
Ulmus_laevis;7.15;3000;6;3;4;6;5;8;7;7;0;7
Ulmus_glabra;13.5;3000;6;3;4;5;3;6;7;7;0;7
Ulmus_minor;4.86;3000;6;3;5;7;5;5;8;5;0;7
Humulus_lupulus;3.27;600;3;3;7;6;3;8;6;8;0;7
Parietaria_officinalis;0.4;120;3;3;5;7;4;5;7;7;0;3
Parietaria_judaica;0.24;60;3;3;6;7;2;7;8;7;0;4
Urtica_dioica;0.1;150;3;3;5;5;5;6;7;9;0;3
Urtica_urens;0.52;70;2;1;7;6;5;5;5;8;0;3
Urtica_kioviensis;0.121;200;3;3;8;6;6;10;7;6;0;1
Bryonia_dioica;11.39;300;4;3;7;6;3;5;8;6;0;3
Bryonia_alba;15;400;4;3;7;6;5;5;7;6;0;3
Fagus_sylvatica;249;4000;6;3;3;5;2;5;5;5;0;7
Castanea_sativa;9944;3000;6;3;5;8;2;5;4;5;0;7
Quercus_cerris;4263;2000;6;3;6;8;4;4;6;5;0;7
Quercus_ilex;2311;2700;6;3;4;9;2;3;5;5;0;0
Quercus_robur;3378;3000;6;3;7;6;6;5;5;5;0;7
Quercus_petraea;2342.2;3500;6;3;6;6;2;5;5;5;0;7
Quercus_pubescens;633.7;1500;6;3;7;8;4;3;7;5;0;7
Myrica_gale;1.47;200;6;3;8;6;2;9;3;3;0;7
Juglans_regia;11490;2500;6;3;6;8;2;6;7;7;0;0
Alnus_incana;1.5;2000;6;3;6;4;5;7;8;5;0;7
Alnus_glutinosa;2;2000;6;3;5;5;3;9;6;5;1;7
Betula_pubescens;0.25;2500;6;3;7;5;5;8;3;3;0;0
Betula_nana;0.83;100;6;3;8;3;6;9;1;2;0;1
Betula_pendula;0.29;3000;6;3;7;5;5;5;5;5;0;0
Corylus_avellana;1192.3;700;6;3;6;5;3;5;5;5;0;7
Carpinus_betulus;43;2500;6;3;4;6;4;5;5;5;0;7
Ostrya_carpinifolia;10.5;2400;6;3;4;8;5;4;5;5;0;7
Erodium_cicutarium;2.1;60;2;1;8;6;5;4;5;5;0;4
Geranium_lucidum;0.77;40;2;1;5;7;2;5;7;8;0;3
Geranium_robertianum;1.5;60;3;2;5;5;3;5;5;7;0;3
Geranium_palustre;4.3;80;3;3;8;5;4;7;8;7;0;4
Geranium_sylvaticum;5.095;80;3;3;6;4;4;6;6;7;0;7
Geranium_pratense;9;80;3;3;8;6;5;5;8;7;0;4
Geranium_rotundifolium;1.87;30;2;1;7;8;5;4;7;6;0;3
Geranium_sanguineum;8.92;50;3;3;7;6;4;3;8;3;0;7
Geranium_dissectum;2.28;40;2;1;6;6;3;5;8;5;0;3
Geranium_columbinum;4;50;2;1;7;6;4;4;7;7;0;3
Geranium_pyrenaicum;1.64;60;3;3;8;6;4;5;7;8;0;3
Geranium_molle;1.09;40;2;1;7;6;3;4;5;4;0;4
Geranium_pusillum;0.7;40;2;1;7;6;5;4;5;7;0;3
Geranium_phaeum;4.5;70;3;3;6;5;4;5;6;5;0;7
Ludwigia_palustris;0.04;30;3;3;8;7;3;9;4;4;0;3
Circaea_lutetiana;2.3;70;4;3;4;5;3;6;7;7;0;7
Circaea_alpina;0.51;30;4;3;4;4;4;7;5;5;0;7
Epilobium_fleischeri;0.1638;45;3;3;9;4;5;4;5;2;0;4
Epilobium_dodonaei;0.22;100;3;3;9;5;5;4;9;2;0;4
Epilobium_angustifolium;0.06;180;3;3;8;5;5;5;5;8;0;7
Epilobium_parviflorum;0.1;100;5;3;7;5;3;9;8;6;0;1
Epilobium_lanceolatum;0.11;80;5;3;8;7;3;4;3;3;0;4
Epilobium_hirsutum;0.1;150;3;3;7;5;5;8;8;8;0;3
Epilobium_collinum;0.05;60;5;3;8;4;5;5;2;2;0;4
Epilobium_montanum;0.1;80;5;3;4;5;3;5;6;6;0;7
Epilobium_palustre;0.04;60;3;3;7;5;5;9;3;2;0;1
Epilobium_alsinifolium;0.11;25;3;3;8;2;2;9;6;5;0;1
Epilobium_alpestre;0.221;80;3;3;7;3;4;6;7;8;0;7
Epilobium_anagallidifolium;0.07;10;3;3;8;2;3;7;5;4;0;4
Epilobium_roseum;0.09;80;5;3;7;6;4;8;8;8;0;3
Epilobium_tetragonum;0.1;80;5;3;7;6;4;8;6;5;0;3
Epilobium_obscurum;0.09;80;5;3;7;5;2;8;4;4;0;1
Oenothera_biennis;0.4;150;2;1;9;7;3;4;5;4;0;3
Oenothera_parviflora;0.5;150;2;1;8;6;2;3;7;3;1;3
Lythrum_salicaria;0.68;150;3;3;7;5;5;8;6;5;0;4
Lythrum_hyssopifolia;0.5;35;2;1;8;7;5;7;3;4;1;3
Peplis_portula;0.0383;25;2;1;8;6;3;7;3;2;0;3
Trapa_natans;834;180;2;1;8;7;5;10;6;8;0;1
Staphylea_pinnata;90;500;6;3;7;7;4;5;8;4;0;7
Cotinus_coggygria;9.2;500;6;3;7;8;4;3;7;3;0;7
Acer_pseudoplatanus;97;3000;6;3;4;5;4;6;5;7;0;7
Acer_opalus;100;1500;6;3;5;8;4;4;8;6;0;7
Acer_monspessulanum;46.1;1200;6;3;6;8;4;3;8;4;0;7
Acer_negundo;36;1500;6;3;5;6;6;6;7;7;0;7
Acer_platanoides;139;3000;6;3;4;6;4;5;5;5;0;7
Acer_campestre;122.4;2000;6;3;5;6;4;5;7;6;0;7
Ailanthus_altissima;27.9;2500;6;3;8;8;2;5;7;8;0;0
Dictamnus_albus;13.5;80;3;3;7;8;4;3;8;2;0;7
Daphne_striata;35;15;5;3;7;3;4;4;8;2;0;8
Daphne_cneorum;4.4;30;5;3;6;5;4;4;8;2;0;8
Daphne_mezereum;90.7;100;6;3;4;5;4;5;7;5;0;7
Daphne_laureola;103.4;150;6;3;4;7;2;4;8;4;0;7
Thymelaea_passerina;0.58;50;2;1;7;7;6;4;8;4;0;3
Fumana_procumbens;3.03;20;5;3;9;7;3;2;9;1;0;4
Helianthemum_apenninum;1.16;30;5;3;8;7;2;2;8;1;0;4
Helianthemum_nummularium;1.15;30;5;3;7;6;4;3;7;2;0;4
Helianthemum_canum;1;20;5;3;8;7;4;2;9;1;0;4
Helianthemum_alpestre;0.9;20;5;3;9;2;4;4;9;2;0;4
Tuberaria_guttata;2.87;30;2;1;9;7;2;2;5;1;0;4
Althaea_officinalis;6.5;150;4;3;6;7;6;7;8;4;1;3
Althaea_hirsuta;2.35;60;2;1;7;8;5;4;8;3;0;3
Malva_sylvestris;5.7;90;3;2;8;6;3;4;7;8;0;3
Malva_neglecta;2.4;60;2;1;8;6;7;5;7;9;0;3
Malva_pusilla;2.666;40;2;1;8;7;7;4;5;5;1;3
Malva_moschata;2.132;80;3;3;8;6;3;4;7;4;0;4
Malva_alcea;2.617;75;3;3;8;6;4;5;8;7;0;3
Tilia_platyphyllos;98.8;3000;6;3;4;6;2;6;5;7;0;7
Tilia_cordata;40;2500;6;3;5;5;4;5;5;5;0;7
Reseda_luteola;0.3;150;3;3;8;7;3;4;9;6;0;3
Reseda_lutea;0.8;80;3;2;7;6;3;3;8;5;0;3
Petrocallis_pyrenaica;1.8;8;5;3;8;1;4;4;9;1;0;4
Biscutella_laevigata;4.36;40;3;3;8;5;4;5;7;2;0;0
Lunaria_rediviva;26;100;3;3;4;5;4;6;7;8;0;7
Hornungia_petraea;0.21;15;2;1;8;7;2;2;9;1;0;4
Lepidium_perfoliatum;0.9;40;2;2;8;6;8;6;6;5;1;3
Cardaria_draba;2.15;75;4;3;8;7;7;3;8;4;0;3
Lepidium_heterophyllum;1.45;50;3;3;8;7;1;5;6;5;0;3
Lepidium_campestre;2.169;60;2;2;7;6;3;4;8;6;0;3
Lepidium_latifolium;0.2;120;3;3;9;6;8;5;7;5;1;3
Lepidium_graminifolium;0.8;80;3;3;8;8;3;3;6;5;0;3
Lepidium_ruderale;0.3;40;2;2;9;6;7;4;5;6;0;3
Lepidium_densiflorum;1;50;2;2;8;7;7;4;7;6;0;3
Lepidium_virginicum;0.5;50;2;2;8;7;5;4;6;5;0;3
Coronopus_squamatus;5.54;30;2;2;8;7;3;7;7;6;1;3
Coronopus_didymus;0.5;25;2;2;9;7;4;5;6;6;0;3
Barbarea_intermedia;0.5512;70;3;2;8;6;2;5;5;7;0;3
Barbarea_stricta;0.234;100;3;2;8;6;7;7;7;8;0;3
Barbarea_vulgaris;0.6;90;3;2;8;6;3;6;5;6;0;3
Barbarea_verna;0.86;80;3;2;8;6;2;5;5;6;0;3
Rorippa_pyrenaica;0.55;30;3;3;8;7;2;5;6;6;0;4
Rorippa_islandica;0.06;50;2;1;7;5;5;8;5;8;0;3
Rorippa_sylvestris;0.11;60;4;3;6;6;3;8;8;6;0;3
Rorippa_amphibia;0.1;100;1;3;7;6;7;10;7;8;0;1
Rorippa_austriaca;0.0577;100;3;3;8;7;4;7;8;8;0;3
Cardamine_resedifolia;0.1264;15;4;3;8;2;2;5;3;2;0;4
Cardamine_alpina;0.1872;8;3;3;7;1;4;7;4;4;0;4
Dentaria_enneaphyllos;6.387;30;3;3;4;4;4;5;7;7;0;7
Cardamine_impatiens;0.19;70;3;2;5;5;4;6;7;8;0;3
Dentaria_bulbifera;2.5;60;4;3;3;5;4;5;7;6;0;7
Cardamine_trifolia;1.6;30;4;3;3;4;4;6;8;7;0;7
Cardamine_hirsuta;0.11;25;2;1;6;6;3;5;5;7;0;3
Cardamine_pratensis;0.6;40;3;3;4;5;5;6;5;5;0;0
Dentaria_pentaphyllos;9.38;60;4;3;3;5;2;5;7;6;0;7
Cardamine_parviflora;0.106;30;2;1;8;6;5;7;7;6;0;3
Cardamine_flexuosa;0.11;40;3;2;6;5;2;8;4;5;0;1
Cardamine_amara;0.33;60;3;3;7;5;4;9;6;4;0;1
Nasturtium_officinale;0.17;60;1;3;7;4;3;10;7;7;0;1
Erysimum_cheiranthoides;0.2;80;2;1;7;5;5;5;7;7;0;3
Erysimum_odoratum;0.3;80;3;2;9;7;5;2;8;2;0;4
Erysimum_crepidifolium;0.4;60;3;2;9;7;5;2;7;1;0;4
Erysimum_marschallianum;0.2;80;3;2;9;6;7;4;7;5;0;0
Erysimum_repandum;0.24;35;2;1;7;7;6;4;8;5;1;3
Erysimum_cheiri;1.4;80;5;3;8;8;4;5;9;6;0;4
Cardaminopsis_halleri;0.2;40;3;3;8;4;4;6;3;5;0;4
Cardaminopsis_petraea;0.1;30;3;3;9;2;2;3;8;1;0;4
Cardaminopsis_arenosa;0.068;60;2;2;9;5;4;4;6;2;0;0
Arabidopsis_thaliana;0.02;50;2;2;6;6;3;4;4;4;0;4
Neslia_paniculata;1.6;60;2;1;6;6;5;4;8;4;0;3
Camelina_microcarpa;0.3;60;2;2;7;6;7;4;8;4;0;3
Camelina_sativa;1;80;2;1;7;7;6;4;7;6;0;0
Camelina_alyssum;0.28;60;2;1;7;6;6;5;6;4;0;3
Capsella_bursa_pastoris;0.1;60;2;1;7;5;5;5;5;6;0;3
Bunias_orientalis;25.4;120;3;2;7;6;5;5;8;5;0;3
Hesperis_matronalis;2.6;100;3;2;6;5;6;7;7;7;0;7
Arabis_turrita;0.59;70;3;2;6;7;4;3;7;3;0;7
Arabis_alpina;0.3;40;5;3;7;3;3;5;9;3;0;4
Arabis_caerulea;0.24;15;5;3;8;2;4;7;9;4;0;4
Arabis_nemorensis;0.0453;80;3;2;7;6;5;7;6;4;0;4
Arabis_hirsuta;0.14;80;3;3;7;5;3;4;8;5;0;4
Arabis_soyeri;0.249;50;5;3;9;2;4;10;9;2;0;1
Arabis_ciliata;0.3;30;5;2;9;2;4;5;9;3;0;4
Arabis_glabra;0.1;90;3;2;6;6;2;3;8;5;0;0
Draba_muralis;0.04;35;2;2;7;6;2;5;8;6;0;3
Erophila_verna;0.47;20;2;1;8;6;3;4;5;2;0;4
Draba_sauteri;0.2;15;5;3;6;2;4;5;9;2;0;4
Draba_aizoides;0.19;15;5;3;8;5;4;3;9;1;0;4
Draba_tomentosa;0.2;10;5;3;9;1;4;2;9;2;0;4
Draba_siliquosa;0.1984;15;5;3;8;2;4;5;6;2;0;4
Draba_dubia;0.2;16;5;3;8;2;5;3;5;2;0;4
Draba_fladnizensis;0.2;8;5;3;9;2;7;5;6;2;0;4
Berteroa_incana;0.385;70;2;2;9;6;7;3;6;4;0;3
Alyssum_saxatile;0.94;50;5;3;9;7;4;2;8;1;0;4
Alyssum_montanum;0.6;25;5;3;9;6;4;2;7;1;0;4
Alyssum_alyssoides;0.63;30;2;2;9;6;4;3;8;1;0;4
Teesdalia_nudicaulis;0.31;25;2;1;8;6;2;3;1;1;0;4
Iberis_amara;2.6;50;2;1;7;7;2;4;8;3;0;3
Kernera_saxatilis;0.14;30;5;3;9;3;2;3;9;2;0;4
Cochlearia_danica;0.27;20;2;2;9;6;3;8;8;5;1;2
Cochlearia_pyrenaica;0.69;50;3;2;8;4;4;9;8;3;0;1
Cochlearia_officinalis;0.52;40;3;2;8;6;5;7;7;6;1;2
Cochlearia_anglica;1.31;40;3;2;8;5;1;7;7;7;2;2
Conringia_orientalis;2.6;60;2;1;7;6;5;3;9;4;0;3
Calepina_irregularis;6.2;50;2;2;8;9;3;3;8;4;0;3
Thlaspi_alliaceum;0.7;60;2;1;6;7;2;4;8;5;0;3
Thlaspi_arvense;1;60;2;1;6;5;5;5;7;6;0;3
Alliaria_petiolata;2.66;80;3;2;5;6;3;5;7;9;0;3
Thlaspi_perfoliatum;0.5;30;2;1;8;6;5;4;8;2;0;4
Thlaspi_montanum;0.674;40;5;3;6;5;4;4;9;2;0;8
Thlaspi_rotundifolium;1.65;20;2;1;9;2;4;5;9;3;0;4
Thlaspi_caerulescens;0.36;50;3;2;8;4;2;5;5;4;0;4
Isatis_tinctoria;2.8;120;3;2;8;7;7;3;8;3;0;3
Myagrum_perfoliatum;9.81;100;2;1;6;7;4;4;9;4;0;3
Sisymbrium_altissimum;0.2;100;2;1;8;6;7;4;7;4;0;3
Sisymbrium_strictissimum;0.43;100;3;3;6;7;4;6;8;7;0;3
Sisymbrium_loeselii;0.19;70;2;1;7;6;7;4;7;5;0;3
Sisymbrium_irio;0.1;60;2;1;8;8;3;3;7;5;0;3
Sisymbrium_officinale;0.29;80;2;2;8;6;5;4;5;7;0;3
Sisymbrium_volgense;0.2;100;3;3;8;6;8;3;8;4;0;3
Sisymbrium_austriacum;0.13;80;3;2;7;6;4;4;8;7;0;3
Cakile_maritima;16.7;50;2;1;9;6;5;6;5;8;2;2
